BLANumber,Applicant,Status,OriginalLicensureDate,LastUpdateDate
125317,CSL Behring GmbH,Licensed,NaT,2009-01-16
125319,Novartis Pharmaceuticals Corporation,Licensed,NaT,2009-06-17
125320,Amgen Inc.,Licensed,NaT,2010-06-01
125324,Wyeth Pharmaceuticals LLC,Licensed,NaT,2010-02-24
125325,"Takeda Pharmaceuticals U.S.A., Inc.",Licensed,NaT,2010-07-01
125326,Novartis Pharmaceuticals Corporation,Licensed,NaT,2009-10-26
125327,BTG International Inc.,Licensed,NaT,2012-01-17
125329,Bio Products Laboratory Limited,Licensed,NaT,2009-09-17
125335,"Rare Disease Therapeutics, Inc. (RDT)",Licensed,NaT,2011-08-03
125338,"Auxilium Pharmaceuticals, Inc.",Licensed,NaT,2010-02-02
125347,GlaxoSmithKline Biologicals,Licensed,NaT,2009-08-19
125348,"Fibrocell Technologies, Inc.",Licensed,NaT,2011-06-21
125349,Emergent Manufacturing Operations Baltimore LLC,Licensed,NaT,2012-12-14
125350,CSL Behring AG,Licensed,NaT,2010-03-04
125351,Corza Medical GmbH,Licensed,NaT,2010-04-05
125354,"Nielsen Bioscience, Inc",Licensed,NaT,2011-07-29
125359,"Jazz Pharmaceuticals, Inc.",Voluntarily Revoked,NaT,2011-11-18
125360,Merz Pharmaceuticals GmbH c/o Merz Pharmaceuticals LLC,Licensed,NaT,2010-07-30
125363,GlaxoSmithKline Biologicals,Voluntarily Revoked,NaT,2012-06-14
125370,GlaxoSmithKline LLC,Licensed,NaT,2011-03-09
125377,Bristol-Myers Squibb Company,Licensed,NaT,2011-03-25
125385,CSL Behring GmbH,Licensed,NaT,2011-02-17
125387,"Regeneron Pharmaceuticals, Inc.",Licensed,2011-11-18,2011-11-18
125388,Seagen Inc.,Licensed,NaT,2011-08-19
125389,"ADMA Biologics, Inc.",Licensed,NaT,2012-12-19
125390,Chiesi Farmaceutici S.p.A.,Licensed,NaT,2014-02-24
125391,Clinimmune Labs,Licensed,NaT,2012-05-24
125392,"Ethicon, Inc.",Licensed,NaT,2012-12-05
125397,"New York Blood Center, Inc.",Licensed,NaT,2011-11-10
125398,Novo Nordisk Inc.,Licensed,NaT,2013-12-23
125400,"Organogenesis, Inc.",Licensed,NaT,2012-03-09
125402,"Takeda Pharmaceuticals U.S.A., Inc.",Licensed,NaT,2014-09-12
125407,Duke University School of Medicine,Licensed,NaT,2012-10-04
125408,Seqirus Inc.,Voluntarily Revoked,NaT,2012-11-20
125409,"Genentech, Inc.",Licensed,2012-06-08,2012-06-08
125413,SSM Cardinal Glennon Children's Medical Center,Licensed,NaT,2013-05-30
125416,Octapharma Pharmazeutika Produktionsges.m.b.H.,Licensed,NaT,2013-01-17
125418,Sanofi-Aventis U.S. LLC,Licensed,NaT,2012-08-03
125419,ID Biomedical Corporation of Quebec,Licensed,NaT,2013-11-22
125421,CSL Behring GmbH,Licensed,NaT,2013-04-29
125422,ThromboGenics Inc.,Voluntarily Revoked,NaT,2017-02-22
125426,"Medexus Pharma, Inc.",Licensed,NaT,2015-04-29
125427,"Genentech, Inc.",Licensed,NaT,2013-02-22
125428,Dynavax Technologies Corporation,Licensed,NaT,2017-11-09
125430,Kamada Ltd.,Licensed,NaT,2012-12-20
125431,GlaxoSmithKline LLC,Voluntarily Revoked,NaT,2014-04-15
125432,"LifeSouth Community Blood Centers, Inc.",Licensed,NaT,2013-06-13
125433,"Janssen Biotech, Inc.",Licensed,NaT,2013-07-18
125444,"Bioverativ Therapeutics, Inc.",Licensed,NaT,2014-03-28
125446,"Takeda Pharmaceuticals U.S.A., Inc.",Licensed,NaT,2013-06-26
125460,BioMarin Pharmaceutical Inc.,Licensed,NaT,2014-02-14
125462,Emergent BioSolutions Canada Inc.,Licensed,NaT,2013-03-22
125466,Novo Nordisk Inc.,Licensed,NaT,2013-10-15
125469,Eli Lilly and Company,Licensed,NaT,2014-09-18
125471,"Stallergenes, SAS",Licensed,NaT,2014-04-01
125472,"Genentech, Inc.",Licensed,NaT,2013-10-21
125473,ALK - Abello A/S,Licensed,NaT,2014-04-11
125476,"Takeda Pharmaceuticals U.S.A., Inc.",Licensed,NaT,2014-05-20
125477,Eli Lilly and Company,Licensed,NaT,2014-04-21
125478,ALK - Abello A/S,Licensed,NaT,2014-04-17
125486,"Genentech, Inc.",Licensed,NaT,2013-11-01
125487,"Bioverativ Therapeutics, Inc.",Licensed,NaT,2014-06-06
125488,"Rare Disease Therapeutics, Inc. (RDT)",Licensed,NaT,2015-05-06
125495,Pharming Americas BV,Licensed,2014-07-16,2014-07-16
125496,"Recordati Rare Diseases, Inc.",Licensed,NaT,2014-04-23
125499,Biogen Inc.,Licensed,NaT,2014-08-15
125504,Novartis Pharmaceuticals Corporation,Licensed,NaT,2015-01-21
125506,Bio Products Laboratory Limited,Licensed,NaT,2015-10-20
125508,Merck Sharp & Dohme LLC,Licensed,NaT,2014-12-10
125509,"Elusys Therapeutics, Inc.",Licensed,NaT,2016-03-18
125510,Seqirus Inc.,Licensed,NaT,2015-11-24
125511,"Takeda Pharmaceuticals U.S.A., Inc.",Licensed,NaT,2015-01-23
125512,"Takeda Pharmaceuticals U.S.A., Inc.",Licensed,NaT,2014-10-23
125513,"Alexion Pharmaceuticals, Inc.",Licensed,NaT,2015-10-23
125514,Merck Sharp & Dohme LLC,Licensed,NaT,2014-09-04
125516,United Therapeutics Corporation,Licensed,NaT,2015-03-10
125518,Amgen Inc.,Licensed,NaT,2015-10-27
125521,Eli Lilly and Company,Licensed,NaT,2016-03-22
125522,Amgen Inc.,Licensed,NaT,2015-08-27
125523,Mallinckrodt Pharma IP Trading DAC,Voluntarily Revoked,NaT,2015-04-30
125525,Sanofi Pasteur Limited,Licensed,NaT,2015-03-24
125526,GlaxoSmithKline LLC,Licensed,NaT,2015-11-04
125544,"CELLTRION, Inc.",Licensed,NaT,2016-04-05
125545,"Hospira Inc., a Pfizer Company",Licensed,NaT,2018-05-15
125546,GlaxoSmithKline Biologicals,Licensed,NaT,2015-01-23
125547,Eli Lilly and Company,Licensed,NaT,2015-11-24
125549,Wyeth Pharmaceuticals LLC,Licensed,2014-10-29,2014-10-29
125553,Sandoz Inc.,Licensed,NaT,2015-03-06
125554,Bristol-Myers Squibb Company,Licensed,NaT,2014-12-22
125555,Octapharma Pharmazeutika Produktionsges.m.b.H.,Licensed,NaT,2015-09-04
125557,Amgen Inc.,Licensed,NaT,2014-12-03
125559,"Regeneron Pharmaceuticals, Inc.",Licensed,NaT,2015-07-24
125561,"Alexion Pharmaceuticals, Inc.",Licensed,NaT,2015-12-08
125562,Emergent BioSolutions Canada Inc.,Licensed,NaT,2015-03-24
125563,MSP Vaccine Company,Licensed,NaT,2018-12-21
125566,"Takeda Pharmaceuticals U.S.A., Inc.",Licensed,NaT,2015-11-13
125574,Bayer HealthCare LLC,Licensed,NaT,2016-03-16
125577,"Takeda Pharmaceuticals U.S.A., Inc.",Licensed,NaT,2015-12-08
125579,SmartPractice Denmark ApS,Licensed,NaT,2017-03-03
125582,CSL Behring Lengnau AG,Licensed,NaT,2016-03-04
125585,Bloodworks,Licensed,NaT,2016-01-28
125586,AstraZeneca AB,Licensed,NaT,2018-05-03
125587,Octapharma Pharmazeutika Produktionsges.m.b.H.,Licensed,NaT,2018-08-02
125590,"ADMA Biologics, Inc.",Licensed,NaT,2019-04-01
125591,CSL Behring Lengnau AG,Licensed,NaT,2016-05-25
125592,ALK - Abello A/S,Licensed,NaT,2017-03-01
125594,Cleveland Cord Blood Center,Licensed,NaT,2016-09-01
125596,"Takeda Pharmaceuticals U.S.A., Inc.",Licensed,NaT,2016-09-13
125597,Bavarian Nordic A/S,Licensed,NaT,2016-06-10
125603,Vericel Corporation,Licensed,NaT,2016-12-13
125606,CSL Behring GmbH,Licensed,NaT,2017-06-22
125610,"Spark Therapeutics, Inc.",Licensed,NaT,2017-12-19
125611,Novo Nordisk Inc.,Licensed,NaT,2017-05-31
125612,Octapharma Pharmazeutika Produktionsges.m.b.H.,Licensed,NaT,2017-06-07
125613,Kamada Ltd.,Licensed,NaT,2017-08-23
125614,GlaxoSmithKline Biologicals,Licensed,NaT,2017-10-20
125640,"Instituto Grifols, S.A.",Licensed,NaT,2017-11-01
125641,Laboratoire Francais du Fractionnement et des Biotechnologies S.A.,Licensed,NaT,2020-04-01
125643,"Kite Pharma, Inc.",Licensed,NaT,2017-10-18
125644,Bio Products Laboratory Limited,Licensed,NaT,2018-06-19
125646,Novartis Pharmaceuticals Corporation,Licensed,NaT,2017-08-30
125657,MD Anderson Cord Blood Bank,Licensed,NaT,2018-06-21
125659,Kedrion Biopharma Inc.,Licensed,2021-06-04,2021-06-04
125661,Bayer HealthCare LLC,Licensed,NaT,2018-08-29
125668,Octapharma Pharmazeutika Produktionsges.m.b.H.,Licensed,NaT,2018-12-12
125671,Novo Nordisk Inc.,Licensed,NaT,2019-02-19
125678,Bavarian Nordic A/S,Licensed,NaT,2019-09-24
125682,Sanofi Pasteur Inc.,Licensed,2019-05-01,2019-05-01
125683,Grifols Therapeutics LLC,Licensed,NaT,2019-07-03
125685,Sumitomo Pharma Switzerland GmbH,Licensed,2021-10-08,2021-10-08
125690,Merck Sharp & Dohme LLC,Licensed,2019-12-19,2019-12-19
125692,Seqirus Inc.,Licensed,NaT,2020-01-31
125694,"Novartis Gene Therapies, Inc.",Licensed,2019-05-24,2019-05-24
125696,"Greer Laboratories, Inc.",Licensed,NaT,2020-01-31
125700,Ferring Pharmaceuticals A/S,Licensed,2022-12-16,2022-12-16
125701,Sanofi Pasteur Inc.,Licensed,2020-04-23,2020-04-23
125703,"Kite Pharma, Inc.",Licensed,NaT,2020-07-24
125706,"Mesoblast, Inc.",Licensed,2024-12-18,2024-12-18
125714,"Juno Therapeutics, Inc. a Bristol Myer-Squibb Company",Licensed,NaT,2021-02-05
125717,Bluebird Bio Inc.,Licensed,2022-08-17,2022-08-17
125720,Biomarin Pharmaceutical Inc.,Licensed,NaT,2023-06-29
125722,PTC Therapeutics,Licensed,NaT,2024-11-13
125730,Stratatech Corporation,Revoked,2021-06-15,2021-06-15
125731,Wyeth Pharmaceuticals LLC,Licensed,2021-06-08,2021-06-08
125734,CellTrans Inc.,Licensed,NaT,2023-06-28
125736,"Celgene Corporation, a Bristol-Myers Squibb Company",Licensed,NaT,2021-03-03
125737,"VBI Vaccines (Delaware), Inc.",Licensed,2021-11-30,2021-11-30
125738,Gamida Cell Ltd.,Licensed,NaT,2023-04-17
125739,Ferring Pharmaceuticals Inc.,Licensed,2022-11-30,2022-11-30
125740,Pfizer Ireland Pharmaceuticals,Licensed,NaT,2021-08-13
125741,Merck Sharp & Dohme LLC,Licensed,2021-07-16,2021-07-16
125742,BioNTech Manufacturing GmbH,Licensed,NaT,2021-08-23
125743,GC Biopharma Corp.,Licensed,NaT,2023-12-15
125746,"Janssen Biotech, Inc.",Licensed,2022-02-28,2022-02-28
125748,GlaxoSmithKline Biologicals,Licensed,NaT,2022-06-03
125752,"ModernaTX, Inc.",Licensed,NaT,2022-01-31
125755,Bluebird Bio Inc.,Licensed,2022-09-16,2022-09-16
125757,"Aimmune Therapeutics, Inc.",Licensed,2023-04-26,2023-04-26
125758,Orchard Therapeutics (Europe) Ltd.,Licensed,2024-03-18,2024-03-18
125761,"Emergent Product Development Gaithersburg, Inc.",Licensed,NaT,2023-07-20
125764,"StemCyte, Inc.",Licensed,NaT,2024-11-21
125769,Pfizer Inc.,Licensed,NaT,2023-05-31
125770,Pfizer Ireland Pharmaceuticals,Licensed,NaT,2023-10-20
125771,"Bioverativ Therapeutics, Inc.",Licensed,NaT,2023-02-22
125772,CSL Behring LLC,Licensed,2022-11-22,2022-11-22
125773,"Iovance Biotherapeutics, Inc.",Licensed,2024-02-16,2024-02-16
125774,"Krystal Biotech, Inc.",Licensed,NaT,2023-05-19
125775,GlaxoSmithKline Biologicals,Licensed,2023-05-03,2023-05-03
125776,Octapharma Pharmazeutika Produktionsges.m.b.H.,Licensed,NaT,2023-07-21
125777,Valneva Austria GmbH,Licensed,NaT,2023-11-09
125781,"Sarepta Therapeutics, Inc.",Licensed,2023-06-22,2023-06-22
125786,Pfizer Inc.,Voluntarily Revoked,2024-04-25,2024-04-25
125787,Vertex Pharmaceuticals Inc,Licensed,NaT,2023-12-08
125788,bluebird bio Inc.,Licensed,NaT,2023-12-08
125789,Adaptimmune LLC,Licensed,2024-08-01,2024-08-01
125795,"Takeda Pharmaceuticals U.S.A., Inc.",Licensed,NaT,2023-11-09
125796,"ModernaTX, Inc.",Licensed,2024-05-31,2024-05-31
125798,Neurotech Pharmaceuticals Inc.,Licensed,2025-03-05,2025-03-05
125807,Abeona Therapeutics Inc.,Licensed,NaT,2025-04-28
125810,YIMMUGO,Licensed,NaT,2024-06-13
125812,Humacyte Global Inc.,Licensed,2024-12-19,2024-12-19
125813,"Autolus, Inc.",Licensed,2024-11-08,2024-11-08
125814,Merck Sharp & Dohme LLC,Licensed,2024-06-17,2024-06-17
125817,"Novavax, Inc.",Licensed,NaT,2025-05-16
125819,GlaxoSmithKline Biologicals,Licensed,NaT,2025-02-14
125820,Bavarian Nordic A/S,Licensed,2025-02-14,2025-02-14
125832,"Precigen, Inc.",Licensed,NaT,2025-08-14
125835,"ModernaTX, Inc.",Licensed,NaT,2025-05-30
203313,Novo Nordisk Inc.,Licensed,NaT,2015-09-25
203314,Novo Nordisk Inc.,Licensed,NaT,2015-09-25
205692,Eli Lilly and Company,Licensed,NaT,2015-12-16
205747,Eli Lilly and Company,Licensed,NaT,2015-05-26
206538,Sanofi-Aventis U.S. LLC,Licensed,NaT,2015-02-25
208157,Baxter Healthcare Corporation,Licensed,NaT,2019-06-20
208471,Sanofi-Aventis U.S. LLC,Licensed,NaT,2016-07-27
208583,Novo Nordisk Inc.,Licensed,NaT,2016-11-21
208673,Sanofi-Aventis U.S. LLC,Licensed,NaT,2016-11-21
208751,Novo Nordisk Inc.,Licensed,NaT,2017-09-29
209196,Sanofi-Aventis U.S. LLC,Licensed,NaT,2017-12-11
210089,Cis Bio International,Licensed,NaT,2020-03-20
210605,Mylan Pharmaceuticals Inc.,Voluntarily Revoked,NaT,2020-06-11
761024,Amgen Inc.,Licensed,NaT,2016-09-23
761025,"Boehringer Ingelheim Pharmaceuticals, Inc.",Licensed,NaT,2015-10-16
761028,Amgen Inc.,Licensed,NaT,2017-09-14
761029,Biogen Inc.,Voluntarily Revoked,NaT,2016-05-27
761032,"Bausch Health Ireland, Limited",Licensed,NaT,2017-02-15
761033,"Teva Respiratory, LLC",Licensed,NaT,2016-03-23
761034,"Genentech, Inc.",Licensed,NaT,2016-05-18
761035,Bristol-Myers Squibb Company,Licensed,NaT,2015-11-30
761036,"Janssen Biotech, Inc.",Licensed,NaT,2015-11-16
761037,Sanofi-Aventis U.S. LLC,Licensed,NaT,2017-05-22
761038,Eli Lilly and Company,Voluntarily Revoked,NaT,2016-10-19
761039,Accord BioPharma Inc.,Licensed,NaT,2018-11-02
761040,Wyeth Pharmaceuticals LLC,Licensed,NaT,2017-08-17
761042,Sandoz Inc.,Licensed,NaT,2016-08-30
761043,GlaxoSmithKline LLC,Licensed,NaT,2017-07-20
761044,"Janssen Biotech, Inc.",Licensed,NaT,2016-09-23
761045,Sandoz Inc.,Licensed,NaT,2019-11-04
761046,Merck Sharp & Dohme LLC,Licensed,NaT,2016-10-21
761047,Ultragenyx Pharamceutical Inc.,Licensed,NaT,2017-11-15
761049,"EMD Serono, Inc.",Licensed,NaT,2017-03-23
761051,"Kyowa Kirin, Inc.",Licensed,NaT,2018-08-08
761052,BioMarin Pharmaceutical Inc.,Licensed,NaT,2017-04-27
761053,"Genentech, Inc.",Licensed,NaT,2017-03-28
761054,"Samsung Bioepis Co., Ltd.",Licensed,NaT,2017-04-21
761055,"Regeneron Pharmaceuticals, Inc.",Licensed,NaT,2017-03-28
761058,"Boehringer Ingelheim Pharmaceuticals, Inc.",Licensed,NaT,2017-08-25
761059,"Samsung Bioepis Co., Ltd.",Licensed,NaT,2019-07-23
761060,Wyeth Pharmaceuticals LLC,Licensed,NaT,2017-09-01
761061,"Janssen Biotech, Inc.",Licensed,NaT,2017-07-13
761062,Amgen Inc.,Licensed,NaT,2019-04-09
761063,Eli Lilly and Company,Licensed,NaT,2018-09-27
761064,"Genentech, Inc.",Licensed,NaT,2017-06-22
761065,Theratechnologies Inc.,Licensed,NaT,2018-03-06
761066,"Samsung Bioepis Co., Ltd.",Licensed,NaT,2019-04-25
761067,Sun Pharmaceutical Industries Limited,Licensed,NaT,2018-03-20
761068,"Kyowa Kirin, Inc.",Licensed,NaT,2018-04-17
761069,AstraZeneca UK Ltd,Licensed,NaT,2017-05-01
761070,AstraZeneca AB,Licensed,NaT,2017-11-14
761071,Sandoz Inc.,Licensed,NaT,2018-10-30
761072,Pfizer Ireland Pharmaceuticals,Licensed,NaT,2017-12-13
761073,Amgen Inc.,Licensed,NaT,2019-06-13
761074,Biocon Biologics Inc.,Licensed,NaT,2017-12-01
761075,Biocon Biologics Inc.,Licensed,NaT,2018-06-04
761077,Amgen Inc.,Licensed,NaT,2018-05-17
761079,BioMarin Pharmaceutical Inc.,Licensed,NaT,2018-05-24
761080,"Hospira Inc., a Pfizer Company",Licensed,NaT,2018-07-20
761081,Pfizer Ireland Pharmaceuticals,Licensed,NaT,2019-03-11
761082,"Kashiv BioSciences, LLC",Licensed,NaT,2022-02-25
761083,"Genentech, Inc.",Licensed,NaT,2017-11-16
761084,"Kashiv BioSciences, LLC",Licensed,NaT,2022-05-26
761085,Evolus Inc.,Licensed,NaT,2019-02-01
761086,Amgen Inc.,Licensed,NaT,2019-12-06
761088,"CELLTRION, Inc.",Licensed,NaT,2018-11-28
761089,"Teva Branded Pharmaceutical Products R&D, Inc.",Licensed,NaT,2018-09-14
761090,"Takeda Pharmaceuticals U.S.A., Inc.",Licensed,NaT,2018-08-23
761091,"CELLTRION, Inc.",Licensed,NaT,2018-12-14
761092,"Chiesi USA, Inc.",Licensed,NaT,2018-10-05
761094,Dompé farmaceutici S.p.A.,Licensed,NaT,2018-08-22
761097,"Regeneron Pharmaceuticals, Inc.",Licensed,NaT,2018-09-28
761099,Pfizer Inc.,Licensed,NaT,2019-06-27
761100,"Samsung Bioepis Co., Ltd.",Licensed,NaT,2019-01-18
761102,Servier Pharmaceuticals LLC,Licensed,NaT,2018-12-20
761103,Pfizer Ireland Pharmaceuticals,Licensed,NaT,2019-07-23
761104,AstraZeneca AB,Voluntarily Revoked,NaT,2018-09-13
761105,AbbVie Inc.,Licensed,NaT,2019-04-23
761106,"Genentech, Inc.",Licensed,NaT,2019-02-28
761107,Swedish Orphan Biovitrum AB (publ),Licensed,NaT,2018-11-20
761108,"Alexion Pharmaceuticals, Inc.",Licensed,NaT,2018-12-21
761109,Eli Lilly and Company,Licensed,NaT,2020-06-15
761111,"Hospira Inc., a Pfizer Company",Licensed,NaT,2020-06-10
761112,Ablynx NV,Licensed,NaT,2019-02-06
761113,Sanofi-Aventis U.S. LLC,Licensed,NaT,2020-03-02
761115,"Gilead Sciences, Inc.",Licensed,NaT,2020-04-22
761116,"Stemline Therapeutics, Inc.",Licensed,NaT,2018-12-21
761118,Pfizer Inc.,Licensed,NaT,2019-11-15
761119,"Lundbeck Seattle BioPharmaceuticals, Inc.",Licensed,NaT,2020-02-21
761121,"Genentech, Inc.",Licensed,NaT,2019-06-10
761122,GlaxoSmithKline LLC,Licensed,NaT,2019-06-06
761123,AstraZeneca AB,Licensed,NaT,2021-07-30
761125,Novartis Pharmaceuticals Corporation,Licensed,NaT,2019-10-07
761126,"Tanvex BioPharma USA, Inc.",Licensed,NaT,2024-06-28
761127,"Revance Therapeutics, Inc.",Licensed,NaT,2022-09-07
761128,Novartis Pharmaceuticals Corporation,Licensed,NaT,2019-11-15
761133,"Takeda Pharmaceuticals U.S.A., Inc.",Licensed,NaT,2023-09-27
761134,Evive Biotechnology Singapore PTE. LTD.,Licensed,NaT,2023-11-16
761136,"Celgene Corporation, a Bristol-Myers Squibb Company",Licensed,NaT,2019-11-08
761137,"Astellas Pharma US, Inc.",Licensed,NaT,2019-12-18
761139,"Daiichi Sankyo, Inc",Licensed,NaT,2019-12-20
761140,Amgen Inc.,Licensed,NaT,2020-12-17
761142,Horizon Therapeutics Ireland DAC,Licensed,NaT,2020-06-11
761143,Horizon Therapeutics Ireland DAC,Licensed,NaT,2020-01-21
761145,"Janssen Biotech, Inc.",Licensed,NaT,2020-05-01
761146,Endo Global Aesthetics Limited,Licensed,NaT,2020-07-06
761148,"Spectrum Pharmaceuticals, Inc.",Licensed,NaT,2022-09-09
761149,"Genentech, Inc.",Licensed,NaT,2020-08-14
761150,MacroGenics Inc.,Licensed,NaT,2020-12-16
761151,"UCB, Inc.",Licensed,NaT,2023-10-17
761154,Biocon Biologics Inc.,Licensed,NaT,2020-07-06
761156,Novo Nordisk Inc.,Licensed,NaT,2020-08-28
761158,GlaxoSmithKline Intellectual Property Development Ltd. England,Voluntarily Revoked,NaT,2020-08-05
761161,Chiesi Farmaceutici S.p.A.,Licensed,NaT,2023-05-09
761163,Incyte Corporation,Licensed,NaT,2020-07-31
761164,"Bioverativ Therapeutics, Inc.",Licensed,NaT,2022-02-04
761165,Sandoz Inc.,Licensed,NaT,2022-08-02
761166,PharmaEssentia Corporation,Licensed,NaT,2021-11-12
761169,"Regeneron Pharmaceuticals, Inc.",Licensed,NaT,2020-10-14
761170,"Genentech, Inc.",Licensed,NaT,2020-06-29
761171,"Y-mABs Therapeutics, Inc",Licensed,NaT,2020-11-25
761172,Emergent Manufacturing Operations Baltimore LLC,Licensed,NaT,2020-12-21
761173,"Fresenius Kabi USA, LLC",Licensed,NaT,2022-09-01
761174,GlaxoSmithKline LLC,Licensed,NaT,2021-04-22
761175,Biocon Biologics Inc.,Licensed,NaT,2025-04-09
761177,Ascendis Pharma Endocrinology Division A/S,Licensed,NaT,2021-08-25
761178,Biogen Inc.,Licensed,NaT,2021-06-07
761179,Jazz Pharmaceuticals Ireland Limited,Licensed,NaT,2021-06-30
761180,LEO Pharma A/S,Licensed,NaT,2021-12-27
761181,"Regeneron Pharmaceuticals, Inc.",Licensed,NaT,2021-02-11
761183,"Provention Bio, Inc.",Licensed,NaT,2022-11-17
761184,Pfizer Ireland Pharmaceuticals,Licensed,NaT,2023-06-27
761188,Biocon Biologics Inc.,Licensed,NaT,2025-07-15
761192,Vericel Corporation,Licensed,NaT,2022-12-28
761194,Genzyme Corporation,Licensed,NaT,2021-08-06
761195,Argenx BV,Licensed,NaT,2021-12-17
761196,ADC Therapeutics SA,Licensed,NaT,2021-04-23
761197,"Genentech, Inc.",Licensed,NaT,2021-10-22
761198,"Bio-Thera Solutions, Ltd.",Licensed,NaT,2023-12-06
761201,Biocon Biologics Inc.,Licensed,NaT,2021-07-28
761202,"Samsung Bioepis Co., Ltd.",Licensed,NaT,2021-09-17
761204,"Amicus Therapeutics US, LLC",Licensed,NaT,2023-09-28
761208,Seagen Inc.,Licensed,NaT,2021-09-20
761210,"Janssen Biotech, Inc.",Licensed,NaT,2021-05-21
761215,Eli Lilly and Company,Licensed,NaT,2021-12-17
761216,Hong Kong King-Friend Industrial Company Limited,Licensed,NaT,2021-12-17
761219,"CELLTRION, Inc.",Licensed,NaT,2023-05-23
761224,AstraZeneca AB,Licensed,NaT,2021-12-17
761225,"Hugel, Inc.",Licensed,NaT,2024-02-29
761228,Immunocore Limited,Licensed,NaT,2022-01-25
761231,Amneal Pharmaceuticals LLC,Licensed,NaT,2022-04-13
761232,"BeiGene USA, Inc.",Licensed,NaT,2024-03-13
761234,Bristol-Myers Squibb Company,Licensed,NaT,2022-03-18
761235,"Genentech, Inc.",Licensed,NaT,2022-01-28
761238,"TG Therapeutics, Inc.",Licensed,NaT,2022-12-28
761240,"Coherus BioSciences, Inc.",Licensed,NaT,2023-10-27
761244,"Boehringer Ingelheim Pharmaceuticals, Inc.",Licensed,NaT,2022-09-01
761248,Eli Lilly and Company,Licensed,NaT,2024-07-02
761255,"Fresenius Kabi USA, LLC",Licensed,NaT,2022-12-13
761258,"Akeso Biopharma Co., Ltd.",Licensed,NaT,2025-04-23
761261,Genzyme Corporation,Licensed,NaT,2022-08-31
761262,AbbVie Inc.,Licensed,NaT,2022-06-16
761263,"Genentech, Inc.",Licensed,NaT,2022-12-22
761268,"CELLTRION, Inc.",Licensed,NaT,2022-09-27
761269,"Eisai, Incorporated",Licensed,NaT,2023-01-06
761274,Biocon Biologics Inc.,Licensed,NaT,2024-05-20
761275,"Fresenius Kabi USA, LLC",Licensed,NaT,2024-03-05
761278,Chiesi Farmaceutici S.p.A.,Licensed,NaT,2023-02-16
761279,Eli Lilly and Company,Licensed,NaT,2023-10-26
761285,Amgen Inc.,Licensed,NaT,2023-10-31
761286,"UCB, Inc.",Licensed,NaT,2023-06-26
761289,AstraZeneca AB,Licensed,NaT,2022-10-21
761291,"Janssen Biotech, Inc.",Licensed,NaT,2022-10-25
761297,"Checkpoint Therapeutics, Inc.",Licensed,NaT,2024-12-13
761298,Amgen Inc.,Licensed,NaT,2024-08-23
761299,Alvotech USA Inc.,Licensed,NaT,2024-02-23
761304,Argenx BV,Licensed,NaT,2023-06-20
761306,Eli Lilly and Company,Licensed,NaT,2024-09-13
761309,"Genentech, Inc.",Licensed,NaT,2023-06-15
761310,"ImmunoGen, Inc.",Licensed,NaT,2022-11-14
761312,"Citius Pharmaceuticals, Inc.",Licensed,NaT,2024-08-07
761315,Novo Nordisk Inc.,Licensed,NaT,2024-12-20
761322,Sandoz Inc.,Licensed,NaT,2023-08-24
761324,"Genmab US, Inc.",Licensed,NaT,2023-05-19
761325,Sanofi-Aventis U.S. LLC,Licensed,NaT,2025-02-14
761328,AstraZeneca AB,Licensed,NaT,2023-07-17
761331,Amgen Inc.,Licensed,NaT,2023-10-31
761333,Amgen Inc.,Licensed,NaT,2024-05-28
761334,Incyte Corporation,Licensed,NaT,2023-03-22
761336,"Altor BioScience, LLC, an indirect wholly-owned subsidiary of ImmunityBio, Inc.",Licensed,NaT,2024-04-22
761338,"CELLTRION, Inc.",Licensed,NaT,2024-12-17
761339,"Regeneron Pharmaceuticals, Inc.",Licensed,NaT,2023-08-18
761340,"Samsung Bioepis Co., Ltd.",Licensed,NaT,2024-07-19
761342,"Janssen Biotech, Inc.",Licensed,NaT,2023-08-09
761343,Alvotech USA Inc.,Licensed,NaT,2024-04-16
761344,Amgen Inc.,Licensed,NaT,2024-05-16
761345,Pfizer Inc.,Licensed,NaT,2023-08-14
761346,Accord BioPharma Inc.,Licensed,NaT,2024-04-25
761347,"Genentech, Inc.",Licensed,NaT,2024-09-12
761349,Novartis Pharmaceuticals Corporation,Licensed,NaT,2023-10-06
761350,"Samsung Bioepis Co., Ltd.",Licensed,NaT,2024-05-20
761352,Merus NV,Licensed,NaT,2024-12-04
761354,Biogen MA Inc.,Licensed,NaT,2023-09-29
761355,"Regeneron Pharmaceuticals, Inc.",Licensed,NaT,2023-08-18
761358,"CELLTRION, Inc.",Licensed,NaT,2023-10-20
761362,Sandoz Inc.,Licensed,NaT,2024-03-05
761363,Merck Sharp & Dohme LLC,Licensed,NaT,2024-03-26
761364,Accord BioPharma Inc.,Licensed,NaT,2024-10-10
761365,"Astellas Pharma US, Inc.",Licensed,NaT,2024-10-18
761367,CSL Behring LLC,Licensed,NaT,2025-06-16
761369,Pfizer Inc.,Licensed,NaT,2024-10-11
761371,"Genentech, Inc.",Licensed,NaT,2024-09-13
761373,"Samsung Bioepis Co., Ltd.",Licensed,NaT,2024-06-28
761375,"Eisai, Incorporated",Licensed,NaT,2025-08-29
761378,Formycon AG,Licensed,NaT,2024-06-28
761379,"Fresenius Kabi USA, LLC",Licensed,NaT,2024-09-27
