BLANumber,Applicant,Status,OriginalLicensureDate,LastUpdateDate
101072,Merck Sharp & Dohme LLC,Voluntarily Revoked,NaT,2067-12-28
101075,Merck Sharp & Dohme LLC,Voluntarily Revoked,NaT,2069-06-09
101094,Merck Sharp & Dohme LLC,Licensed,NaT,1977-11-21
101098,Wyeth Pharmaceuticals LLC,Voluntarily Revoked,NaT,2054-02-08
101099,Wyeth Pharmaceuticals LLC,Licensed,NaT,2067-08-28
101130,Grifols Therapeutics LLC,Licensed,NaT,2074-01-24
101134,Grifols Therapeutics LLC,Licensed,NaT,2044-01-11
101138,Grifols Therapeutics LLC,Licensed,NaT,2042-10-21
101140,Grifols Therapeutics LLC,Licensed,NaT,2058-10-02
101141,Grifols Therapeutics LLC,Licensed,NaT,2071-06-11
101142,Grifols Therapeutics LLC,Licensed,NaT,2057-10-17
101144,Grifols Therapeutics LLC,Licensed,NaT,2074-06-12
101146,Grifols Therapeutics LLC,Licensed,NaT,1977-09-23
101147,Grifols Therapeutics LLC,Voluntarily Revoked,NaT,1981-09-11
101246,"Recordati Rare Diseases, Inc.",Licensed,NaT,1983-07-20
101322,MassBiologics,Licensed,NaT,2070-07-27
101377,"Allergy Laboratories, Inc.",Voluntarily Revoked,NaT,2030-07-11
101378,"Allergy Laboratories, Inc.",Voluntarily Revoked,NaT,2030-07-11
101379,"Allergy Laboratories, Inc.",Voluntarily Revoked,NaT,2030-06-14
101380,"Allergy Laboratories, Inc.",Voluntarily Revoked,NaT,2030-06-14
101381,"Allergy Laboratories, Inc.",Voluntarily Revoked,NaT,2030-06-14
101382,"Allergy Laboratories, Inc.",Voluntarily Revoked,NaT,2030-06-14
101383,"Allergy Laboratories, Inc.",Voluntarily Revoked,NaT,2030-06-14
101384,"Allergy Laboratories, Inc.",Voluntarily Revoked,NaT,2030-06-14
101385,"Allergy Laboratories, Inc.",Voluntarily Revoked,NaT,2030-06-14
101386,"Allergy Laboratories, Inc.",Voluntarily Revoked,NaT,2030-06-14
