ApplNo,ProductNo,TECode
077302,006,AB1
205401,001,AB1
205401,002,AB1
205401,003,AB1
205401,004,AB1
205401,005,AB1
205401,006,AB1
214959,001,AB1
214959,002,AB1
214959,003,AB1
214959,004,AB1
214959,005,AB1
214959,006,AB1
212037,001,AB1
212037,002,AB1
212037,003,AB1
212037,004,AB1
212037,005,AB1
212037,006,AB1
217027,001,AB1
217027,002,AB1
217027,003,AB1
217027,004,AB1
217027,005,AB1
217027,006,AB1
076852,001,AB1
076852,002,AB1
076852,003,AB1
076852,004,AB1
076852,005,AB1
076852,006,AB1
214403,001,AB1
214403,002,AB1
214403,003,AB1
214403,004,AB1
214403,005,AB1
214403,006,AB1
214777,001,AB1
214777,002,AB1
214777,003,AB1
214777,004,AB1
214777,005,AB1
214777,006,AB1
210651,001,AB1
210651,002,AB1
210651,003,AB1
210651,004,AB1
210651,005,AB1
210651,006,AB1
211547,001,AB1
211547,002,AB1
211546,001,AB2
211547,003,AB1
211547,004,AB1
211546,002,AB2
211547,005,AB1
211547,006,AB1
211546,003,AB2
211546,004,AB2
215997,001,AB2
215997,002,AB2
215997,003,AB2
215997,004,AB2
210876,001,AB2
210876,002,AB2
210876,003,AB2
210876,004,AB2
203901,001,AB
203901,002,AB
203901,003,AB
076353,001,AB
076353,002,AB
076353,003,AB
205673,001,AB
205673,002,AB
205673,003,AB
206997,001,AB2
206997,002,AB2
206997,003,AB2
202463,001,AB3
216968,001,AB3
218587,001,AB2
216968,002,AB3
218587,002,AB2
216968,003,AB3
218587,003,AB2
216968,004,AB3
216968,005,AB3
074943,003,AB2
074943,002,AB2
074943,001,AB2
091022,001,AB4
091022,002,AB4
091022,003,AB4
091022,004,AB4
091022,005,AB4
091022,006,AB4
215775,001,AB1
215775,002,AB1
215775,003,AB1
212317,001,AB1
212317,002,AB1
212317,003,AB1
074910,001,AB1
074910,002,AB1
074910,003,AB1
218032,001,AB1
218032,002,AB1
208783,001,AB3
218032,003,AB1
208783,002,AB3
208783,003,AB3
208783,004,AB3
208783,005,AB3
074984,001,AB3
074984,002,AB3
074984,003,AB3
074984,004,AB3
203023,005,AB3
217377,001,AB1
217377,002,AB1
205231,001,AB3
217377,003,AB1
205231,002,AB3
205231,003,AB3
205231,004,AB3
205231,005,AB3
219073,001,AB1
