ApplNo,ProductNo,TECode
200068,001,AB
203005,001,AB
214871,001,AB
218227,001,AB
214525,001,AB
213955,001,AB
212634,001,AB
210370,001,AB
205545,001,AB
205545,002,AB
079182,001,AB
079182,002,AB
212784,001,AB
208823,001,AB
210186,001,AB
218131,001,AB
215538,001,AB
209590,001,AB
212858,001,AB
213695,001,AB
208347,001,AB
215313,001,AB
217303,001,AB
211894,001,AB
213594,001,AB
211125,001,AB
209113,001,AB
207027,002,AB
207027,001,AB
022318,002,AB
022318,001,AB
203109,001,AB
218502,001,AB
207624,001,AB
207624,002,AB
209374,001,AB
217319,002,AB
217319,001,AB
210464,002,AB
210464,001,AB
211316,002,AB
211316,001,AB
207291,002,AB
207291,001,AB
211917,001,AB
211917,002,AB
212883,001,AB
212440,001,AB
211092,001,AB
214773,001,AB
213814,001,AB
213014,001,AB
213041,001,AB
211638,001,AB
214641,001,AB
212260,001,AB
215522,001,AB
211534,001,AB
215708,001,AB
202091,001,AB
065355,001,AB
021246,002,AB
021630,001,AB
205034,001,AB
206799,001,AB
216805,001,AB
022362,002,AB
215859,001,AB
050710,001,AB
050710,002,AB
021132,001,AB
020845,003,AA
207141,002,AA
203144,001,AA
075276,001,AB
076508,001,AB
022309,001,AB
021015,003,AB1
217882,001,AB
216160,001,AB
021166,002,AB
204570,001,AB
076737,003,AB1
207373,001,AB
208620,001,AB
212984,002,AB1
208560,001,AB
204268,001,AB
209390,001,AB
210835,001,AB
204399,003,BX
202872,001,AB
208219,001,AB
218087,001,AB
212080,001,AB
215384,001,AB
020648,007,AB
020648,006,AB
091076,001,AB
091076,002,AB
050819,001,AB
021794,001,AB
207154,001,AB
201000,001,AB
213508,001,AB
200298,001,AB
208322,001,AB
209641,001,AB
214185,001,AB
206164,001,AB
208108,001,AB
205033,001,AB
212464,001,AB
206959,001,AB
209148,001,AB
214553,001,AB
022070,001,AB
208011,001,AB
208724,001,AB
204637,001,AB
210549,001,AB
050557,001,AB
215398,001,AB
209158,001,AB
077896,001,AB
091595,001,AB
078266,001,AB
050615,001,AB1
050782,001,AB2
212466,001,AB1
214668,001,AB2
212438,001,AB1
064160,001,AB1
214251,001,AB1
212104,001,AB1
211872,001,AB1
212842,001,AB2
214052,001,AB1
216587,001,AB1
205128,001,AB
207194,001,AB
212433,001,AB
209252,001,AB
065443,001,AB
205397,001,AB
209610,001,AB
202440,001,AB
090979,001,AB
206575,001,AB
208683,001,AB
208776,001,AB
206218,001,AB
210794,001,AB
202564,001,AB1
216943,001,AB2
212845,001,AB2
075368,001,AB
075027,001,AB
075279,001,AB
020529,001,AB
215718,001,AB
209890,001,AB
212701,001,AB
218457,001,AB
210178,001,AB
212383,001,AB
213847,001,AB
209506,001,AB
210191,001,AB
214722,001,AB
213907,001,AB
213636,001,AB
214019,001,AB
090727,001,AB
077552,001,AB
204675,001,AB
206493,001,AB
212351,001,BX
200936,001,AB
208301,001,AB
210893,001,AB
206298,001,AB
021753,001,AB
050741,001,AB
022320,001,AB
207917,001,AB
050617,001,AT
064184,001,AT
063211,001,AT
065385,001,AB
021470,001,AB
072933,001,AB
209030,001,AB
074935,001,AB
021789,001,AB
212646,001,AB
218941,001,AB
078178,001,AB
216692,001,AB
077547,001,AB
077018,001,AB
077819,001,AB
204651,001,AB
204708,001,AB
206165,001,AB
208201,001,AB
019356,001,AB
204286,001,AB
050819,002,AB
211871,001,AB
017955,001,AB
017579,002,AB
020475,003,AB
021056,001,AB
215433,001,AB
214136,001,AB
213079,001,AB
213079,002,AB
213644,001,AB
213644,002,AB
020600,001,AB
020600,002,AB
074904,001,AB
218246,001,AB
218245,001,AB
217588,001,AB
217587,001,AB
207955,001,AB
075589,001,AB
075529,001,AB
215609,001,AB
050803,001,AB2
050802,001,AB1
022309,002,AB2
022309,003,AB2
021015,001,AB1
021015,002,AB1
022038,001,AB
022038,002,AB
022038,003,AB
022038,004,AB
022038,005,AB
216055,001,AB
216055,002,AB
216055,003,AB
216055,004,AB
216055,005,AB
211783,001,AB
211783,002,AB
211783,003,AB
218507,001,AB
218507,002,AB
218507,003,AB
218507,005,AB
218507,004,AB
217610,001,AB
217610,002,AB
217610,003,AB
217610,004,AB
217610,005,AB
216524,001,AB
216524,002,AB
216524,003,AB
216524,004,AB
216524,005,AB
217863,001,AB
217863,002,AB
217863,003,AB
217863,004,AB
217863,005,AB
021454,001,AB2
204570,002,AB2
204570,003,AB2
076737,001,AB1
076737,002,AB1
091073,001,AB2
212984,003,AB1
212984,001,AB1
205781,001,AB2
205781,002,AB2
076744,001,AB1
076744,002,AB1
204399,002,AB2
020208,001,AB
216323,001,AB
215610,001,AB
215794,001,AB
211786,001,AB
216750,001,AB
213648,001,AB
021806,001,BX
017563,003,AB
017563,004,AB
077277,001,AB
077277,002,AB
213374,001,AB
213374,002,AB
213374,003,AB
216229,003,AB
216229,001,AB
216229,002,AB
214559,001,AB
214559,002,AB
214559,003,AB
215026,001,AB
215026,002,AB
215026,003,AB
214650,003,AB
214650,001,AB
214650,002,AB
214180,001,AB
214180,002,AB
214180,003,AB
050207,001,AB
050207,003,AB
050207,002,AB
211204,001,AB
211204,002,AB
062055,001,AB
062055,003,AB
062055,002,AB
216212,001,AB
216212,002,AB
207968,001,AB
207968,002,AB
207968,003,AB
203438,001,AB
213471,001,AB
202906,001,AB
210431,001,AB
021409,001,AB
050740,001,AB
215354,001,AB
214010,001,AB
212967,001,AB
212514,001,AB
214348,001,AP
214348,002,AP
050718,001,AB
050718,002,AB
219199,001,AB
219199,002,AB
207228,001,AB
207228,002,AB
212219,001,AB
212219,002,AB
208657,001,AB
208657,002,AB
215178,001,AB
215178,002,AB
203263,001,AB
203263,002,AB
212299,001,AB
212299,002,AB
022496,001,AP
022496,002,AP
202693,001,AP
219775,001,AP
040089,001,AP
200880,001,AP
040784,001,AP
206533,001,AP
203701,001,AP
074930,001,AP
215404,001,AP
218111,001,AP
206535,001,AP
077133,001,AP
205568,001,AP
206778,001,AP
077283,001,AP
076404,001,AP
076500,001,AP
078686,001,AP
078076,001,AP
019353,001,AP
075221,001,AP
212363,001,AP
076870,001,AP
020298,001,AP
074815,001,AP
075196,001,AP
018227,001,AP
204040,001,AP
205604,001,AP
063315,001,AP
064045,002,AP
218146,001,AP
203323,001,AP
071192,001,AP
070010,001,AP
077610,001,AP
077834,001,AP
075761,001,AP
077161,001,AP
077234,001,AP
076217,001,AP
218253,001,AP
065406,001,AP
065406,002,AP
065403,001,AP
201406,001,AP
201406,002,AP
090349,001,AP
090349,002,AP
090339,001,AP
065076,001,AP
065176,001,AP
065176,002,AP
065188,001,AP
065222,001,AP
065222,002,AP
065314,001,AP
201024,001,AP
201024,002,AP
202197,001,AP
065241,001,AP
065310,001,AP
065241,002,AP
065310,002,AP
065240,001,AP
090889,001,AP
090354,003,AP
090354,004,AP
090354,001,AP
090354,002,AP
065499,004,AP
065499,005,AP
065493,001,AP
065499,002,AP
065499,003,AP
062772,001,AP
062772,003,AP
063142,001,AP
062772,006,AP
062772,007,AP
062719,002,AP
062797,002,AP
201404,001,AP
062719,001,AP
062719,003,AP
201025,003,AP
201025,004,AP
202198,001,AP
090583,004,AP
090583,005,AP
090581,001,AP
090583,001,AP
090583,002,AP
090583,003,AP
061395,004,AP
061395,005,AP
061395,006,AP
061395,001,AP
061395,002,AP
061395,003,AP
008453,002,AP
206698,001,AP
214235,001,AP
217848,001,AP
203049,002,AP
203049,001,AP
204120,001,AP
202626,001,AP
091665,001,AP
210739,001,AP
210739,002,AP
210802,001,AP
208231,001,AP
215059,002,AP
215059,001,AP
209315,001,AP
209780,001,AP
217413,001,AP
217413,002,AP
209873,001,AP
215359,001,AP
206228,001,AP
206228,002,AP
018140,001,AP
018140,002,AP
074901,001,AP
090761,001,AP
091489,001,AP
074900,001,AP
090782,001,AP
091488,001,AP
050580,002,AP
050580,003,AP
203294,001,AP
065179,001,AP
065501,001,AP
065500,001,AP
203412,001,AP
065439,002,AP
065439,003,AP
206517,001,AP
206517,002,AP
090233,001,AP
209442,001,AP
090287,001,AP
091525,001,AP
090747,001,AB
077838,001,AB
050141,001,BC
017422,001,AP
065185,001,AP
065185,002,AP
065042,002,AP
065042,001,AP
065031,001,AP
065031,002,AP
205030,001,AP
205030,002,AP
019386,006,AP
019386,005,AP
019386,004,AP
011559,001,AP
218746,001,AP
216434,001,AP
217153,001,AP
215364,001,AP
219116,001,AP
074441,001,AP
079196,001,AP
217821,001,AP
217821,002,AP
217821,003,AP
207183,001,AP
207183,002,AP
205141,001,AP
205141,002,AP
070583,001,AP
070590,001,AP
070584,001,AP
070597,001,AP
070609,001,AP
070585,001,AP
216039,001,AP
216040,001,AP
216039,002,AP
216040,002,AP
216040,003,AP
091503,001,AP
091503,002,AP
217792,001,AP
217792,002,AP
071168,001,AP
071170,001,AP
203895,001,AP
203895,002,AP
203895,003,AP
204842,001,AP
204842,002,AP
204842,003,AP
091487,002,AP
091487,001,AP
091487,003,AP
076931,001,AP
074137,001,AP
206586,001,AP
219302,001,AP
210148,001,AP
209580,001,AP
205672,001,AP
212127,001,AP
208536,001,AP
207050,001,AP
215235,001,AP
210931,001,AP
020954,001,AP
075046,001,AP
078400,001,AP
078400,002,AP
075045,001,AP
075045,002,AP
074626,001,AP
074626,002,AP
213766,001,AP
212416,001,AP
215715,001,AP
212675,001,AP
209358,001,AP
219196,001,AP
211030,001,AP
078066,001,AP
209088,001,AP
217524,001,AP
219342,001,AP
203477,001,AP
211553,001,AP
218133,001,AP
021117,001,AP
020571,001,AP
020571,002,AP
020571,003,AP
217198,001,AP
215337,001,AP
216882,001,AP
211941,001,AP
216939,001,AP
217657,001,AP
214499,001,AP
218013,001,AP
216897,001,AP
216824,001,AP
213118,001,AP
019785,001,AP
215730,001,AP
211229,001,AP
213207,001,AP
211202,001,AP
213460,001,AP
214814,001,AP
210179,001,AP
209278,001,AP
020182,001,AP
020379,001,AP
020379,002,AP
020379,004,AP
065303,002,AP
065306,001,AP
065303,001,AP
065047,002,AP
065143,001,AP
065047,001,AP
203661,001,AP
209217,001,AP
062831,002,AP
065345,001,AP
062831,003,AP
062831,001,AP
065441,001,AP
065441,002,AP
214402,001,AP
214402,002,AP
203704,002,AP
203704,003,AP
091048,001,AP
091048,002,AP
050588,001,AP
050588,002,AP
065374,001,AP
065374,002,AP
065414,001,AP
065414,002,AP
065415,001,AP
065051,001,AP
065051,002,AP
065050,001,AP
065238,001,AP
065238,002,AP
065239,001,AP
065214,001,AP
065214,002,AP
062640,002,AP
062640,003,AP
062640,004,AP
065329,002,AP
065329,003,AP
065328,001,AP
065329,001,AP
209218,001,AP
065168,001,AP
065204,001,AP
065204,002,AP
065180,001,AP
050796,001,AP
050796,002,AP
091117,001,AP
090701,001,AP
064125,002,AP
065048,002,AP
014602,001,AB
050758,001,AP
020450,001,AP
064103,001,AP
040273,001,AP
040273,002,AP
202561,001,AP
090896,001,AP
218630,001,AP
202462,001,AP
091546,001,AP
218272,001,AP
218229,001,AP
080365,001,AP
211816,001,AP
216911,001,AP
083329,001,AP
216724,001,AP
217275,001,AP
018963,001,AP
218538,001,AP
018961,001,AP
078062,001,AP
078062,002,AP
076717,001,AP
076717,002,AP
078431,001,AP
077753,001,AP
077753,002,AP
078252,001,AP
078252,002,AP
018124,001,AP
019039,001,AP
217725,001,AP
217725,002,AP
203183,001,AP
215516,001,AP
215516,003,AP
215516,002,AP
204960,003,AP
203078,001,AP
203079,001,AP
203078,002,AP
203236,001,AP
203238,001,AP
203236,002,AP
211668,001,AP
211669,001,AP
211668,002,AP
201836,001,AP
201851,001,AP
201836,002,AP
200159,001,AP
209132,001,AP
212171,001,AP
212171,002,AP
203182,001,AP
203182,002,AP
204960,001,AP
204960,002,AP
200154,001,AP
200154,002,AP
206791,001,AP
206791,002,AP
206774,001,AP
074735,001,AP
207323,001,AP
075036,001,AP
018057,004,AP
074656,001,AP
218868,001,AP
021383,001,AP
076571,001,AP
075405,001,AP
210856,001,AP
062803,001,AP
050441,001,AP
062889,001,AP
065206,001,AP
090108,001,AP
090109,001,AP
208084,001,AP
208084,002,AP
208084,003,AP
203048,001,AP
203048,002,AP
203048,003,AP
201692,001,AP
201692,002,AP
201692,003,AP
214401,001,AP
214401,002,AP
214401,003,AP
200673,001,AP
200673,002,AP
200300,001,AP
200300,002,AP
203167,001,AP
203167,002,AP
202601,001,AP
202601,002,AP
202359,001,AP
065364,001,AP
201365,001,AP
205356,001,AP
050108,002,AP
016750,001,AP
020491,001,AP
202147,001,AP
212071,001,AP
217626,001,AP
216113,001,AP
018960,001,AP
080737,001,AP
214390,001,AP
217839,001,AP
214316,001,AP
204829,001,AP
215107,001,AP
212915,001,AP
215417,001,AP
206503,001,AP
209429,001,AP
209255,001,AP
080515,002,AP
214655,001,AP
210046,002,AP
210046,003,AP
210046,001,AP
040745,002,AP
040745,003,AP
040745,001,AP
218644,002,AP
218644,003,AP
218644,001,AP
218632,002,AP
218632,003,AP
218632,001,AP
204555,002,AP
204555,003,AP
204555,001,AP
216958,002,AP
216958,003,AP
216958,001,AP
214529,002,AP
214529,003,AP
214529,001,AP
215089,002,AP
215089,003,AP
215089,001,AP
211757,002,AP
211757,003,AP
211757,001,AP
065004,001,AP
065151,001,AP
019281,001,AP
076512,001,AP
211938,001,AP
211937,001,AP
071471,001,AP
071868,001,AP
072168,001,AP
072945,001,AP
075383,001,AP
208485,001,AP
205696,001,AP
200915,001,AP
201784,001,AP
074245,002,AP
075371,002,AP
075812,001,AP
075812,002,AP
075259,002,AP
075259,001,AP
203385,001,AP
207232,001,AP
213463,001,AP
203999,001,AP
018264,001,AP
204762,001,AP
065000,001,AP
050731,001,AP
208759,001,AP
065035,001,AP
018938,001,AP
078718,002,AP
078718,001,AP
207384,002,AP
207384,001,AP
078086,002,AP
078086,001,AP
076019,002,AP
076019,001,AP
009402,002,AO
009402,004,AO
021171,001,AP
021171,002,AP
021171,003,AP
021171,004,AP
011757,001,AB
011757,004,AB
020246,001,AB
085635,002,AO
085635,003,AO
016267,001,AP
215961,001,AP
216904,001,AP
216922,001,AP
074888,001,AP
204695,001,AP
204751,001,AP
210218,001,AP
210223,001,AP
208689,001,AP
210966,001,AP
210967,001,AP
084916,001,AP
203129,001,AP
040572,001,AP
209192,001,AP
215654,001,AP
215654,002,AP
084282,001,AP
087702,001,AP
217797,001,AP
040803,001,AP
040802,001,AP
207521,001,AP
211036,001,AP
208690,001,AP
040491,001,AP
207442,001,AP
204023,001,AP
204686,001,AP
216604,001,AP
216604,002,AP
207551,001,AP
207551,002,AP
208532,001,AP
208532,002,AP
205867,001,AP
210321,001,AP
210321,002,AP
208129,001,AP
201072,001,AP
208129,002,AP
208129,003,AP
202126,001,AP
209307,001,AP
209307,002,AP
209065,002,AP
209065,001,AP
209065,003,AP
209065,004,AP
206407,003,AP
205046,001,AP
206407,001,AP
206407,002,AP
204843,001,AP
217308,001,AP
217308,002,AP
202881,001,AP
212571,001,AP
212571,002,AP
203972,001,AP
208266,001,AP
208266,002,AP
202585,001,AP
091465,001,AP
212857,001,AP
212857,002,AP
212857,003,AP
205272,001,AP
212791,001,AP
212791,002,AP
206798,001,AP
200752,001,AP
200752,002,AP
207321,002,AP
207321,001,AP
076068,001,AP
076068,002,AP
216748,001,AP
216748,002,AP
019626,004,AP
016694,001,AP
209448,001,AP
018080,001,AP
019631,004,AP
016697,001,AP
211190,001,AP
017608,001,AP
212346,001,AP
017634,004,AP
212346,002,AP
017634,001,AP
017634,002,AP
019631,007,AP
211221,001,AP
017606,001,AP
211194,001,AP
017799,001,AP
019631,008,AP
211276,001,AP
019631,009,AP
017607,001,AP
211211,001,AP
019631,010,AP
017585,001,AP
019634,003,AP
016730,001,AP
019626,002,AP
016730,002,AP
016673,001,AP
020179,001,AP
016673,003,AP
020179,002,AP
207449,001,AP
019466,001,AP
019479,001,AP
016367,002,AP
016689,001,AP
016687,001,AP
016683,001,AP
016678,001,AP
018037,006,AP
018037,007,AP
018037,004,AP
018037,008,AP
018037,001,AP
018037,005,AP
018037,009,AP
018037,002,AP
018037,003,AP
018629,005,AP
018629,002,AP
018629,003,AP
018629,004,AP
018629,006,AP
018629,007,AP
018629,008,AP
018629,001,AP
018008,010,AP
019445,001,AP
203451,001,AP
020047,001,AP
018563,001,AP
019626,005,AP
020047,003,AP
018561,001,AP
019893,001,AP
218450,001,AP
210363,001,AP
211998,001,AP
218422,001,AP
214745,001,AP
216422,001,AP
070313,001,AP
070311,001,AP
072079,001,AP
071583,001,AP
217178,001,AP
208353,001,AP
210979,001,AP
210257,001,AP
207076,001,AP
214332,001,AP
214333,001,AP
040465,001,AP
083391,001,AP
040481,001,AP
215623,001,AP
040453,001,AP
206621,001,AP
040475,001,AP
212046,001,AP
207264,001,AP
019034,006,AP
019034,007,AP
019034,003,AP
019034,004,AP
019034,005,AP
216552,001,AP
078538,001,AP
074941,001,AP
075086,001,AP
074617,001,AP
040466,001,AP
205336,001,AP
218448,001,AP
205723,001,AP
040498,001,AP
080817,002,AP
091526,001,AP
019627,002,AB
074939,001,AP
074521,001,AP
074277,001,AP
074086,001,AP
216131,001,AP
020255,001,AP
020255,003,AP
020255,004,AP
020255,005,AP
020201,003,AP
020201,002,AP
020201,001,AP
020201,006,AP
201195,003,AP
201195,004,AP
201195,005,AP
203551,001,AP
203551,002,AP
203551,004,AP
215744,001,AP
215744,002,AP
215744,003,AP
209640,001,AP
209640,002,AP
209640,003,AP
204193,001,AP
204193,002,AP
214575,001,AP
214575,002,AP
214575,003,AP
213510,001,AP
213510,002,AP
213510,003,AP
213768,001,AP
213768,002,AP
207252,001,AP
207252,002,AP
207252,003,AP
216677,002,AP
216677,003,AP
216677,001,AP
204490,001,AP
204490,002,AP
022234,001,AP
022234,002,AP
022234,003,AP
209634,001,AP
209634,002,AP
209634,003,AP
210072,001,AP
210848,001,AP
208137,001,AP
208859,001,AP
207563,002,AP
207563,003,AP
201525,001,AP
201525,002,AP
201525,003,AP
210327,001,AP
205934,001,AP
210327,002,AP
205934,002,AP
210327,003,AP
205934,003,AP
207707,001,AP
207707,002,AP
018132,001,AP
018132,002,AP
018132,004,AP
018132,003,AP
019615,001,AP
019615,002,AP
019615,003,AP
018826,001,AP
018826,002,AP
018826,003,AP
014879,001,AP
076266,001,AP
215810,001,AP
213717,001,AP
213717,002,AP
210452,001,AP
091101,001,AP
208614,001,AP
210801,001,AP
211670,001,AP
091333,001,AP
200926,001,AP
203622,001,AP
203622,002,AP
208888,001,AP
208888,002,AP
063277,001,AP
209825,001,AP
062975,001,AP
062921,002,AP
062921,003,AP
064097,001,AP
200170,002,AP
050629,001,AP
050629,002,AP
091495,001,AP
091418,001,AP
062475,001,AP
062475,002,AP
091406,001,AP
207757,001,AP
207757,002,AP
218888,001,AP
218753,001,AP
215583,001,AP
217854,001,AP
218053,001,AP
217794,001,AP
216690,001,AP
217078,001,AP
217685,001,AP
217685,002,AP
062992,001,AP
062992,002,AP
018511,001,AP
072123,001,AP
208197,001,AP
020615,001,AP
018565,001,AP
018565,002,AP
016093,001,AP
020649,002,AP
020649,003,AP
020649,004,AP
050778,001,AP
050778,002,AP
075634,001,AP
075578,001,AP
078687,001,AP
075458,001,AP
065361,001,AP
065361,002,AP
090163,001,AP
065289,001,AP
065289,002,AP
090075,001,AP
090075,002,AP
065331,001,AP
065331,002,AP
078396,001,AP1
078396,002,AP1
213913,001,AP2
213913,002,AP2
210473,001,AP2
210473,002,AP2
208554,002,AP
206127,001,AP
206127,002,AP
213599,001,AP
213599,002,AP
203258,001,AP
203258,002,AP
204693,001,AP
204693,002,AP
213081,001,AP
213081,002,AP
209864,001,AP
209864,002,AP
090854,001,AP
062638,001,AP
050609,001,AP
216761,001,AP
215290,001,AP
216603,001,AP
216603,002,AP
216244,001,AP
216244,002,AP
205520,001,AP
208538,001,AP
076323,001,AP
214172,001,AP
214172,002,AP
076474,001,AP
206608,001,AP
206608,002,AP
207107,001,AP
207107,002,AP
090920,001,AO
090920,002,AO
203723,001,AO
203723,002,AO
203723,003,AO
216656,001,AO
216656,002,AO
216656,003,AO
204634,001,AP
205473,001,AP
208663,001,AP
207758,001,AP
215028,001,AP
206126,001,AP
209058,001,AP
074593,001,AP
202354,001,AP
201044,001,AP
202360,001,AP
074513,001,AP
074983,001,AP
074290,001,AP
074529,001,AP
075709,001,AP
075488,001,AP
078641,001,AP
075651,001,AP
075684,001,AP
075813,001,AP
075486,001,AP
078642,001,AP
075622,001,AP
075825,001,AP
212086,001,AP
019101,001,AP
019115,001,AP
210762,001,AP
020955,001,AB
018657,001,AP
020444,001,AP1
020444,002,AP1
075837,001,AP
075387,001,AP
076145,001,AP
076145,002,AP
076087,001,AP
076087,003,AP
076736,001,AP
076766,001,AP
076766,002,AP
078107,001,AP
078107,002,AP
078698,001,AP
078698,002,AP
076303,001,AP
076303,002,AP
079104,001,AP
079104,002,AP
077909,001,AP
077909,002,AP
078610,001,AP
090724,001,AP1
078393,001,AP1
078544,001,AP
076349,001,AP
076661,001,AP1
076755,002,AP
076755,001,AP
076955,002,AP
076955,001,AP
076256,002,AP
076787,002,AP
076256,001,AP
076787,001,AP
078527,001,AP
078527,002,AP
078595,001,AP
090584,001,AP
090584,002,AP
077071,001,AP
077071,002,AP
040743,001,AP
040798,001,AP
040743,002,AP
217295,001,AP
217676,001,AP
202668,002,AP
202669,001,AP
202669,002,AP
202668,001,AP
040279,001,AP
040278,001,AP
040278,002,AP
040279,002,AP
210123,002,AP
210124,001,AP
210124,002,AP
210123,001,AP
216494,001,AP
215699,001,AP
203608,002,AP
203609,001,AP
203609,002,AP
203608,001,AP
207739,001,AO
071413,001,AO
215509,001,AO
074531,001,AO
215365,001,AO
075918,001,AO
203732,001,AO
089202,001,AP
202522,001,AP
078368,001,AP
216791,001,AP
078639,001,AP
078537,001,AP
216602,001,AP
213807,001,AP
212483,001,AP
213001,001,AP
213987,001,AP
020068,001,AP
078052,001,AP
214926,001,AP
077481,001,AP
077989,001,AP
078765,001,AP
078417,001,AP
078137,001,AP
070017,001,AP
207552,001,AP
208435,001,AP
217557,001,AP
203428,001,AP
202747,001,AP
212174,001,AP
018902,001,AP
213902,001,AP
018267,001,AP
075241,001,AP
018667,001,AP
216860,001,AP
212803,001,AP
215856,001,AP
214766,001,AP
077941,001,AP
204246,001,AP
218749,001,AP
018058,001,BS
090658,001,AP
076222,001,AP
204950,001,AP
207645,001,AP
204204,001,AP
212613,001,AP
215658,001,AP
216075,001,AP
214996,001,AP
021057,001,AP
218855,001,AP
219454,001,AP
091365,002,AP
202997,001,AP
091365,001,AP
090799,002,AP
090242,003,AP
090799,003,AP
090799,001,AP
204520,002,AP
204520,001,AP
213175,002,AP
213175,003,AP
213175,001,AP
078339,002,AP
078339,001,AP
200795,002,AP
079183,001,AP
200795,003,AP
200795,001,AP
202485,002,AP
202485,001,AP
212129,002,AP
212129,003,AP
212129,001,AP
205242,002,AP
205242,003,AP
205242,001,AP
210383,002,AP
210383,003,AP
210383,001,AP
209077,002,AP
209077,003,AP
209077,001,AP
207575,002,AP
210991,002,AP
210991,003,AP
207575,001,AP
210991,001,AP
078433,002,AP
078433,001,AP
078759,002,AP
078759,001,AP
215236,001,AP
215237,001,AP
062366,002,AP
062366,001,AP
062251,002,AP
062251,001,AP
062420,001,AP
062420,002,AP
062373,007,AP
062373,008,AP
062373,002,AP
062373,005,AP
062414,001,AP
062414,003,AP
062414,008,AP
062414,010,AP
208086,001,AP
214457,001,AP
204468,001,AP
213238,001,AP
214635,001,AP
089335,001,AP
208973,001,AP
215333,001,AP
210246,001,AP
211705,001,AP
209024,001,AP
209328,001,AP
212612,001,AP
090963,001,AP
212802,001,AP
212871,001,AP
210842,001,AP
210927,001,AP
210083,001,AP
211334,001,AP
207639,001,AP
212591,001,AP
078262,001,AP
078258,001,AP
078258,002,AP
078863,001,AP
078880,001,AP
078392,001,AP
077297,001,AP
078522,001,AP
078090,001,AP
077913,001,AP
077186,001,AP
077187,001,AP
077177,001,AP
078629,001,AP
078629,002,AP
091136,001,AP
091136,002,AP
091137,002,AP
079078,001,AP
079078,002,AP
078534,001,AP
078531,001,AP
078531,002,AP
078835,001,AP
078835,002,AP
078863,002,AP
078096,001,AP
018701,001,AO
018701,002,AO
075689,001,AP
076774,001,AP
075858,001,AP
078347,001,AP
091637,001,AP
200742,001,AP
219168,001,AO
219168,002,AO
074893,001,AO
074893,002,AO
205241,001,AO
205241,002,AO
075305,001,AO
216730,001,AO
216730,002,AO
214507,001,AO
214507,002,AO
075440,001,AO
075440,002,AO
209101,001,AO
209101,002,AO
211180,001,AO
211180,002,AO
021027,002,AP
021027,001,AP
017989,001,AP
214804,001,AP
214839,001,AP
017029,001,AP
206552,001,AP
017651,006,AP
017029,003,AP
017029,004,AP
205323,002,AP
205323,001,AP
017037,001,AP
017037,002,AP
017037,003,AP
090571,001,AP
090571,002,AP
090571,003,AP
211005,001,AP
211007,001,AP
211007,002,AP
212061,001,AP
211007,003,AP
211004,001,AP
203851,001,AP
203851,002,AP
203851,003,AP
203852,001,AP
091682,001,AP
091682,002,AP
201002,001,AP
090808,001,AP
090808,002,AP
090808,003,AP
090809,001,AP
202957,001,AP
202733,001,AP
202957,002,AP
203198,001,AP
203198,002,AP
018609,001,AP
019953,001,AP
212441,001,AP
018916,010,AP
019339,003,AP
018609,002,AP
212441,002,AP
018916,011,AP
019952,004,AP
019952,005,AP
019339,004,AP
019339,002,AP
017029,013,AP
017029,014,AP
017029,015,AP
017029,016,AP
017029,010,AP
017029,019,AP
089522,001,AP
212060,001,AP
090810,001,AP
202732,001,AP
020671,001,AP
040136,001,AP
219797,001,AP
215147,001,AP
040388,001,AP
213667,001,AP
217501,001,AP
202938,001,AP
040730,001,AP
214050,001,AP
216899,001,AP
216899,002,AP
216899,003,AP
202159,001,AP
216899,004,AP
200403,001,AP
200403,002,AP
200403,003,AP
078591,001,AP
078228,001,AP
078261,001,AP
204146,001,AP
090643,001,AP
011525,001,AP
050734,001,AP
065275,001,AP
065288,001,AP
065036,001,AP
019763,001,AP
019763,002,AP
076078,001,AP
076078,002,AP
076619,001,AP
076619,002,AP
076657,001,AP
076657,002,AP
202586,001,AP
019044,001,AP
212785,001,AP
040811,001,AP
017441,001,BP
018565,003,AP
018565,004,AP
018449,001,AP
020248,001,AP
214271,001,AP
214271,002,AP
215382,001,AP1
217134,001,AP2
217134,002,AP
215382,002,AP
217134,003,AP
217134,004,AP
079068,001,AP
079068,002,AP
078589,001,AP
078589,002,AP
078589,003,AP
090726,001,AP
090726,002,AP
213278,001,AP
213278,002,AP
213278,003,AP
213278,004,AP
077776,001,AP
077776,002,AP
212993,001,AP
212993,002,AP
090675,002,AP
090675,001,AP
078753,001,AP
078753,002,AP
091032,001,AP
091032,002,AP
077915,001,AP
077915,002,AP
078796,001,AP
203054,001,AP
203054,002,AP
206935,001,AP
206935,002,AP
203380,001,AP
203380,002,AP
203380,003,AP
208718,001,AP
208718,002,AP
208718,003,AP
090101,001,AP
090393,002,AP
090393,003,AP
210576,001,AP
210106,001,AP
211237,001,AP
212189,001,AP
217648,001,AP
211703,001,AP
210845,001,AP
206961,001,AP
215542,001,AP
211590,001,AP
018735,006,AP2
018735,007,AP
018735,002,AP
018735,003,AP
018735,001,AP1
018735,004,AP
012041,001,AB
014901,001,AB
016812,001,AP
016812,002,AP
016812,003,AP
076092,001,AP
076092,002,AP
076092,003,AP
215808,001,AP
215808,002,AP
215808,003,AP
216809,001,AP
216809,002,AP
216809,003,AP
074524,001,AP
074524,002,AP
074549,001,AP
074549,002,AP
214456,001,AP
214456,002,AP
217166,001,AP
217166,002,AP
209900,002,AP
209900,001,AP
217789,001,AP
217789,002,AP
075784,001,AP
075784,002,AP
203242,002,AP
