ApplNo,ProductNo,TradeName,ActiveIngredient,Strength,DosageForm,Route,ReferenceListedDrugFlag,ReferenceStandardFlag,MarketingStatus,TECode,RxCUI_Ingredient,RxCUI_Product,LastUpdateDate
076041,001,SOTRET,ISOTRETINOIN,10MG,CAPSULE,ORAL,N,N,DISCN,,,,
076041,002,SOTRET,ISOTRETINOIN,20MG,CAPSULE,ORAL,N,N,DISCN,,,,
076503,001,SOTRET,ISOTRETINOIN,30MG,CAPSULE,ORAL,N,N,DISCN,,,,
076041,003,SOTRET,ISOTRETINOIN,40MG,CAPSULE,ORAL,N,N,DISCN,,,,
020083,001,SPORANOX,ITRACONAZOLE,100MG,CAPSULE,ORAL,Y,Y,RX,AB,,,
085897,001,SPRX-3,PHENDIMETRAZINE TARTRATE,35MG,CAPSULE,ORAL,N,N,DISCN,,,,
085507,001,STATOBEX,PHENDIMETRAZINE TARTRATE,35MG,CAPSULE,ORAL,N,N,DISCN,,,,
077672,003,STAVUDINE,STAVUDINE,15MG,CAPSULE,ORAL,N,N,DISCN,,,,
077672,004,STAVUDINE,STAVUDINE,20MG,CAPSULE,ORAL,N,N,DISCN,,,,
077672,001,STAVUDINE,STAVUDINE,30MG,CAPSULE,ORAL,N,N,DISCN,,,,
077672,002,STAVUDINE,STAVUDINE,40MG,CAPSULE,ORAL,N,N,DISCN,,,,
078957,001,STAVUDINE,STAVUDINE,15MG,CAPSULE,ORAL,N,N,DISCN,,,,
078957,002,STAVUDINE,STAVUDINE,20MG,CAPSULE,ORAL,N,N,DISCN,,,,
078957,003,STAVUDINE,STAVUDINE,30MG,CAPSULE,ORAL,N,N,DISCN,,,,
078957,004,STAVUDINE,STAVUDINE,40MG,CAPSULE,ORAL,N,N,DISCN,,,,
079069,001,STAVUDINE,STAVUDINE,15MG,CAPSULE,ORAL,N,N,DISCN,,,,
079069,002,STAVUDINE,STAVUDINE,20MG,CAPSULE,ORAL,N,N,DISCN,,,,
078775,001,STAVUDINE,STAVUDINE,30MG,CAPSULE,ORAL,N,N,DISCN,,,,
079069,003,STAVUDINE,STAVUDINE,30MG,CAPSULE,ORAL,N,N,DISCN,,,,
078775,002,STAVUDINE,STAVUDINE,40MG,CAPSULE,ORAL,N,N,DISCN,,,,
079069,004,STAVUDINE,STAVUDINE,40MG,CAPSULE,ORAL,N,N,DISCN,,,,
021411,001,STRATTERA,ATOMOXETINE HYDROCHLORIDE,EQ 5MG BASE,CAPSULE,ORAL,N,N,DISCN,,,,
021411,002,STRATTERA,ATOMOXETINE HYDROCHLORIDE,EQ 10MG BASE,CAPSULE,ORAL,Y,N,RX,AB,,,
021411,003,STRATTERA,ATOMOXETINE HYDROCHLORIDE,EQ 18MG BASE,CAPSULE,ORAL,Y,N,RX,AB,,,
021411,004,STRATTERA,ATOMOXETINE HYDROCHLORIDE,EQ 25MG BASE,CAPSULE,ORAL,Y,N,RX,AB,,,
021411,005,STRATTERA,ATOMOXETINE HYDROCHLORIDE,EQ 40MG BASE,CAPSULE,ORAL,Y,N,RX,AB,,,
021411,006,STRATTERA,ATOMOXETINE HYDROCHLORIDE,EQ 60MG BASE,CAPSULE,ORAL,Y,Y,RX,AB,,,
021411,007,STRATTERA,ATOMOXETINE HYDROCHLORIDE,EQ 80MG BASE,CAPSULE,ORAL,Y,N,RX,AB,,,
021411,008,STRATTERA,ATOMOXETINE HYDROCHLORIDE,EQ 100MG BASE,CAPSULE,ORAL,Y,N,RX,AB,,,
087666,001,SULFINPYRAZONE,SULFINPYRAZONE,200MG,CAPSULE,ORAL,N,N,DISCN,,,,
087770,001,SULFINPYRAZONE,SULFINPYRAZONE,200MG,CAPSULE,ORAL,N,N,DISCN,,,,
088934,001,SULFINPYRAZONE,SULFINPYRAZONE,200MG,CAPSULE,ORAL,N,N,DISCN,,,,
088666,001,SULFINPYRAZONE,SULFINPYRAZONE,200MG,CAPSULE,ORAL,N,N,DISCN,,,,
060429,002,SUMYCIN,TETRACYCLINE HYDROCHLORIDE,100MG,CAPSULE,ORAL,N,N,DISCN,,,,
060429,004,SUMYCIN,TETRACYCLINE HYDROCHLORIDE,125MG,CAPSULE,ORAL,N,N,DISCN,,,,
060429,001,SUMYCIN,TETRACYCLINE HYDROCHLORIDE,250MG,CAPSULE,ORAL,N,N,DISCN,,,,
060429,003,SUMYCIN,TETRACYCLINE HYDROCHLORIDE,500MG,CAPSULE,ORAL,N,N,DISCN,,,,
215843,001,SUNITINIB MALATE,SUNITINIB MALATE,EQ 12.5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
215843,002,SUNITINIB MALATE,SUNITINIB MALATE,EQ 25MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
215843,003,SUNITINIB MALATE,SUNITINIB MALATE,EQ 37.5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
215843,004,SUNITINIB MALATE,SUNITINIB MALATE,EQ 50MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
218615,001,SUNITINIB MALATE,SUNITINIB MALATE,EQ 12.5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
218615,002,SUNITINIB MALATE,SUNITINIB MALATE,EQ 25MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
218615,003,SUNITINIB MALATE,SUNITINIB MALATE,EQ 37.5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
218615,004,SUNITINIB MALATE,SUNITINIB MALATE,EQ 50MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
218012,001,SUNITINIB MALATE,SUNITINIB MALATE,EQ 12.5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
218012,002,SUNITINIB MALATE,SUNITINIB MALATE,EQ 25MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
218012,003,SUNITINIB MALATE,SUNITINIB MALATE,EQ 37.5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
218012,004,SUNITINIB MALATE,SUNITINIB MALATE,EQ 50MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
214824,001,SUNITINIB MALATE,SUNITINIB MALATE,EQ 12.5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
214824,002,SUNITINIB MALATE,SUNITINIB MALATE,EQ 25MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
214824,003,SUNITINIB MALATE,SUNITINIB MALATE,EQ 37.5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
214824,004,SUNITINIB MALATE,SUNITINIB MALATE,EQ 50MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
201275,001,SUNITINIB MALATE,SUNITINIB MALATE,EQ 12.5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
201275,002,SUNITINIB MALATE,SUNITINIB MALATE,EQ 25MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
201275,003,SUNITINIB MALATE,SUNITINIB MALATE,EQ 37.5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
201275,004,SUNITINIB MALATE,SUNITINIB MALATE,EQ 50MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
218024,001,SUNITINIB MALATE,SUNITINIB MALATE,EQ 12.5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
218024,002,SUNITINIB MALATE,SUNITINIB MALATE,EQ 25MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
218024,003,SUNITINIB MALATE,SUNITINIB MALATE,EQ 37.5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
218024,004,SUNITINIB MALATE,SUNITINIB MALATE,EQ 50MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
213914,001,SUNITINIB MALATE,SUNITINIB MALATE,EQ 12.5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
213914,002,SUNITINIB MALATE,SUNITINIB MALATE,EQ 25MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
213914,003,SUNITINIB MALATE,SUNITINIB MALATE,EQ 37.5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
213914,004,SUNITINIB MALATE,SUNITINIB MALATE,EQ 50MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
213803,001,SUNITINIB MALATE,SUNITINIB MALATE,EQ 12.5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
213803,002,SUNITINIB MALATE,SUNITINIB MALATE,EQ 25MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
213803,003,SUNITINIB MALATE,SUNITINIB MALATE,EQ 37.5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
213803,004,SUNITINIB MALATE,SUNITINIB MALATE,EQ 50MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
203195,001,SUPRAX,CEFIXIME,400MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,CAPSULE,ORAL,Y,Y,RX,AB,,,
016792,001,SURMONTIL,TRIMIPRAMINE MALEATE,EQ 25MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,CAPSULE,ORAL,Y,N,DISCN,,,,
016792,002,SURMONTIL,TRIMIPRAMINE MALEATE,EQ 50MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,CAPSULE,ORAL,Y,N,DISCN,,,,
016792,003,SURMONTIL,TRIMIPRAMINE MALEATE,EQ 100MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,CAPSULE,ORAL,Y,N,DISCN,,,,
020972,001,SUSTIVA,EFAVIRENZ,50MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,CAPSULE,ORAL,Y,N,DISCN,,,,
020972,002,SUSTIVA,EFAVIRENZ,100MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,CAPSULE,ORAL,Y,N,DISCN,,,,
020972,003,SUSTIVA,EFAVIRENZ,200MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,CAPSULE,ORAL,Y,N,DISCN,,,,
021938,001,SUTENT,SUNITINIB MALATE,EQ 12.5MG BASE,CAPSULE,ORAL,Y,N,RX,AB,,,
021938,002,SUTENT,SUNITINIB MALATE,EQ 25MG BASE,CAPSULE,ORAL,Y,N,RX,AB,,,
021938,004,SUTENT,SUNITINIB MALATE,EQ 37.5MG BASE,CAPSULE,ORAL,Y,N,RX,AB,,,
021938,003,SUTENT,SUNITINIB MALATE,EQ 50MG BASE,CAPSULE,ORAL,Y,Y,RX,AB,,,
071000,001,SYMADINE,AMANTADINE HYDROCHLORIDE,100MG,CAPSULE,ORAL,N,N,DISCN,,,,
021520,001,SYMBYAX,FLUOXETINE HYDROCHLORIDE; OLANZAPINE,EQ 25MG BASE;EQ 3MG BASE,CAPSULE,ORAL,Y,N,DISCN,,,,
021520,002,SYMBYAX,FLUOXETINE HYDROCHLORIDE; OLANZAPINE,EQ 25MG BASE;EQ 6MG BASE,CAPSULE,ORAL,Y,N,DISCN,,,,
021520,004,SYMBYAX,FLUOXETINE HYDROCHLORIDE; OLANZAPINE,EQ 25MG BASE;EQ 12MG BASE,CAPSULE,ORAL,Y,N,DISCN,,,,
021520,003,SYMBYAX,FLUOXETINE HYDROCHLORIDE; OLANZAPINE,EQ 50MG BASE;EQ 6MG BASE,CAPSULE,ORAL,Y,N,DISCN,,,,
021520,005,SYMBYAX,FLUOXETINE HYDROCHLORIDE; OLANZAPINE,EQ 50MG BASE;EQ 12MG BASE,CAPSULE,ORAL,Y,N,DISCN,,,,
016020,001,SYMMETREL,AMANTADINE HYDROCHLORIDE,100MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,CAPSULE,ORAL,Y,N,DISCN,,,,
011483,004,SYNALGOS-DC,ASPIRIN; CAFFEINE; DIHYDROCODEINE BITARTRATE,356.4MG;30MG;16MG,CAPSULE,ORAL,Y,N,DISCN,,,,
089166,001,SYNALGOS-DC-A,ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE,356.4MG;30MG;16MG,CAPSULE,ORAL,N,N,DISCN,,,,
019194,001,SYPRINE,TRIENTINE HYDROCHLORIDE,250MG,CAPSULE,ORAL,Y,Y,RX,AB,,,
008102,004,TACE,CHLOROTRIANISENE,12MG,CAPSULE,ORAL,N,N,DISCN,,,,
011444,001,TACE,CHLOROTRIANISENE,25MG,CAPSULE,ORAL,N,N,DISCN,,,,
016235,001,TACE,CHLOROTRIANISENE,72MG,CAPSULE,ORAL,N,N,DISCN,,,,
091195,001,TACROLIMUS,TACROLIMUS,EQ 0.5MG BASE,CAPSULE,ORAL,N,N,RX,BX,,,
091195,002,TACROLIMUS,TACROLIMUS,EQ 1MG BASE,CAPSULE,ORAL,N,N,RX,BX,,,
091195,003,TACROLIMUS,TACROLIMUS,EQ 5MG BASE,CAPSULE,ORAL,N,N,RX,BX,,,
206651,001,TACROLIMUS,TACROLIMUS,EQ 0.5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
206651,002,TACROLIMUS,TACROLIMUS,EQ 1MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
206651,003,TACROLIMUS,TACROLIMUS,EQ 5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
203740,001,TACROLIMUS,TACROLIMUS,EQ 0.5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
203740,002,TACROLIMUS,TACROLIMUS,EQ 1MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
203740,003,TACROLIMUS,TACROLIMUS,EQ 5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
212297,001,TACROLIMUS,TACROLIMUS,EQ 0.5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
212297,002,TACROLIMUS,TACROLIMUS,EQ 1MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
212297,003,TACROLIMUS,TACROLIMUS,EQ 5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
213112,001,TACROLIMUS,TACROLIMUS,EQ 0.5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
213112,002,TACROLIMUS,TACROLIMUS,EQ 1MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
213112,003,TACROLIMUS,TACROLIMUS,EQ 5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
090509,001,TACROLIMUS,TACROLIMUS,EQ 0.5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
090509,002,TACROLIMUS,TACROLIMUS,EQ 1MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
090509,003,TACROLIMUS,TACROLIMUS,EQ 5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
206662,001,TACROLIMUS,TACROLIMUS,EQ 0.5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
206662,002,TACROLIMUS,TACROLIMUS,EQ 1MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
206662,003,TACROLIMUS,TACROLIMUS,EQ 5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
210929,001,TACROLIMUS,TACROLIMUS,EQ 0.5MG BASE,CAPSULE,ORAL,N,N,DISCN,,,,
210929,002,TACROLIMUS,TACROLIMUS,EQ 1MG BASE,CAPSULE,ORAL,N,N,DISCN,,,,
210929,003,TACROLIMUS,TACROLIMUS,EQ 5MG BASE,CAPSULE,ORAL,N,N,DISCN,,,,
090402,001,TACROLIMUS,TACROLIMUS,EQ 5MG BASE,CAPSULE,ORAL,N,N,DISCN,,,,
090596,001,TACROLIMUS,TACROLIMUS,EQ 0.5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
090596,002,TACROLIMUS,TACROLIMUS,EQ 1MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
090596,003,TACROLIMUS,TACROLIMUS,EQ 5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
090802,001,TACROLIMUS,TACROLIMUS,EQ 0.5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
090802,002,TACROLIMUS,TACROLIMUS,EQ 1MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
090802,003,TACROLIMUS,TACROLIMUS,EQ 5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
065461,001,TACROLIMUS,TACROLIMUS,EQ 0.5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
065461,002,TACROLIMUS,TACROLIMUS,EQ 1MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
065461,003,TACROLIMUS,TACROLIMUS,EQ 5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
090687,001,TACROLIMUS,TACROLIMUS,EQ 0.5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
090687,002,TACROLIMUS,TACROLIMUS,EQ 1MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
090687,003,TACROLIMUS,TACROLIMUS,EQ 5MG BASE,CAPSULE,ORAL,N,N,RX,AB,,,
202806,001,TAFINLAR,DABRAFENIB MESYLATE,EQ 50MG BASE,CAPSULE,ORAL,Y,N,RX,,,,
202806,002,TAFINLAR,DABRAFENIB MESYLATE,EQ 75MG BASE,CAPSULE,ORAL,Y,Y,RX,,,,
211651,005,TALZENNA,TALAZOPARIB TOSYLATE,EQ 0.1MG BASE,CAPSULE,ORAL,Y,N,DISCN,,,,
217439,001,TALZENNA,TALAZOPARIB TOSYLATE,EQ 0.1MG BASE,CAPSULE,ORAL,Y,N,RX,,,,
211651,001,TALZENNA,TALAZOPARIB TOSYLATE,EQ 0.25MG BASE,CAPSULE,ORAL,Y,N,DISCN,,,,
217439,002,TALZENNA,TALAZOPARIB TOSYLATE,EQ 0.25MG BASE,CAPSULE,ORAL,Y,N,RX,,,,
211651,006,TALZENNA,TALAZOPARIB TOSYLATE,EQ 0.35MG BASE,CAPSULE,ORAL,Y,N,DISCN,,,,
217439,003,TALZENNA,TALAZOPARIB TOSYLATE,EQ 0.35MG BASE,CAPSULE,ORAL,Y,N,RX,,,,
211651,003,TALZENNA,TALAZOPARIB TOSYLATE,EQ 0.5MG BASE,CAPSULE,ORAL,Y,N,DISCN,,,,
217439,004,TALZENNA,TALAZOPARIB TOSYLATE,EQ 0.5MG BASE,CAPSULE,ORAL,Y,N,RX,,,,
211651,004,TALZENNA,TALAZOPARIB TOSYLATE,EQ 0.75MG BASE,CAPSULE,ORAL,Y,N,DISCN,,,,
217439,005,TALZENNA,TALAZOPARIB TOSYLATE,EQ 0.75MG BASE,CAPSULE,ORAL,Y,N,RX,,,,
211651,002,TALZENNA,TALAZOPARIB TOSYLATE,EQ 1MG BASE,CAPSULE,ORAL,Y,N,DISCN,,,,
217439,006,TALZENNA,TALAZOPARIB TOSYLATE,EQ 1MG BASE,CAPSULE,ORAL,Y,Y,RX,,,,
021087,003,TAMIFLU,OSELTAMIVIR PHOSPHATE,EQ 30MG BASE,CAPSULE,ORAL,Y,N,RX,AB,,,
021087,002,TAMIFLU,OSELTAMIVIR PHOSPHATE,EQ 45MG BASE,CAPSULE,ORAL,Y,N,RX,AB,,,
021087,001,TAMIFLU,OSELTAMIVIR PHOSPHATE,EQ 75MG BASE,CAPSULE,ORAL,Y,Y,RX,AB,,,
207405,001,TAMSULOSIN HYDROCHLORIDE,TAMSULOSIN HYDROCHLORIDE,0.4MG,CAPSULE,ORAL,N,N,RX,AB,,,
214730,001,TAMSULOSIN HYDROCHLORIDE,TAMSULOSIN HYDROCHLORIDE,0.4MG,CAPSULE,ORAL,N,N,RX,AB,,,
202433,001,TAMSULOSIN HYDROCHLORIDE,TAMSULOSIN HYDROCHLORIDE,0.4MG,CAPSULE,ORAL,N,N,RX,AB,,,
211885,001,TAMSULOSIN HYDROCHLORIDE,TAMSULOSIN HYDROCHLORIDE,0.4MG,CAPSULE,ORAL,N,N,RX,AB,,,
219767,001,TAMSULOSIN HYDROCHLORIDE,TAMSULOSIN HYDROCHLORIDE,0.4MG,CAPSULE,ORAL,N,N,RX,AB,,,
090377,001,TAMSULOSIN HYDROCHLORIDE,TAMSULOSIN HYDROCHLORIDE,0.4MG,CAPSULE,ORAL,N,N,RX,AB,,,
204645,001,TAMSULOSIN HYDROCHLORIDE,TAMSULOSIN HYDROCHLORIDE,0.4MG,CAPSULE,ORAL,N,N,RX,AB,,,
202010,001,TAMSULOSIN HYDROCHLORIDE,TAMSULOSIN HYDROCHLORIDE,0.4MG,CAPSULE,ORAL,N,N,DISCN,,,,
090408,001,TAMSULOSIN HYDROCHLORIDE,TAMSULOSIN HYDROCHLORIDE,0.4MG,CAPSULE,ORAL,N,N,DISCN,,,,
078015,001,TAMSULOSIN HYDROCHLORIDE,TAMSULOSIN HYDROCHLORIDE,0.4MG,CAPSULE,ORAL,N,N,RX,AB,,,
078938,001,TAMSULOSIN HYDROCHLORIDE,TAMSULOSIN HYDROCHLORIDE,0.4MG,CAPSULE,ORAL,N,N,RX,AB,,,
090931,001,TAMSULOSIN HYDROCHLORIDE,TAMSULOSIN HYDROCHLORIDE,0.4MG,CAPSULE,ORAL,N,N,DISCN,,,,
078801,001,TAMSULOSIN HYDROCHLORIDE,TAMSULOSIN HYDROCHLORIDE,0.4MG,CAPSULE,ORAL,N,N,RX,AB,,,
077630,001,TAMSULOSIN HYDROCHLORIDE,TAMSULOSIN HYDROCHLORIDE,0.4MG,CAPSULE,ORAL,N,N,RX,AB,,,
078225,001,TAMSULOSIN HYDROCHLORIDE,TAMSULOSIN HYDROCHLORIDE,0.4MG,CAPSULE,ORAL,N,Y,RX,AB,,,
050336,002,TAO,TROLEANDOMYCIN,EQ 250MG BASE,CAPSULE,ORAL,N,N,DISCN,,,,
021055,001,TARGRETIN,BEXAROTENE,75MG,CAPSULE,ORAL,Y,Y,RX,AB,,,
022068,003,TASIGNA,NILOTINIB HYDROCHLORIDE,EQ 50MG BASE,CAPSULE,ORAL,Y,N,RX,AB,,,
022068,002,TASIGNA,NILOTINIB HYDROCHLORIDE,EQ 150MG BASE,CAPSULE,ORAL,Y,N,RX,AB,,,
022068,001,TASIGNA,NILOTINIB HYDROCHLORIDE,EQ 200MG BASE,CAPSULE,ORAL,Y,Y,RX,AB,,,
211607,001,TASIMELTEON,TASIMELTEON,20MG,CAPSULE,ORAL,N,N,RX,AB,,,
211654,001,TASIMELTEON,TASIMELTEON,20MG,CAPSULE,ORAL,N,N,RX,AB,,,
211601,001,TASIMELTEON,TASIMELTEON,20MG,CAPSULE,ORAL,N,N,RX,AB,,,
214487,001,TAVNEOS,AVACOPAN,10MG,CAPSULE,ORAL,Y,Y,RX,,,,
204426,001,TAYTULLA,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE,0.02MG;1MG,CAPSULE,ORAL,Y,Y,RX,AB,,,
019369,001,TEGISON,ETRETINATE,10MG,CAPSULE,ORAL,N,N,DISCN,,,,
019369,002,TEGISON,ETRETINATE,25MG,CAPSULE,ORAL,N,N,DISCN,,,,
070564,001,TEMAZ,TEMAZEPAM,15MG,CAPSULE,ORAL,N,N,DISCN,,,,
070547,001,TEMAZ,TEMAZEPAM,30MG,CAPSULE,ORAL,N,N,DISCN,,,,
071620,002,TEMAZEPAM,TEMAZEPAM,15MG,CAPSULE,ORAL,N,N,RX,AB,,,
071620,001,TEMAZEPAM,TEMAZEPAM,30MG,CAPSULE,ORAL,N,N,RX,AB,,,
211542,001,TEMAZEPAM,TEMAZEPAM,7.5MG,CAPSULE,ORAL,N,N,RX,AB,,,
211542,002,TEMAZEPAM,TEMAZEPAM,15MG,CAPSULE,ORAL,N,N,RX,AB,,,
211542,003,TEMAZEPAM,TEMAZEPAM,22.5MG,CAPSULE,ORAL,N,N,RX,AB,,,
211542,004,TEMAZEPAM,TEMAZEPAM,30MG,CAPSULE,ORAL,N,N,RX,AB,,,
217875,001,TEMAZEPAM,TEMAZEPAM,7.5MG,CAPSULE,ORAL,N,N,RX,AB,,,
217875,002,TEMAZEPAM,TEMAZEPAM,15MG,CAPSULE,ORAL,N,N,RX,AB,,,
217875,003,TEMAZEPAM,TEMAZEPAM,22.5MG,CAPSULE,ORAL,N,N,RX,AB,,,
217875,004,TEMAZEPAM,TEMAZEPAM,30MG,CAPSULE,ORAL,N,N,RX,AB,,,
203482,001,TEMAZEPAM,TEMAZEPAM,7.5MG,CAPSULE,ORAL,N,N,DISCN,,,,
203482,002,TEMAZEPAM,TEMAZEPAM,15MG,CAPSULE,ORAL,N,N,DISCN,,,,
203482,003,TEMAZEPAM,TEMAZEPAM,22.5MG,CAPSULE,ORAL,N,N,DISCN,,,,
203482,004,TEMAZEPAM,TEMAZEPAM,30MG,CAPSULE,ORAL,N,N,DISCN,,,,
070920,002,TEMAZEPAM,TEMAZEPAM,7.5MG,CAPSULE,ORAL,N,N,DISCN,,,,
070920,004,TEMAZEPAM,TEMAZEPAM,15MG,CAPSULE,ORAL,N,N,DISCN,,,,
070920,003,TEMAZEPAM,TEMAZEPAM,22.5MG,CAPSULE,ORAL,N,N,DISCN,,,,
070920,001,TEMAZEPAM,TEMAZEPAM,30MG,CAPSULE,ORAL,N,N,DISCN,,,,
071427,001,TEMAZEPAM,TEMAZEPAM,15MG,CAPSULE,ORAL,N,N,RX,AB,,,
071428,001,TEMAZEPAM,TEMAZEPAM,30MG,CAPSULE,ORAL,N,N,RX,AB,,,
071708,001,TEMAZEPAM,TEMAZEPAM,15MG,CAPSULE,ORAL,N,N,DISCN,,,,
071709,001,TEMAZEPAM,TEMAZEPAM,30MG,CAPSULE,ORAL,N,N,DISCN,,,,
071457,002,TEMAZEPAM,TEMAZEPAM,7.5MG,CAPSULE,ORAL,N,N,RX,AB,,,
071456,001,TEMAZEPAM,TEMAZEPAM,15MG,CAPSULE,ORAL,N,N,RX,AB,,,
071457,003,TEMAZEPAM,TEMAZEPAM,22.5MG,CAPSULE,ORAL,N,N,RX,AB,,,
071457,001,TEMAZEPAM,TEMAZEPAM,30MG,CAPSULE,ORAL,N,N,RX,AB,,,
201781,001,TEMAZEPAM,TEMAZEPAM,7.5MG,CAPSULE,ORAL,N,N,RX,AB,,,
201781,002,TEMAZEPAM,TEMAZEPAM,15MG,CAPSULE,ORAL,N,N,RX,AB,,,
201781,003,TEMAZEPAM,TEMAZEPAM,22.5MG,CAPSULE,ORAL,N,N,RX,AB,,,
201781,004,TEMAZEPAM,TEMAZEPAM,30MG,CAPSULE,ORAL,N,N,RX,AB,,,
078581,001,TEMAZEPAM,TEMAZEPAM,7.5MG,CAPSULE,ORAL,N,N,DISCN,,,,
071174,001,TEMAZEPAM,TEMAZEPAM,15MG,CAPSULE,ORAL,N,N,DISCN,,,,
071175,002,TEMAZEPAM,TEMAZEPAM,22.5MG,CAPSULE,ORAL,N,N,DISCN,,,,
071175,001,TEMAZEPAM,TEMAZEPAM,30MG,CAPSULE,ORAL,N,N,DISCN,,,,
070489,001,TEMAZEPAM,TEMAZEPAM,15MG,CAPSULE,ORAL,N,N,DISCN,,,,
070490,001,TEMAZEPAM,TEMAZEPAM,30MG,CAPSULE,ORAL,N,N,DISCN,,,,
070383,001,TEMAZEPAM,TEMAZEPAM,15MG,CAPSULE,ORAL,N,N,DISCN,,,,
071446,001,TEMAZEPAM,TEMAZEPAM,15MG,CAPSULE,ORAL,N,N,DISCN,,,,
070384,001,TEMAZEPAM,TEMAZEPAM,30MG,CAPSULE,ORAL,N,N,DISCN,,,,
071447,001,TEMAZEPAM,TEMAZEPAM,30MG,CAPSULE,ORAL,N,N,DISCN,,,,
021029,001,TEMODAR,TEMOZOLOMIDE,5MG,CAPSULE,ORAL,Y,N,DISCN,,,,
021029,002,TEMODAR,TEMOZOLOMIDE,20MG,CAPSULE,ORAL,Y,N,DISCN,,,,
021029,003,TEMODAR,TEMOZOLOMIDE,100MG,CAPSULE,ORAL,Y,N,DISCN,,,,
021029,005,TEMODAR,TEMOZOLOMIDE,140MG,CAPSULE,ORAL,Y,N,DISCN,,,,
