BLANumber,ReferenceProductName,ExclusivityType,ExclusivityEndDate,Notes
20582,,FirstInterchangeableExclusivityExpDate,NaT,
20582,,RefProductExclusivityExpDate,NaT,
20604,,ExclusivityExpirationDate,NaT,
20604,,FirstInterchangeableExclusivityExpDate,NaT,
20604,,RefProductExclusivityExpDate,NaT,
20725,,ExclusivityExpirationDate,NaT,
20725,,FirstInterchangeableExclusivityExpDate,NaT,
20725,,RefProductExclusivityExpDate,NaT,
20744,,ExclusivityExpirationDate,NaT,
20744,,FirstInterchangeableExclusivityExpDate,NaT,
20744,,RefProductExclusivityExpDate,NaT,
20772,,ExclusivityExpirationDate,NaT,
20772,,FirstInterchangeableExclusivityExpDate,NaT,
20772,,RefProductExclusivityExpDate,NaT,
20898,,ExclusivityExpirationDate,NaT,
20898,,FirstInterchangeableExclusivityExpDate,NaT,
20898,,RefProductExclusivityExpDate,NaT,
20986,,ExclusivityExpirationDate,NaT,
20986,,FirstInterchangeableExclusivityExpDate,NaT,
20986,,RefProductExclusivityExpDate,NaT,
21017,,ExclusivityExpirationDate,NaT,
21017,,FirstInterchangeableExclusivityExpDate,NaT,
21017,,RefProductExclusivityExpDate,NaT,
21018,,ExclusivityExpirationDate,NaT,
21018,,FirstInterchangeableExclusivityExpDate,NaT,
21018,,RefProductExclusivityExpDate,NaT,
21047,,ExclusivityExpirationDate,NaT,
21047,,FirstInterchangeableExclusivityExpDate,NaT,
21047,,RefProductExclusivityExpDate,NaT,
21081,,ExclusivityExpirationDate,NaT,
21081,,FirstInterchangeableExclusivityExpDate,NaT,
21081,,RefProductExclusivityExpDate,NaT,
21106,,ExclusivityExpirationDate,NaT,
21106,,FirstInterchangeableExclusivityExpDate,NaT,
21106,,RefProductExclusivityExpDate,NaT,
21148,,ExclusivityExpirationDate,NaT,
21148,,FirstInterchangeableExclusivityExpDate,NaT,
21148,,RefProductExclusivityExpDate,NaT,
21149,,ExclusivityExpirationDate,NaT,
21149,,FirstInterchangeableExclusivityExpDate,NaT,
21149,,RefProductExclusivityExpDate,NaT,
21172,,ExclusivityExpirationDate,NaT,
21172,,FirstInterchangeableExclusivityExpDate,NaT,
21172,,RefProductExclusivityExpDate,NaT,
21211,,ExclusivityExpirationDate,NaT,
21211,,FirstInterchangeableExclusivityExpDate,NaT,
21211,,RefProductExclusivityExpDate,NaT,
21271,,ExclusivityExpirationDate,NaT,
21271,,FirstInterchangeableExclusivityExpDate,NaT,
21271,,RefProductExclusivityExpDate,NaT,
21273,,ExclusivityExpirationDate,NaT,
21273,,FirstInterchangeableExclusivityExpDate,NaT,
21273,,RefProductExclusivityExpDate,NaT,
21289,,ExclusivityExpirationDate,NaT,
21289,,FirstInterchangeableExclusivityExpDate,NaT,
21289,,RefProductExclusivityExpDate,NaT,
21426,,ExclusivityExpirationDate,NaT,
21426,,FirstInterchangeableExclusivityExpDate,NaT,
21426,,RefProductExclusivityExpDate,NaT,
21536,,ExclusivityExpirationDate,NaT,
21536,,FirstInterchangeableExclusivityExpDate,NaT,
21536,,RefProductExclusivityExpDate,NaT,
21538,,ExclusivityExpirationDate,NaT,
21538,,FirstInterchangeableExclusivityExpDate,NaT,
21538,,RefProductExclusivityExpDate,NaT,
21629,,ExclusivityExpirationDate,NaT,
21629,,FirstInterchangeableExclusivityExpDate,NaT,
21629,,RefProductExclusivityExpDate,NaT,
21640,,ExclusivityExpirationDate,NaT,
21640,,FirstInterchangeableExclusivityExpDate,NaT,
21640,,RefProductExclusivityExpDate,NaT,
21663,,ExclusivityExpirationDate,NaT,
21663,,FirstInterchangeableExclusivityExpDate,NaT,
21663,,RefProductExclusivityExpDate,NaT,
21665,,ExclusivityExpirationDate,NaT,
21665,,FirstInterchangeableExclusivityExpDate,NaT,
21665,,RefProductExclusivityExpDate,NaT,
21684,,ExclusivityExpirationDate,NaT,
21684,,FirstInterchangeableExclusivityExpDate,NaT,
21684,,RefProductExclusivityExpDate,NaT,
21716,,ExclusivityExpirationDate,NaT,
21716,,FirstInterchangeableExclusivityExpDate,NaT,
21716,,RefProductExclusivityExpDate,NaT,
21765,,ExclusivityExpirationDate,NaT,
21765,,FirstInterchangeableExclusivityExpDate,NaT,
21765,,RefProductExclusivityExpDate,NaT,
21810,,ExclusivityExpirationDate,NaT,
21810,,FirstInterchangeableExclusivityExpDate,NaT,
21810,,RefProductExclusivityExpDate,NaT,
21839,,ExclusivityExpirationDate,NaT,
21839,,FirstInterchangeableExclusivityExpDate,NaT,
21839,,RefProductExclusivityExpDate,NaT,
21846,,ExclusivityExpirationDate,NaT,
21846,,FirstInterchangeableExclusivityExpDate,NaT,
21846,,RefProductExclusivityExpDate,NaT,
21859,,ExclusivityExpirationDate,NaT,
21859,,FirstInterchangeableExclusivityExpDate,NaT,
21859,,RefProductExclusivityExpDate,NaT,
21884,,ExclusivityExpirationDate,NaT,
21884,,FirstInterchangeableExclusivityExpDate,NaT,
21884,,RefProductExclusivityExpDate,NaT,
22175,,ExclusivityExpirationDate,NaT,
22175,,FirstInterchangeableExclusivityExpDate,NaT,
22175,,RefProductExclusivityExpDate,NaT,
22210,,ExclusivityExpirationDate,NaT,
22210,,FirstInterchangeableExclusivityExpDate,NaT,
22210,,RefProductExclusivityExpDate,NaT,
22458,,ExclusivityExpirationDate,NaT,
22458,,FirstInterchangeableExclusivityExpDate,NaT,
22458,,RefProductExclusivityExpDate,NaT,
22472,,ExclusivityExpirationDate,NaT,
22472,,FirstInterchangeableExclusivityExpDate,NaT,
22472,,RefProductExclusivityExpDate,NaT,
22505,,ExclusivityExpirationDate,NaT,
22505,,FirstInterchangeableExclusivityExpDate,NaT,
22505,,RefProductExclusivityExpDate,NaT,
22523,,ExclusivityExpirationDate,NaT,
22523,,FirstInterchangeableExclusivityExpDate,NaT,
22523,,RefProductExclusivityExpDate,NaT,
22542,,ExclusivityExpirationDate,NaT,
22542,,FirstInterchangeableExclusivityExpDate,NaT,
22542,,RefProductExclusivityExpDate,NaT,
22575,,ExclusivityExpirationDate,NaT,
22575,,FirstInterchangeableExclusivityExpDate,NaT,
22575,,RefProductExclusivityExpDate,NaT,
50114,,ExclusivityExpirationDate,NaT,
50114,,FirstInterchangeableExclusivityExpDate,NaT,
50114,,RefProductExclusivityExpDate,NaT,
50294,,ExclusivityExpirationDate,NaT,
50294,,FirstInterchangeableExclusivityExpDate,NaT,
50294,,RefProductExclusivityExpDate,NaT,
101062,,ExclusivityExpirationDate,NaT,
101062,,FirstInterchangeableExclusivityExpDate,NaT,
101062,,RefProductExclusivityExpDate,NaT,
101063,,ExclusivityExpirationDate,NaT,
101063,,FirstInterchangeableExclusivityExpDate,NaT,
101063,,RefProductExclusivityExpDate,NaT,
101066,,ExclusivityExpirationDate,NaT,
101066,,FirstInterchangeableExclusivityExpDate,NaT,
101066,,RefProductExclusivityExpDate,NaT,
101068,<NA>,ExclusivityExpirationDate,NaT,
101068,<NA>,FirstInterchangeableExclusivityExpDate,NaT,
101068,<NA>,RefProductExclusivityExpDate,NaT,
101069,,ExclusivityExpirationDate,NaT,
101069,,FirstInterchangeableExclusivityExpDate,NaT,
101069,,RefProductExclusivityExpDate,NaT,
101072,<NA>,ExclusivityExpirationDate,NaT,
101072,<NA>,FirstInterchangeableExclusivityExpDate,NaT,
101072,<NA>,RefProductExclusivityExpDate,NaT,
101075,<NA>,ExclusivityExpirationDate,NaT,
101075,<NA>,FirstInterchangeableExclusivityExpDate,NaT,
101075,<NA>,RefProductExclusivityExpDate,NaT,
101094,,ExclusivityExpirationDate,NaT,
101094,,FirstInterchangeableExclusivityExpDate,NaT,
101094,,RefProductExclusivityExpDate,NaT,
101098,,ExclusivityExpirationDate,NaT,
101098,,FirstInterchangeableExclusivityExpDate,NaT,
101098,,RefProductExclusivityExpDate,NaT,
101099,,ExclusivityExpirationDate,NaT,
101099,,FirstInterchangeableExclusivityExpDate,NaT,
101099,,RefProductExclusivityExpDate,NaT,
101130,,ExclusivityExpirationDate,NaT,
101130,,FirstInterchangeableExclusivityExpDate,NaT,
101130,,RefProductExclusivityExpDate,NaT,
101134,,ExclusivityExpirationDate,NaT,
101134,,FirstInterchangeableExclusivityExpDate,NaT,
101134,,RefProductExclusivityExpDate,NaT,
101138,,ExclusivityExpirationDate,NaT,
101138,,FirstInterchangeableExclusivityExpDate,NaT,
101138,,RefProductExclusivityExpDate,NaT,
101140,,ExclusivityExpirationDate,NaT,
101140,,FirstInterchangeableExclusivityExpDate,NaT,
101140,,RefProductExclusivityExpDate,NaT,
101141,,ExclusivityExpirationDate,NaT,
101141,,FirstInterchangeableExclusivityExpDate,NaT,
101141,,RefProductExclusivityExpDate,NaT,
101142,,ExclusivityExpirationDate,NaT,
101142,,FirstInterchangeableExclusivityExpDate,NaT,
101142,,RefProductExclusivityExpDate,NaT,
101144,,ExclusivityExpirationDate,NaT,
101144,,FirstInterchangeableExclusivityExpDate,NaT,
101144,,RefProductExclusivityExpDate,NaT,
101146,,ExclusivityExpirationDate,NaT,
101146,,FirstInterchangeableExclusivityExpDate,NaT,
101146,,RefProductExclusivityExpDate,NaT,
101147,<NA>,ExclusivityExpirationDate,NaT,
101147,<NA>,FirstInterchangeableExclusivityExpDate,NaT,
101147,<NA>,RefProductExclusivityExpDate,NaT,
101246,,ExclusivityExpirationDate,NaT,
101246,,FirstInterchangeableExclusivityExpDate,NaT,
101246,,RefProductExclusivityExpDate,NaT,
101322,,ExclusivityExpirationDate,NaT,
101322,,FirstInterchangeableExclusivityExpDate,NaT,
101322,,RefProductExclusivityExpDate,NaT,
101377,,ExclusivityExpirationDate,NaT,
101377,,FirstInterchangeableExclusivityExpDate,NaT,
101377,,RefProductExclusivityExpDate,NaT,
101378,,ExclusivityExpirationDate,NaT,
101378,,FirstInterchangeableExclusivityExpDate,NaT,
101378,,RefProductExclusivityExpDate,NaT,
101379,,ExclusivityExpirationDate,NaT,
101379,,FirstInterchangeableExclusivityExpDate,NaT,
101379,,RefProductExclusivityExpDate,NaT,
101380,,ExclusivityExpirationDate,NaT,
101380,,FirstInterchangeableExclusivityExpDate,NaT,
101380,,RefProductExclusivityExpDate,NaT,
101381,,ExclusivityExpirationDate,NaT,
101381,,FirstInterchangeableExclusivityExpDate,NaT,
101381,,RefProductExclusivityExpDate,NaT,
101382,,ExclusivityExpirationDate,NaT,
101382,,FirstInterchangeableExclusivityExpDate,NaT,
101382,,RefProductExclusivityExpDate,NaT,
101383,,ExclusivityExpirationDate,NaT,
101383,,FirstInterchangeableExclusivityExpDate,NaT,
101383,,RefProductExclusivityExpDate,NaT,
101384,,ExclusivityExpirationDate,NaT,
101384,,FirstInterchangeableExclusivityExpDate,NaT,
101384,,RefProductExclusivityExpDate,NaT,
101385,,ExclusivityExpirationDate,NaT,
101385,,FirstInterchangeableExclusivityExpDate,NaT,
101385,,RefProductExclusivityExpDate,NaT,
101386,,ExclusivityExpirationDate,NaT,
101386,,FirstInterchangeableExclusivityExpDate,NaT,
101386,,RefProductExclusivityExpDate,NaT,
101387,,ExclusivityExpirationDate,NaT,
101387,,FirstInterchangeableExclusivityExpDate,NaT,
101387,,RefProductExclusivityExpDate,NaT,
101447,,ExclusivityExpirationDate,NaT,
101447,,FirstInterchangeableExclusivityExpDate,NaT,
101447,,RefProductExclusivityExpDate,NaT,
101448,,ExclusivityExpirationDate,NaT,
101448,,FirstInterchangeableExclusivityExpDate,NaT,
101448,,RefProductExclusivityExpDate,NaT,
101452,,ExclusivityExpirationDate,NaT,
101452,,FirstInterchangeableExclusivityExpDate,NaT,
101452,,RefProductExclusivityExpDate,NaT,
101834,,ExclusivityExpirationDate,NaT,
101834,,FirstInterchangeableExclusivityExpDate,NaT,
101834,,RefProductExclusivityExpDate,NaT,
101835,,ExclusivityExpirationDate,NaT,
101835,,FirstInterchangeableExclusivityExpDate,NaT,
101835,,RefProductExclusivityExpDate,NaT,
101836,,ExclusivityExpirationDate,NaT,
101836,,FirstInterchangeableExclusivityExpDate,NaT,
101836,,RefProductExclusivityExpDate,NaT,
101837,,ExclusivityExpirationDate,NaT,
101837,,FirstInterchangeableExclusivityExpDate,NaT,
101837,,RefProductExclusivityExpDate,NaT,
101838,,ExclusivityExpirationDate,NaT,
101838,,FirstInterchangeableExclusivityExpDate,NaT,
101838,,RefProductExclusivityExpDate,NaT,
101839,,ExclusivityExpirationDate,NaT,
101839,,FirstInterchangeableExclusivityExpDate,NaT,
101839,,RefProductExclusivityExpDate,NaT,
101840,,ExclusivityExpirationDate,NaT,
101840,,FirstInterchangeableExclusivityExpDate,NaT,
101840,,RefProductExclusivityExpDate,NaT,
101841,,ExclusivityExpirationDate,NaT,
101841,,FirstInterchangeableExclusivityExpDate,NaT,
101841,,RefProductExclusivityExpDate,NaT,
101842,,ExclusivityExpirationDate,NaT,
101842,,FirstInterchangeableExclusivityExpDate,NaT,
101842,,RefProductExclusivityExpDate,NaT,
101843,,ExclusivityExpirationDate,NaT,
101843,,FirstInterchangeableExclusivityExpDate,NaT,
101843,,RefProductExclusivityExpDate,NaT,
101844,,ExclusivityExpirationDate,NaT,
101844,,FirstInterchangeableExclusivityExpDate,NaT,
101844,,RefProductExclusivityExpDate,NaT,
101845,,ExclusivityExpirationDate,NaT,
101845,,FirstInterchangeableExclusivityExpDate,NaT,
101845,,RefProductExclusivityExpDate,NaT,
101993,,ExclusivityExpirationDate,NaT,
101993,,FirstInterchangeableExclusivityExpDate,NaT,
101993,,RefProductExclusivityExpDate,NaT,
101995,,ExclusivityExpirationDate,NaT,
101995,,FirstInterchangeableExclusivityExpDate,NaT,
101995,,RefProductExclusivityExpDate,NaT,
102212,,ExclusivityExpirationDate,NaT,
102212,,FirstInterchangeableExclusivityExpDate,NaT,
102212,,RefProductExclusivityExpDate,NaT,
102213,,ExclusivityExpirationDate,NaT,
102213,,FirstInterchangeableExclusivityExpDate,NaT,
102213,,RefProductExclusivityExpDate,NaT,
102214,,ExclusivityExpirationDate,NaT,
102214,,FirstInterchangeableExclusivityExpDate,NaT,
102214,,RefProductExclusivityExpDate,NaT,
102215,,ExclusivityExpirationDate,NaT,
102215,,FirstInterchangeableExclusivityExpDate,NaT,
102215,,RefProductExclusivityExpDate,NaT,
102216,,ExclusivityExpirationDate,NaT,
102216,,FirstInterchangeableExclusivityExpDate,NaT,
102216,,RefProductExclusivityExpDate,NaT,
102217,,ExclusivityExpirationDate,NaT,
102217,,FirstInterchangeableExclusivityExpDate,NaT,
102217,,RefProductExclusivityExpDate,NaT,
102218,,ExclusivityExpirationDate,NaT,
102218,,FirstInterchangeableExclusivityExpDate,NaT,
102218,,RefProductExclusivityExpDate,NaT,
102219,,ExclusivityExpirationDate,NaT,
102219,,FirstInterchangeableExclusivityExpDate,NaT,
102219,,RefProductExclusivityExpDate,NaT,
102220,,ExclusivityExpirationDate,NaT,
102220,,FirstInterchangeableExclusivityExpDate,NaT,
102220,,RefProductExclusivityExpDate,NaT,
102221,,ExclusivityExpirationDate,NaT,
102221,,FirstInterchangeableExclusivityExpDate,NaT,
102221,,RefProductExclusivityExpDate,NaT,
102366,,ExclusivityExpirationDate,NaT,
102366,,FirstInterchangeableExclusivityExpDate,NaT,
102366,,RefProductExclusivityExpDate,NaT,
102367,,ExclusivityExpirationDate,NaT,
102367,,FirstInterchangeableExclusivityExpDate,NaT,
102367,,RefProductExclusivityExpDate,NaT,
102475,,ExclusivityExpirationDate,NaT,
102475,,FirstInterchangeableExclusivityExpDate,NaT,
102475,,RefProductExclusivityExpDate,NaT,
102476,,ExclusivityExpirationDate,NaT,
102476,,FirstInterchangeableExclusivityExpDate,NaT,
102476,,RefProductExclusivityExpDate,NaT,
102478,,ExclusivityExpirationDate,NaT,
102478,,FirstInterchangeableExclusivityExpDate,NaT,
102478,,RefProductExclusivityExpDate,NaT,
102821,,ExclusivityExpirationDate,NaT,
102821,,FirstInterchangeableExclusivityExpDate,NaT,
102821,,RefProductExclusivityExpDate,NaT,
102865,,ExclusivityExpirationDate,NaT,
102865,,FirstInterchangeableExclusivityExpDate,NaT,
102865,,RefProductExclusivityExpDate,NaT,
103000,,ExclusivityExpirationDate,NaT,
103000,,FirstInterchangeableExclusivityExpDate,NaT,
103000,,RefProductExclusivityExpDate,NaT,
103050,,ExclusivityExpirationDate,NaT,
103050,,FirstInterchangeableExclusivityExpDate,NaT,
103050,,RefProductExclusivityExpDate,NaT,
103051,,ExclusivityExpirationDate,NaT,
103051,,FirstInterchangeableExclusivityExpDate,NaT,
103051,,RefProductExclusivityExpDate,NaT,
103052,,ExclusivityExpirationDate,NaT,
103052,,FirstInterchangeableExclusivityExpDate,NaT,
103052,,RefProductExclusivityExpDate,NaT,
103053,,ExclusivityExpirationDate,NaT,
103053,,FirstInterchangeableExclusivityExpDate,NaT,
103053,,RefProductExclusivityExpDate,NaT,
103054,,ExclusivityExpirationDate,NaT,
103054,,FirstInterchangeableExclusivityExpDate,NaT,
103054,,RefProductExclusivityExpDate,NaT,
103055,,ExclusivityExpirationDate,NaT,
103055,,FirstInterchangeableExclusivityExpDate,NaT,
103055,,RefProductExclusivityExpDate,NaT,
103056,,ExclusivityExpirationDate,NaT,
103056,,FirstInterchangeableExclusivityExpDate,NaT,
103056,,RefProductExclusivityExpDate,NaT,
103057,,ExclusivityExpirationDate,NaT,
103057,,FirstInterchangeableExclusivityExpDate,NaT,
103057,,RefProductExclusivityExpDate,NaT,
103058,,ExclusivityExpirationDate,NaT,
103058,,FirstInterchangeableExclusivityExpDate,NaT,
103058,,RefProductExclusivityExpDate,NaT,
103059,,ExclusivityExpirationDate,NaT,
103059,,FirstInterchangeableExclusivityExpDate,NaT,
103059,,RefProductExclusivityExpDate,NaT,
103060,,ExclusivityExpirationDate,NaT,
103060,,FirstInterchangeableExclusivityExpDate,NaT,
103060,,RefProductExclusivityExpDate,NaT,
103061,,ExclusivityExpirationDate,NaT,
103061,,FirstInterchangeableExclusivityExpDate,NaT,
103061,,RefProductExclusivityExpDate,NaT,
103112,<NA>,ExclusivityExpirationDate,NaT,
103112,<NA>,FirstInterchangeableExclusivityExpDate,NaT,
103112,<NA>,RefProductExclusivityExpDate,NaT,
103113,,ExclusivityExpirationDate,NaT,
103113,,FirstInterchangeableExclusivityExpDate,NaT,
103113,,RefProductExclusivityExpDate,NaT,
103123,,ExclusivityExpirationDate,NaT,
103123,,FirstInterchangeableExclusivityExpDate,NaT,
103123,,RefProductExclusivityExpDate,NaT,
103132,,ExclusivityExpirationDate,NaT,
103132,,FirstInterchangeableExclusivityExpDate,NaT,
103132,,RefProductExclusivityExpDate,NaT,
103133,,ExclusivityExpirationDate,NaT,
103133,,FirstInterchangeableExclusivityExpDate,NaT,
103133,,RefProductExclusivityExpDate,NaT,
103141,,ExclusivityExpirationDate,NaT,
103141,,FirstInterchangeableExclusivityExpDate,NaT,
103141,,RefProductExclusivityExpDate,NaT,
103145,,ExclusivityExpirationDate,NaT,
103145,,FirstInterchangeableExclusivityExpDate,NaT,
103145,,RefProductExclusivityExpDate,NaT,
103158,,ExclusivityExpirationDate,NaT,
103158,,FirstInterchangeableExclusivityExpDate,NaT,
