TECode,TEDescription
AA,
AB,
AB1,
AB2,
AB3,
AB4,
AN,
AO,
AP,
AP1,
AP2,
AP3,
AT,
AT1,
AT2,
AT3,
BC,
BD,
BP,
BS,
BX,
nan,
