BLANumber,BiosimilarProprietaryName,BiosimilarProperName,ReferenceProductName,ReferenceProductName,ReferenceBLANumber,InterchangeabilityFlag,LicensureDate,LicensureDate
125063,Advate,"Antihemophilic Factor (Recombinant), Plasma/Albumin Free Method",<NA>,N/A,,Y,2003-07-25,NaT
125063,Advate,"Antihemophilic Factor (Recombinant), Plasma/Albumin Free Method",<NA>,N/A,,Y,2006-04-12,NaT
125063,Advate,"Antihemophilic Factor (Recombinant), Plasma/Albumin Free Method",<NA>,N/A,,Y,2007-07-03,NaT
125063,Advate,"Antihemophilic Factor (Recombinant), Plasma/Albumin Free Method",<NA>,N/A,,Y,2012-07-12,NaT
125070,Rhophylac,Rho(D) Immune Globulin Intravenous (Human),<NA>,N/A,,Y,2004-02-12,NaT
125077,"Flebogamma 5%, Flebogamma 5% Dif",Immune Globulin Intravenous (Human),<NA>,N/A,,Y,2003-12-15,NaT
125077,"Flebogamma 5%, Flebogamma 5% Dif",Immune Globulin Intravenous (Human),<NA>,N/A,,Y,2006-12-21,NaT
125077,"Flebogamma 5%, Flebogamma 5% Dif",Immune Globulin Intravenous (Human),<NA>,N/A,,Y,2010-07-27,NaT
125078,Zemaira,Alpha-1-Proteinase Inhibitor (Human),<NA>,N/A,,Y,2003-07-08,NaT
125078,Zemaira,Alpha-1-Proteinase Inhibitor (Human),<NA>,N/A,,Y,2019-04-16,NaT
125089,Menactra,"Meningococcal (Groups A, C, Y and W-135) Polysaccharide Diphtheria Toxoid Conjugate Vaccine",<NA>,N/A,,Y,2005-01-14,NaT
125105,Gammagard Liquid,Immune Globulin Infusion (Human),<NA>,N/A,,Y,2005-04-27,NaT
125106,Boostrix,"Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis Vaccine, Adsorbed",<NA>,N/A,,Y,2005-05-03,NaT
125108,Proquad,"Measles, Mumps, Rubella and Varicella Virus Vaccine Live",<NA>,N/A,,Y,2005-09-06,NaT
125108,Proquad,"Measles, Mumps, Rubella and Varicella Virus Vaccine Live",<NA>,N/A,,Y,2023-02-27,NaT
125109,Cnj-016,Vaccinia Immune Globulin Intravenous (Human),<NA>,N/A,,Y,2005-05-02,NaT
125111,Adacel,"Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis Vaccine, Adsorbed",<NA>,N/A,,Y,2005-06-10,NaT
125115,Vivaglobin,Immune Globulin Subcutaneous (Human),<NA>,<NA>,,Y,2006-01-09,NaT
125122,Rotateq,"Rotavirus Vaccine, Live, Oral, Pentavalent",<NA>,N/A,,Y,2006-02-03,NaT
125123,Zostavax,Zoster Vaccine Live,<NA>,N/A,,Y,2006-05-25,NaT
125126,Gardasil,"Human Papillomavirus Quadrivalent (Types 6, 11, 16 and 18) Vaccine, Recombinant",<NA>,N/A,,Y,2006-06-08,NaT
125127,"Fluarix, Fluarix Quadrivalent",Influenza Vaccine,<NA>,N/A,,Y,2005-08-31,NaT
125127,"Fluarix, Fluarix Quadrivalent",Influenza Vaccine,<NA>,N/A,,Y,2012-12-14,NaT
125145,Pentacel,"Diphtheria and Tetanus Toxoids and Acellular Pertussis Adsorbed, Inactivated Poliovirus and Haemophilus b Conjugate (Tetanus Toxoid Conjugate) Vaccine",<NA>,N/A,,Y,2008-06-20,NaT
125154,<NA>,Albumin (Human),<NA>,N/A,,Y,2006-10-17,NaT
125154,<NA>,Albumin (Human),<NA>,N/A,,Y,2007-09-27,NaT
125158,Acam2000,"Smallpox (Vaccinia) Vaccine, Live",<NA>,N/A,,Y,2007-08-31,NaT
125163,"Flulaval, Flulaval Quadrivalent",Influenza Vaccine,<NA>,N/A,,Y,2006-10-05,NaT
125163,"Flulaval, Flulaval Quadrivalent",Influenza Vaccine,<NA>,N/A,,Y,2009-11-10,NaT
125163,"Flulaval, Flulaval Quadrivalent",Influenza Vaccine,<NA>,N/A,,Y,2013-08-15,NaT
125163,"Flulaval, Flulaval Quadrivalent",Influenza Vaccine,<NA>,N/A,,Y,2013-09-27,NaT
125201,Privigen,"Immune Globulin Intravenous (Human), 10% Liquid",<NA>,N/A,,Y,2007-07-26,NaT
125201,Privigen,"Immune Globulin Intravenous (Human), 10% Liquid",<NA>,N/A,,Y,2009-10-02,NaT
125201,Privigen,"Immune Globulin Intravenous (Human), 10% Liquid",<NA>,N/A,,Y,2013-02-07,NaT
125234,Ceprotin,Protein C Concentrate (Human),<NA>,N/A,,Y,2007-03-30,NaT
125244,<NA>,"Influenza Virus Vaccine, H5N1",<NA>,N/A,,Y,2007-04-17,NaT
125247,Evithrom,"Thrombin, Topical (Human)",<NA>,N/A,,Y,2007-08-27,NaT
125247,Evithrom,"Thrombin, Topical (Human)",<NA>,N/A,,Y,2009-09-17,NaT
125248,Recothrom,Thrombin topical (Recombinant),<NA>,N/A,,Y,2008-01-17,NaT
125248,Recothrom,Thrombin topical (Recombinant),<NA>,N/A,,Y,2008-05-23,NaT
125251,Wilate,von Willebrand Factor/Coagulation Factor VIII Complex (Human),<NA>,N/A,,Y,2010-12-20,NaT
125254,"Afluria, Afluria Quadrivalent",Influenza Vaccine,<NA>,N/A,,Y,2007-09-28,NaT
125254,"Afluria, Afluria Quadrivalent",Influenza Vaccine,<NA>,N/A,,Y,2016-08-26,NaT
125259,Cervarix,"Human Papillomavirus Bivalent (Types 16 and 18) Vaccine, Recombinant",<NA>,N/A,,Y,2009-10-16,NaT
125260,Kinrix,Diphtheria and Tetanus Toxoids and Acellular Pertussis Adsorbed and Inactivated Poliovirus Vaccine,<NA>,N/A,,Y,2008-06-24,NaT
125264,"Xyntha, Xyntha Solofuse","Antihemophilic Factor (Recombinant), Plasma/Albumin Free",<NA>,N/A,,Y,2008-02-21,NaT
125264,"Xyntha, Xyntha Solofuse","Antihemophilic Factor (Recombinant), Plasma/Albumin Free",<NA>,N/A,,Y,2010-08-06,NaT
125265,Rotarix,"Rotavirus Vaccine, Live, Oral",<NA>,N/A,,Y,2008-04-03,NaT
125265,Rotarix,"Rotavirus Vaccine, Live, Oral",<NA>,<NA>,,Y,2022-11-04,NaT
125266,Artiss,Fibrin Sealant (Human),<NA>,N/A,,Y,2008-03-19,NaT
125267,Cinryze,C1 Esterase Inhibitor (Human),<NA>,N/A,,Y,2008-10-10,NaT
125280,Ixiaro,"Japanese Encephalitis Vaccine, Inactivated, Adsorbed",<NA>,N/A,,Y,2009-03-30,NaT
125284,Atryn,Antithrombin (Recombinant),<NA>,N/A,,Y,2009-02-06,NaT
125284,Atryn,Antithrombin (Recombinant),<NA>,N/A,,Y,2014-04-11,NaT
125285,Flublok,Influenza Vaccine,<NA>,N/A,,Y,2013-01-16,2013-01-16
125285,Flublok,Influenza Vaccine,<NA>,N/A,,Y,2016-10-07,NaT
125285,Flublok,Influenza Vaccine,<NA>,N/A,,Y,2024-03-04,NaT
125287,Berinert,C1 Esterase Inhibitor (Human),<NA>,N/A,,Y,2009-10-09,NaT
125296,<NA>,"Adenovirus Type 4 and Type 7 Vaccine, Live, Oral",<NA>,N/A,,Y,2011-03-16,NaT
125297,Agriflu,Influenza Virus Vaccine,<NA>,N/A,,Y,2009-11-27,NaT
125300,Menveo,"Meningococcal (Groups A, C, Y, and W-135) Oligosaccharide Diphtheria CRM197 Conjugate Vaccine",<NA>,N/A,,Y,2010-02-19,NaT
125300,Menveo,"Meningococcal (Groups A, C, Y, and W-135) Oligosaccharide Diphtheria CRM197 Conjugate Vaccine",<NA>,N/A,,Y,2022-10-14,NaT
125317,Riastap,Fibrinogen Concentrate (Human),<NA>,N/A,,Y,2009-01-16,NaT
125324,Prevnar 13,Pneumococcal 13-valent Conjugate Vaccine (Diphtheria CRM197 Protein),<NA>,N/A,,Y,2010-02-24,NaT
125325,Glassia,Alpha-1-Proteinase Inhibitor (Human),<NA>,N/A,,Y,2010-07-01,NaT
125325,Glassia,Alpha-1-Proteinase Inhibitor (Human),<NA>,N/A,,Y,2025-02-27,NaT
125329,Gammaplex,Immune Globulin Intravenous (Human),<NA>,N/A,,Y,2009-09-17,NaT
125329,Gammaplex,Immune Globulin Intravenous (Human),<NA>,N/A,,Y,2017-02-06,NaT
125335,Anascorp,Centruroides (Scorpion) Immune F(ab')2 (Equine) Injection,<NA>,N/A,,Y,2011-08-03,NaT
125347,Hiberix,Haemophilus b Conjugate Vaccine (Tetanus Toxoid Conjugate),<NA>,N/A,,Y,2009-08-19,NaT
125348,Laviv,Azficel-T,<NA>,N/A,,Y,2011-06-21,NaT
125350,Hizentra,"Immune Globulin Subcutaneous (Human), 20% Liquid",<NA>,N/A,,Y,2010-03-04,NaT
125350,Hizentra,"Immune Globulin Subcutaneous (Human), 20% Liquid",<NA>,N/A,,Y,2023-04-13,NaT
125351,Tachosil,Fibrin Sealant Patch,<NA>,N/A,,Y,2010-04-05,NaT
125354,Spherusol,Coccidioides immitis Spherule-Derived Skin Test Antigen,<NA>,N/A,,Y,2011-07-29,NaT
125363,MENHIBRIX,Meningococcal Groups C and Y and Haemophilus b Tetanus Toxoid Conjugate Vaccine,<NA>,<NA>,,Y,2012-06-14,NaT
125385,Corifact,Factor XIII Concentrate (Human),<NA>,N/A,,Y,2011-02-17,NaT
125389,Bivigam,Immune Globulin Intravenous (Human),<NA>,N/A,,Y,2012-12-19,NaT
125391,<NA>,"HPC, Cord Blood",<NA>,N/A,,Y,2012-05-24,NaT
125392,Evarrest,Fibrin Sealant Patch,<NA>,N/A,,Y,2012-12-05,NaT
125392,Evarrest,Fibrin Sealant Patch,<NA>,N/A,,Y,2013-05-16,NaT
125392,Evarrest,Fibrin Sealant Patch,<NA>,N/A,,Y,2014-05-27,NaT
125397,Hemacord,"Hematopoietic Progenitor Cells, Cord (HPC-C)",<NA>,N/A,,Y,2011-11-10,NaT
125398,Tretten,Coagulation Factor XIII A-Subunit (Recombinant),<NA>,N/A,,Y,2013-12-23,NaT
125400,Gintuit,Allogeneic Cultured Keratinocytes and Fibroblasts in Bovine Collagen,<NA>,N/A,,Y,2012-03-09,NaT
125402,Hyqvia,"Immune Globulin Infusion (Human), 10% with Recombinant Human Hyaluronidase",<NA>,N/A,,Y,2014-09-12,NaT
125407,Ducord,"HPC, Cord Blood",<NA>,N/A,,Y,2012-10-04,NaT
125408,"Flucelvax, Flucelvax Quadrivalent",Influenza Vaccine,<NA>,N/A,,Y,2012-11-20,NaT
125408,"Flucelvax, Flucelvax Quadrivalent",Influenza Vaccine,<NA>,N/A,,Y,2016-05-23,NaT
125413,Allocord,"HPC, Cord Blood",<NA>,N/A,,Y,2013-05-30,NaT
125416,Octaplas,"Pooled Plasma (Human), Solvent/Detergent Treated",<NA>,N/A,,Y,2013-01-17,NaT
125419,Arepanrix,"Influenza A (H5N1) Virus Monovalent Vaccine, Adjuvanted",<NA>,N/A,,Y,2013-11-22,NaT
125421,Kcentra,Prothrombin Complex Concentrate (Human),<NA>,N/A,,Y,2013-04-29,NaT
125421,Kcentra,Prothrombin Complex Concentrate (Human),<NA>,N/A,,Y,2013-11-26,NaT
125426,Ixinity,Coagulation Factor IX (Recombinant),<NA>,N/A,,Y,2015-04-29,NaT
125426,Ixinity,Coagulation Factor IX (Recombinant),<NA>,N/A,,Y,2015-12-21,NaT
125428,Heplisav-B,"Hepatitis B Vaccine (Recombinant), Adjuvanted",<NA>,N/A,,Y,2017-11-09,NaT
125430,Varizig,Varicella Zoster Immune Globulin (Human),<NA>,N/A,,Y,2012-12-20,NaT
125430,Varizig,Varicella Zoster Immune Globulin (Human),<NA>,N/A,,Y,2014-09-29,NaT
125432,Cordcyte,"HPC, Cord Blood",<NA>,N/A,,Y,2013-06-13,NaT
125444,Alprolix,"Coagulation Factor IX (Recombinant), Fc Fusion Protein",<NA>,N/A,,Y,2014-03-28,NaT
125444,Alprolix,"Coagulation Factor IX (Recombinant), Fc Fusion Protein",<NA>,N/A,,Y,2016-02-18,NaT
125444,Alprolix,"Coagulation Factor IX (Recombinant), Fc Fusion Protein",<NA>,N/A,,Y,2016-07-14,NaT
125446,Rixubis,Coagulation Factor IX (Recombinant),<NA>,N/A,,Y,2013-06-26,NaT
125462,Bat,"Botulism Antitoxin Heptavalent (A, B, C, D, E, F, G) - (Equine)",<NA>,N/A,,Y,2013-03-22,NaT
125466,Novoeight,Antihemophilic Factor (Recombinant),<NA>,N/A,,Y,2013-10-15,NaT
125471,Oralair,"Sweet Vernal, Orchard, Perennial Rye, Timothy, and Kentucky Blue Grass Mixed Pollens Allergen Extract",<NA>,N/A,,Y,2014-04-01,NaT
125473,Grastek,Timothy Grass Pollen Allergen Extract,<NA>,N/A,,Y,2014-04-11,NaT
125478,Ragwitek,Short Ragweed Pollen Allergen Extract,<NA>,N/A,,Y,2014-04-17,NaT
125487,Eloctate,"Antihemophilic Factor (Recombinant), Fc Fusion protein",<NA>,N/A,,Y,2014-06-06,NaT
125487,Eloctate,"Antihemophilic Factor (Recombinant), Fc Fusion protein",<NA>,N/A,,Y,2017-01-27,NaT
125488,Anavip,Crotalidae Immune F(ab')2 (Equine),<NA>,N/A,,Y,2015-05-06,NaT
125495,Ruconest,C1 Esterase Inhibitor (Recombinant),<NA>,N/A,,Y,2014-07-16,2014-07-16
125506,Coagadex,Coagulation Factor X (Human),<NA>,N/A,,Y,2015-10-20,NaT
125508,Gardasil 9,"Human Papillomavirus 9-valent Vaccine, Recombinant",<NA>,N/A,,Y,2014-12-10,NaT
125510,Fluad,"Influenza Vaccine, Adjuvanted",<NA>,N/A,,Y,2015-11-24,NaT
125510,"Fluad,Fluad Quadrivalent","Influenza Vaccine, Adjuvanted",<NA>,<NA>,,Y,2020-02-21,NaT
125512,Obizur,"Antihemophilic Factor (Recombinant), Porcine Sequence",<NA>,N/A,,Y,2014-10-23,NaT
125518,Imlygic,Talimogene laherparepvec,<NA>,N/A,,Y,2015-10-27,NaT
125523,Raplixa,Fibrin Sealant (Human),<NA>,<NA>,,Y,2015-04-30,NaT
125525,Quadracel,Diphtheria and Tetanus Toxoids and Acellular Pertussis Adsorbed and Inactivated Poliovirus Vaccine,<NA>,N/A,,Y,2015-03-24,NaT
125544,Inflectra,infliximab-dyyb,infliximab,Remicade,,Y,2016-04-05,NaT
125545,Retacrit,epoetin alfa-epbx,epoetin alfa,Procrit,,Y,2018-05-15,NaT
125545,Retacrit,epoetin alfa-epbx,epoetin alfa,Procrit,,Y,2020-06-30,NaT
125546,Bexsero,Meningococcal Group B Vaccine,<NA>,N/A,,Y,2015-01-23,NaT
125549,Trumenba,Meningococcal Group B Vaccine,<NA>,N/A,,Y,2014-10-29,2014-10-29
125553,Zarxio,filgrastim-sndz,filgrastim,Neupogen,,Y,2015-03-06,NaT
125553,Zarxio,filgrastim-sndz,filgrastim,Neupogen,,Y,2024-08-09,NaT
125555,Nuwiq,Antihemophilic Factor (Recombinant),<NA>,N/A,,Y,2015-09-04,NaT
125555,Nuwiq,Antihemophilic Factor (Recombinant),<NA>,N/A,,Y,2017-07-07,NaT
125555,Nuwiq,Antihemophilic Factor (Recombinant),<NA>,N/A,,Y,2021-12-07,NaT
125562,Anthrasil,Anthrax Immune Globulin Intravenous (Human),<NA>,N/A,,Y,2015-03-24,NaT
125563,Vaxelis,"Diphtheria and Tetanus Toxoids and Acellular Pertussis, Inactivated Poliovirus, Haemophilus b Conjugate and Hepatitis B Vaccine",<NA>,N/A,,Y,2018-12-21,NaT
125563,Vaxelis,"Diphtheria and Tetanus Toxoids and Acellular Pertussis, Inactivated Poliovirus, Haemophilus b Conjugate and Hepatitis B Vaccine",<NA>,N/A,,Y,2020-09-25,NaT
125566,Adynovate,"Antihemophilic Factor (Recombinant), PEGylated",<NA>,N/A,,Y,2015-11-13,NaT
125566,Adynovate,"Antihemophilic Factor (Recombinant), PEGylated",<NA>,N/A,,Y,2016-10-25,NaT
125566,Adynovate,"Antihemophilic Factor (Recombinant), PEGylated",<NA>,N/A,,Y,2017-03-13,NaT
125574,Kovaltry,"Antihemophilic Factor (Recombinant), Full Length",<NA>,N/A,,Y,2016-03-16,NaT
125577,Vonvendi,von Willebrand factor (Recombinant),<NA>,N/A,,Y,2015-12-08,NaT
125579,Rubber Panel T.R.U.E. Test,Rubber Panel Thin-Layer Rapid Use Epicutaneous Patch Test,<NA>,N/A,,Y,2017-03-03,NaT
125582,Idelvion,"Coagulation Factor IX (Recombinant), Albumin Fusion Protein",<NA>,N/A,,Y,2016-03-04,NaT
125582,Idelvion,"Coagulation Factor IX (Recombinant), Albumin Fusion Protein",<NA>,N/A,,Y,2018-05-30,NaT
125585,<NA>,"HPC, Cord Blood",<NA>,N/A,,Y,2016-01-28,NaT
125586,Andexxa,"Coagulation Factor Xa (Recombinant), Inactivated-zhzo",<NA>,N/A,,Y,2018-05-03,NaT
125586,Andexxa,"Coagulation Factor Xa (Recombinant), Inactivated-zhzo",<NA>,N/A,,Y,2018-12-31,NaT
125587,Panzyga,Immune Globulin Intravenous (Human)-ifas,<NA>,N/A,,Y,2018-08-02,NaT
125590,Asceniv,"Immune Globulin Intravenous, Human-slra",<NA>,N/A,,Y,2019-04-01,NaT
125591,Afstyla,"Antihemophilic Factor (Recombinant), Single Chain",<NA>,N/A,,Y,2016-05-25,NaT
125591,Afstyla,"Antihemophilic Factor (Recombinant), Single Chain",<NA>,N/A,,Y,2017-03-31,NaT
125592,Odactra,House Dust Mites (Dermatophagoides farinae and Dermatophagoides pteronyssinus) Allergen Extract,<NA>,N/A,,Y,2017-03-01,NaT
125594,Clevecord,"HPC, Cord Blood",<NA>,N/A,,Y,2016-09-01,NaT
125596,Cuvitru,"Immune Globulin Subcutaneous (Human), 20% Solution",<NA>,N/A,,Y,2016-09-13,NaT
125596,Cuvitru,"Immune Globulin Subcutaneous (Human), 20% Solution",<NA>,N/A,,Y,2019-02-07,NaT
125597,Vaxchora,"Cholera Vaccine, Live, Oral",<NA>,N/A,,Y,2016-06-10,NaT
125603,Maci,autologous cultured chondrocytes on porcine collagen membrane,<NA>,N/A,,Y,2016-12-13,NaT
125606,Haegarda,C1 Esterase Inhibitor Subcutaneous (Human),<NA>,N/A,,Y,2017-06-22,NaT
125610,Luxturna,Voretigene Neparvovec,<NA>,N/A,,Y,2017-12-19,NaT
125611,Rebinyn,"Coagulation Factor IX (Recombinant), GlycoPEGylated",<NA>,N/A,,Y,2017-05-31,NaT
125612,Fibryga,Fibrinogen (Human),<NA>,N/A,,Y,2017-06-07,NaT
125613,Kedrab,Rabies Immune Globulin (Human),<NA>,N/A,,Y,2017-08-23,NaT
125614,Shingrix,"Zoster Vaccine Recombinant, Adjuvanted",<NA>,N/A,,Y,2017-10-20,NaT
125614,Shingrix,"Zoster Vaccine Recombinant, Adjuvanted",N/A,<NA>,,Y,2021-07-23,NaT
125614,Shingrix,"Zoster Vaccine Recombinant, Adjuvanted",N/A,<NA>,,Y,2025-07-16,NaT
125640,Vistaseal,Fibrin Sealant (Human),<NA>,N/A,,Y,2017-11-01,NaT
125641,Sevenfact,coagulation factor VIIa (recombinant)-jncw,<NA>,<NA>,,Y,2020-04-01,NaT
125641,Sevenfact,coagulation factor VIIa (recombinant)-jncw,<NA>,<NA>,,Y,2024-06-20,NaT
125643,Yescarta,axicabtagene ciloleucel,<NA>,N/A,,Y,2017-10-18,NaT
125644,Albuminex,Albumin (Human)-kjda,<NA>,N/A,,Y,2018-06-19,NaT
125646,Kymriah,tisagenlecleucel,<NA>,N/A,,Y,2017-08-30,NaT
125657,<NA>,"Hematopoietic Progenitor Cells, Cord (HPC-C)",<NA>,N/A,,Y,2018-06-21,NaT
125659,Ryplazim,"plasminogen, human-tvmh",<NA>,N/A,,Y,2021-06-04,2021-06-04
125661,Jivi,"Antihemophilic factor (recombinant), PEGylated-aucl",<NA>,N/A,,Y,2018-08-29,NaT
125668,Cutaquig,Immune Globulin Subcutaneous (Human)-hipp,<NA>,N/A,,Y,2018-12-12,NaT
125671,Esperoct,"Antihemophilic Factor (Recombinant), GlycoPEGylated-exei",<NA>,N/A,,Y,2019-02-19,NaT
125678,Jynneos,"Smallpox and Mpox Vaccine, Live, Non-replicating",<NA>,N/A,,Y,2019-09-24,NaT
125682,Dengvaxia,"Dengue Tetravalent Vaccine, Live",<NA>,N/A,,Y,2019-05-01,2019-05-01
125683,Xembify,"immune globulin subcutaneous, human-klhw",<NA>,N/A,,Y,2019-07-03,NaT
125690,Ervebo,"Ebola Zaire Vaccine, Live",<NA>,N/A,,Y,2019-12-19,2019-12-19
125692,Audenz,"Influenza A (H5N1) Monovalent Vaccine, Adjuvanted",<NA>,<NA>,,Y,2020-01-31,NaT
125694,Zolgensma,onasemnogene abeparvovec-xioi,<NA>,N/A,,Y,2019-05-24,2019-05-24
125696,Palforzia,Peanut (Arachis hypogaea) Allergen Powder-dnfp,<NA>,<NA>,,Y,2020-01-31,NaT
125701,Menquadfi,"Meningococcal (Groups A, C, Y, W) Conjugate Vaccine",<NA>,<NA>,,Y,2020-04-23,2020-04-23
125703,Tecartus,Brexucabtagene Autoleucel,<NA>,<NA>,,Y,2020-07-24,NaT
125714,Breyanzi,lisocabtagene maraleucel,<NA>,<NA>,,Y,2021-02-05,NaT
125720,Roctavian,valoctocogene roxaparvovec-rvox,<NA>,<NA>,,Y,2023-06-29,NaT
125731,Prevnar 20,Pneumococcal 20-valent Conjugate Vaccine,<NA>,N/A,,Y,2021-06-08,2021-06-08
125734,Lantidra,donislecel-jujn,<NA>,<NA>,,Y,2023-06-28,NaT
125740,Ticovac,Tick-Borne Encephalitis Vaccine,<NA>,<NA>,,Y,2021-08-13,NaT
125741,Vaxneuvance,Pneumococcal 15-valent Conjugate Vaccine,N/A,<NA>,,Y,2021-07-16,2021-07-16
125755,Skysona,elivaldogene autotemcel,<NA>,<NA>,,Y,2022-09-16,2022-09-16
125776,Balfaxar,"Prothrombin complex concentrate, human-lans",<NA>,<NA>,,Y,2023-07-21,NaT
125812,symvess,acellular tissue engineered vessel-tyod,<NA>,N/A,,Y,2024-12-19,2024-12-19
761024,Amjevita,adalimumab-atto,adalimumab,Humira,,Y,2016-09-23,NaT
761024,Amjevita,adalimumab-atto,adalimumab,Humira,,Y,2023-04-06,NaT
761024,Amjevita,adalimumab-atto,adalimumab,Humira,,Y,2023-08-14,NaT
761028,Mvasi,bevacizumab-awwb,bevacizumab,Avastin,,Y,2017-09-14,NaT
761039,Udenyca,pegfilgrastim-cbqv,pegfilgrastim,Neulasta,,Y,2018-11-02,NaT
761039,Udenyca,pegfilgrastim-cbqv,pegfilgrastim,Neulasta,,Y,2023-03-03,NaT
761039,Udenyca Onbody,pegfilgrastim-cbqv,pegfilgrastim,Neulasta,,Y,2023-12-22,NaT
761042,Erelzi,etanercept-szzs,etanercept,Enbrel,,Y,2016-08-30,NaT
761042,Erelzi Sensoready,etanercept-szzs,etanercept,Enbrel,,Y,2016-08-30,NaT
761042,Erelzi,etanercept-szzs,etanercept,Enbrel,,Y,2022-11-10,NaT
761045,Ziextenzo,pegfilgrastim-bmez,pegfilgrastim,Neulasta,,Y,2019-11-04,NaT
761054,Renflexis,infliximab-abda,infliximab,Remicade,,Y,2017-04-21,NaT
761058,Cyltezo,adalimumab-adbm,adalimumab,Humira,,Y,2017-08-25,NaT
761058,Cyltezo,adalimumab-adbm,adalimumab,Humira,,Y,2018-07-13,NaT
761058,Cyltezo,adalimumab-adbm,adalimumab,Humira,,Y,2022-03-18,NaT
761058,Cyltezo,adalimumab-adbm,adalimumab,Humira,,Y,2023-05-18,NaT
761058,Cyltezo,adalimumab-adbm,adalimumab,Humira,,Y,2024-04-30,NaT
761059,Hadlima,adalimumab-bwwd,adalimumab,Humira,,Y,2019-07-23,NaT
761059,Hadlima,adalimumab-bwwd,adalimumab,Humira,,Y,2022-06-17,NaT
761059,Hadlima,adalimumab-bwwd,adalimumab,Humira,,Y,2022-08-15,NaT
761066,Eticovo,etanercept-ykro,etanercept,Enbrel,,Y,2019-04-25,NaT
761066,Eticovo,etanercept-ykro,etanercept,Enbrel,,Y,2024-05-03,NaT
761071,Hyrimoz,adalimumab-adaz,adalimumab,Humira,,Y,2018-10-30,NaT
761071,Hyrimoz,adalimumab-adaz,adalimumab,Humira,,Y,2022-03-28,NaT
761071,Hyrimoz,adalimumab-adaz,adalimumab,Humira,,Y,2023-03-20,NaT
761072,Ixifi,infliximab-qbtx,infliximab,Remicade,,Y,2017-12-13,NaT
761073,Kanjinti,trastuzumab-anns,trastuzumab,Herceptin,,Y,2019-06-13,NaT
761073,Kanjinti,trastuzumab-anns,trastuzumab,Herceptin,,Y,2019-10-25,NaT
761074,Ogivri,trastuzumab-dkst,trastuzumab,Herceptin,,Y,2017-12-01,NaT
761074,Ogivri,trastuzumab-dkst,trastuzumab,Herceptin,,Y,2019-04-17,NaT
761075,Fulphila,pegfilgrastim-jmdb,pegfilgrastim,Neulasta,,Y,2018-06-04,NaT
761080,Nivestym,filgrastim-aafi,filgrastim,Neupogen,,Y,2018-07-20,NaT
761081,Trazimera,trastuzumab-qyyp,trastuzumab,Herceptin,,Y,2019-03-11,NaT
761081,Trazimera,trastuzumab-qyyp,trastuzumab,Herceptin,,Y,2020-11-30,NaT
761082,Releuko,filgrastim-ayow,filgrastim,Neupogen,,Y,2022-02-25,NaT
761084,Fylnetra,pegfilgrastim-pbbk,pegfilgrastim,Neulasta,,Y,2022-05-26,NaT
761086,Avsola,infliximab-axxq,infliximab,Remicade,,Y,2019-12-06,NaT
761088,Truxima,rituximab-abbs,rituximab,Rituxan,,Y,2018-11-28,NaT
761091,Herzuma,trastuzumab-pkrb,trastuzumab,Herceptin,,Y,2018-12-14,NaT
761091,Herzuma,trastuzumab-pkrb,trastuzumab,Herceptin,,Y,2019-05-16,NaT
761099,Zirabev,bevacizumab-bvzr,bevacizumab,Avastin,,Y,2019-06-27,NaT
761100,Ontruzant,trastuzumab-dttb,trastuzumab,Herceptin,,Y,2019-01-18,NaT
761100,Ontruzant,trastuzumab-dttb,trastuzumab,Herceptin,,Y,2020-03-20,NaT
761103,Ruxience,rituximab-pvvr,rituximab,Rituxan,,Y,2019-07-23,NaT
761111,Nyvepria,pegfilgrastim-apgf,pegfilgrastim,Neulasta,,Y,2020-06-10,NaT
761118,Abrilada,adalimumab-afzb,adalimumab,Humira,,Y,2019-11-15,NaT
761126,Nypozi,filgrastim-txid,filgrastim,Neupogen,,Y,2024-06-28,NaT
761140,Riabni,rituximab-arrx,rituximab,Rituxan,,Y,2020-12-17,NaT
761154,Hulio,adalimumab-fkjp,adalimumab,Humira,,Y,2020-07-06,NaT
761165,Cimerli,ranibizumab-eqrn,ranibizumab,Lucentis,,Y,2022-08-02,NaT
761173,Stimufend,pegfilgrastim-fpgk,pegfilgrastim,Neulasta,,Y,2022-09-01,NaT
761175,Jobevne,bevacizumab-nwgd,bevacizumab,Avastin,,Y,2025-04-09,NaT
761188,Kirsty,insulin aspart-xjhz,insulin aspart,Novolog,,Y,2025-07-15,NaT
761198,Avzivi,bevacizumab-tnjn,bevacizumab,Avastin,,Y,2023-12-06,NaT
761201,Semglee,insulin glargine-yfgn,insulin glargine,Lantus,,Y,2021-07-28,NaT
761202,Byooviz,ranibizumab-nuna,ranibizumab,Lucentis,,Y,2021-09-17,NaT
761215,Rezvoglar,insulin glargine-aglr,insulin glargine,Lantus,,Y,2021-12-17,NaT
761216,Yusimry,adalimumab-aqvh,adalimumab,Humira,,Y,2021-12-17,NaT
761216,Yusimry,adalimumab-aqvh,adalimumab,Humira,,Y,2023-02-27,NaT
761219,Yuflyma,adalimumab-aaty,adalimumab,Humira,,Y,2023-05-23,NaT
761219,Yuflyma,adalimumab-aaty,adalimumab,Humira,,Y,2023-09-29,NaT
761231,Alymsys,bevacizumab-maly,bevacizumab,Avastin,,Y,2022-04-13,NaT
761255,Idacio,adalimumab-aacf,adalimumab,Humira,,Y,2022-12-13,NaT
