ApplNo,ProductNo,PatentNo,PatentExpiration,DrugSubstanceFlag,DrugProductFlag,PatentUseCode,DelistRequested,PediatricExtension,FileDate
050808,005,7919483,,,,U-1078,,,
050808,006,7919483,,,,U-1078,,,
050808,007,7790705,,,,U-1078,,,
050808,007,8252776,,,,U-124,,,
050808,008,8268804,,,,U-1078,,,
050818,001,7795316,,,Y,U-1082,,,
200327,002,8247400,,,Y,U-282,,,
200533,002,7994364,,Y,Y,U-1178,,,
200533,003,7994364,,Y,Y,U-1276,,,
200533,004,7994364,,Y,Y,U-1276,,,
200533,004,7994364,,Y,Y,U-1178,,,
201699,001,7906489,,,,U-319,,,
201917,001,8431615,,,,U-1398,,,
201922,001,8268804,,,,U-124,,,
201922,003,7541347,,,,U-917,,,
201922,003,7919483,,,,U-124,,,
201922,005,7541347,,,,U-917,,,
201922,005,7790705,,,,U-124,,,
201922,005,7919483,,,,U-124,,,
201922,005,8268804,,,,U-124,,,
202020,003,8168218,,,Y,U-1269,,,
202057,001,8431560,,,,U-1287,,,
202100,001,8465765,,,Y,U-1415,,,
202258,001,7772178,,,Y,U-1128,,,
022430,001,8487005,,,Y,U-1182,,,
201444,001,8496973,,Y,Y,U-1419,,,
204168,001,8481598,,,,U-839,,,
204168,002,RE43879,,,,U-839,,,
204168,002,8481598,,,,U-839,,,
204168,003,8481598,,,,U-839,,,
022184,001,8586630,,,,U-1458,,,
203858,001,8618135,,,,U-1316,,,
203858,002,8618135,,,,U-1316,,,
022399,002,8686034,,,,U-1231,,,
205382,001,8183257,,,,U-1476,,,
202100,001,8778390,,,Y,U-1543,,,
022321,004,8685443,,,,U-1508,,,
022321,005,8685443,,,,U-1508,,,
022399,002,8686034,,,,U-1247,,,
022421,003,8679533,,,Y,U-219,,,
206256,001,6888027,,Y,Y,U-1544,,,
022421,004,8679533,,,Y,U-219,,,
022430,001,8791160,,,Y,U-1182,,,
022399,001,8795725,,,Y,U-1231,,,
022399,002,8795725,,,Y,U-1231,,,
020845,002,8776795,,,Y,U-1226,,,
204569,003,7951797,,Y,Y,U-620,,,
202278,001,7973058,,,,U-1328,,,
202278,001,8155737,,,,U-1328,,,
202278,001,8366600,,,,U-1327,,,
202278,001,8470853,,,,U-1328,,,
202331,001,7572920,,,Y,U-3,,,
202331,002,7572920,,,Y,U-3,,,
202343,001,7326708,,Y,Y,U-1188,,,
202343,002,7326708,,Y,Y,U-1188,,,
202343,003,7326708,,Y,Y,U-1188,,,
202343,004,7326708,,Y,Y,U-1188,,,
202343,005,7326708,,Y,Y,U-1188,,,
202714,001,7491704,,,,U-1260,,,
202799,002,7550433,,,,U-1238,,,
202799,002,7919461,,,,U-1238,,,
202799,004,7919461,,,,U-1238,,,
202799,005,7919461,,,,U-1238,,,
202799,007,7550433,,,,U-1238,,,
202799,008,7550433,,,,U-1238,,,
203100,001,7635704,,Y,Y,U-257,,,
203414,001,7807689,,Y,Y,U-1337,,,
203414,002,7807689,,Y,Y,U-1337,,,
203858,002,7932268,,,,U-1316,,,
204061,001,8450299,,,,U-1,,,
202057,001,8501225,,,,U-1287,,,
202317,001,7872050,,,,U-1427,,,
022519,001,8501228,,,,U-1196,,,
202057,001,8524698,,,,U-1287,,,
204708,001,8053427,,,Y,U-1428,,,
204708,001,8513247,,,Y,U-1428,,,
204708,001,8426410,,,,U-1428,,,
204708,001,8513249,,,Y,U-1428,,,
022184,001,8524777,,,,U-1235,,,
020866,001,8431155,,,Y,U-976,,,
207932,002,9901539,,,,U-1556,,,
207932,003,9901539,,,,U-1556,,,
202833,002,8536163,,,,U-1440,,,
204824,003,8480631,,,Y,U-1442,,,
204410,001,8268847,,,,U-1446,,,
021695,004,8026281,,,,U-1448,,,
204824,004,8579865,,,Y,U-1442,,,
208745,001,9919024,,,,U-2230,,,
205123,001,8349869,,Y,Y,U-1467,,,
022581,001,8592480,,,,U-1469,,,
021272,001,8653137,,,,U-1437,,,
021272,004,8653137,,,,U-1437,,,
022450,001,9399012,,,,U-2262,,,
201635,002,9622983,,,Y,U-1992,,,
201635,003,9622983,,,Y,U-1992,,,
