IngredientRxCUI,ProductRxCUI,NDC11,PackSize,UoM,UnitsPerPack,GTIN,RefrigeratedFlag,IsCurrent
327361,1655728,00074433901,,,,,0,1
327361,1655728,00074433902,,,,,0,1
327361,1655728,00074433971,,,,,0,1
327361,1655728,00074433974,,,,,0,1
327361,1655728,50090448700,,,,,0,1
327361,1726846,00074024302,,,,,0,1
327361,1726846,00074024371,,,,,0,1
327361,1726846,83457024201,,,,,0,1
327361,1726846,83457024302,,,,,0,1
327361,1855524,00074254001,,,,,0,1
327361,1872980,00074055401,,,,,0,1
327361,1872980,00074055402,,,,,0,1
327361,1872980,00074055471,,,,,0,1
327361,1872980,00074055474,,,,,0,1
327361,1872980,83457055301,,,,,0,1
327361,1872980,83457055402,,,,,0,1
327361,1921010,00074081702,,,,,0,1
327361,1921010,83457081601,,,,,0,1
327361,1921010,83457081702,,,,,0,1
327361,1921017,00074061602,,,,,0,1
327361,1921017,00074061671,,,,,0,1
327361,1921017,83457061501,,,,,0,1
327361,1921017,83457061602,,,,,0,1
327361,1921240,00074012401,,,,,0,1
327361,1921240,00074012402,,,,,0,1
327361,1921240,00074012474,,,,,0,1
327361,1921240,83457012301,,,,,0,1
327361,1921240,83457012402,,,,,0,1
327361,2627717,55513041101,,,,,0,1
327361,2627722,55513040001,,,,,0,1
327361,2627722,55513040002,,,,,0,1
327361,2627722,55513040091,,,,,0,1
327361,2627722,72511040001,,,,,0,1
327361,2627722,72511040002,,,,,0,1
327361,2627725,55513041001,,,,,0,1
327361,2627725,55513041002,,,,,0,1
327361,2634479,55513041301,,,,,0,1
327361,2639657,72606003009,,,,,0,1
327361,2639657,72606003010,,,,,0,1
327361,2639662,72606003001,,,,,0,1
327361,2639662,72606003002,,,,,0,1
327361,2639662,72606003003,,,,,0,1
327361,2639662,72606003004,,,,,0,1
327361,2639662,72606003005,,,,,0,1
327361,2639662,72606003006,,,,,0,1
327361,2639662,72606003007,,,,,0,1
327361,2639662,72606003008,,,,,0,1
327361,2640300,50090670600,,,,,0,1
327361,2640300,78206018401,,,,,0,1
327361,2640300,78206018499,,,,,0,1
327361,2640305,50090670500,,,,,0,1
327361,2640305,78206018301,,,,,0,1
327361,2640305,78206018399,,,,,0,1
327361,2640395,70114021002,,,,,0,1
327361,2640395,71288081681,,,,,0,1
327361,2640400,70114022002,,,,,0,1
327361,2640400,71288081581,,,,,0,1
327361,2640410,49502038002,,,,,0,1
327361,2640410,49502038006,,,,,0,1
327361,2640410,83257001932,,,,,0,1
327361,2640415,49502038102,,,,,0,1
327361,2640415,49502038106,,,,,0,1
327361,2640415,49502056706,,,,,0,1
327361,2640415,83257001642,,,,,0,1
327361,2640418,49502038202,,,,,0,1
327361,2640418,49502038206,,,,,0,1
327361,2640418,49502054006,,,,,0,1
327361,2640418,49502055406,,,,,0,1
327361,2640418,83257001742,,,,,0,1
327361,2640422,78206018501,,,,,0,1
327361,2640422,78206018599,,,,,0,1
327361,2640428,50090670400,,,,,0,1
327361,2640428,78206018601,,,,,0,1
327361,2640428,78206018699,,,,,0,1
327361,2640432,50090670700,,,,,0,1
327361,2640432,78206018701,,,,,0,1
327361,2640432,78206018758,,,,,0,1
327361,2640432,78206018759,,,,,0,1
327361,2640432,78206018799,,,,,0,1
327361,2640857,65219055618,,,,,0,1
327361,2640857,65219056914,,,,,0,1
327361,2640862,65219055408,,,,,0,1
327361,2640889,00597037045,,,,,0,1
