BLANumber,ProperName,ProprietaryName,Applicant,DosageForm,Route,Strength,ReferenceProductName,IsReferenceProductFlag,BLAApprovalDate
101841,"Pollens - Grasses, Ryegrass, Perennial Lolium perenne",<NA>,"Greer Laboratories, Inc.",Injection,Intradermal,"100,000BAU/ML",N/A,Y,2030-06-14
101841,"Pollens - Grasses, Ryegrass, Perennial Lolium perenne",<NA>,"Greer Laboratories, Inc.",Injection,Subcutaneous,"100,000BAU/ML",N/A,Y,2030-06-14
101842,"Pollens - Grasses, Sweet Vernal Grass Anthoxanthum odoratum",<NA>,"Greer Laboratories, Inc.",Injection,Percutaneous,"10,000BAU/ML",N/A,Y,2030-06-14
101842,"Pollens - Grasses, Sweet Vernal Grass Anthoxanthum odoratum",<NA>,"Greer Laboratories, Inc.",Injection,Intradermal,"10,000BAU/ML",N/A,Y,2030-06-14
101842,"Pollens - Grasses, Sweet Vernal Grass Anthoxanthum odoratum",<NA>,"Greer Laboratories, Inc.",Injection,Subcutaneous,"10,000BAU/ML",N/A,Y,2030-06-14
101842,"Pollens - Grasses, Sweet Vernal Grass Anthoxanthum odoratum",<NA>,"Greer Laboratories, Inc.",Injection,Percutaneous,"100,000BAU/ML",N/A,Y,2030-06-14
101842,"Pollens - Grasses, Sweet Vernal Grass Anthoxanthum odoratum",<NA>,"Greer Laboratories, Inc.",Injection,Intradermal,"100,000BAU/ML",N/A,Y,2030-06-14
101842,"Pollens - Grasses, Sweet Vernal Grass Anthoxanthum odoratum",<NA>,"Greer Laboratories, Inc.",Injection,Subcutaneous,"100,000BAU/ML",N/A,Y,2030-06-14
101843,"Pollens - Grasses, Timothy Phleum pratense",<NA>,"Greer Laboratories, Inc.",Injection,Percutaneous,"10,000BAU/ML",N/A,Y,2030-06-14
101843,"Pollens - Grasses, Timothy Phleum pratense",<NA>,"Greer Laboratories, Inc.",Injection,Intradermal,"10,000BAU/ML",N/A,Y,2030-06-14
101843,"Pollens - Grasses, Timothy Phleum pratense",<NA>,"Greer Laboratories, Inc.",Injection,Subcutaneous,"10,000BAU/ML",N/A,Y,2030-06-14
101843,"Pollens - Grasses, Timothy Phleum pratense",<NA>,"Greer Laboratories, Inc.",Injection,Percutaneous,"100,000BAU/ML",N/A,Y,2030-06-14
101843,"Pollens - Grasses, Timothy Phleum pratense",<NA>,"Greer Laboratories, Inc.",Injection,Intradermal,"100,000BAU/ML",N/A,Y,2030-06-14
101843,"Pollens - Grasses, Timothy Phleum pratense",<NA>,"Greer Laboratories, Inc.",Injection,Subcutaneous,"100,000BAU/ML",N/A,Y,2030-06-14
101844,"Pollens - Weeds and Garden Plants, Ragweed, Short Ambrosia artemisiifolia",<NA>,"Greer Laboratories, Inc.",Injection,Percutaneous,1:20W/V,N/A,Y,2030-06-14
101844,"Pollens - Weeds and Garden Plants, Ragweed, Short Ambrosia artemisiifolia",<NA>,"Greer Laboratories, Inc.",Injection,Intradermal,1:20W/V,N/A,Y,2030-06-14
101844,"Pollens - Weeds and Garden Plants, Ragweed, Short Ambrosia artemisiifolia",<NA>,"Greer Laboratories, Inc.",Injection,Subcutaneous,1:20W/V,N/A,Y,2030-06-14
101845,"Pollens - Weeds and Garden Plants, Ragweed, Short Ambrosia elatior",<NA>,"Greer Laboratories, Inc.",Injection,Percutaneous,"10,000BAU/ML",N/A,Y,2058-09-15
101845,"Pollens - Weeds and Garden Plants, Ragweed, Short Ambrosia elatior",<NA>,"Greer Laboratories, Inc.",Injection,Intradermal,"10,000BAU/ML",N/A,Y,2058-09-15
101845,"Pollens - Weeds and Garden Plants, Ragweed, Short Ambrosia elatior",<NA>,"Greer Laboratories, Inc.",Injection,Subcutaneous,"10,000BAU/ML",N/A,Y,2058-09-15
101845,"Pollens - Weeds and Garden Plants, Ragweed, Short Ambrosia elatior",<NA>,"Greer Laboratories, Inc.",Injection,Percutaneous,"100,000BAU/ML",N/A,Y,2058-09-15
101845,"Pollens - Weeds and Garden Plants, Ragweed, Short Ambrosia elatior",<NA>,"Greer Laboratories, Inc.",Injection,Intradermal,"100,000BAU/ML",N/A,Y,2058-09-15
101845,"Pollens - Weeds and Garden Plants, Ragweed, Short Ambrosia elatior",<NA>,"Greer Laboratories, Inc.",Injection,Subcutaneous,"100,000BAU/ML",N/A,Y,2058-09-15
101993,Albumin (Human),<NA>,Central Laboratory of the Netherlands Red Cross Blood Transfusion Service,Injection,Intravenous,0.25,N/A,Y,1979-09-07
101995,collagenase,Santyl,"Smith & Nephew, Inc.",Ointment,Topical,250UNITS/GRAM,N/A,Y,2065-06-04
102212,"Insects (Whole Body), Mite Dermatophagoides farinae",<NA>,"Allermed Laboratories, Inc.",Injection,Intradermal,"5,000AU/ML",N/A,Y,2074-03-12
102212,"Insects (Whole Body), Mite Dermatophagoides farinae",<NA>,"Allermed Laboratories, Inc.",Injection,Subcutaneous,"5,000AU/ML",N/A,Y,2074-03-12
102212,"Insects (Whole Body), Mite Dermatophagoides farinae",<NA>,"Allermed Laboratories, Inc.",Injection,Intradermal,"10,000AU/ML",N/A,Y,2074-03-12
102212,"Insects (Whole Body), Mite Dermatophagoides farinae",<NA>,"Allermed Laboratories, Inc.",Injection,Subcutaneous,"10,000AU/ML",N/A,Y,2074-03-12
102213,"Insects (Whole Body), Mite Dermatophagoides pteronyssinus",<NA>,"Allermed Laboratories, Inc.",Injection,Intradermal,"5,000AU/ML",N/A,Y,2074-03-12
102213,"Insects (Whole Body), Mite Dermatophagoides pteronyssinus",<NA>,"Allermed Laboratories, Inc.",Injection,Subcutaneous,"5,000AU/ML",N/A,Y,2074-03-12
102213,"Insects (Whole Body), Mite Dermatophagoides pteronyssinus",<NA>,"Allermed Laboratories, Inc.",Injection,Intradermal,"10,000AU/ML",N/A,Y,2074-03-12
102213,"Insects (Whole Body), Mite Dermatophagoides pteronyssinus",<NA>,"Allermed Laboratories, Inc.",Injection,Subcutaneous,"10,000AU/ML",N/A,Y,2074-03-12
102214,"Pollens - Grasses, Bermuda Grass Cynodon dactylon",<NA>,"Allermed Laboratories, Inc.",Injection,Intradermal,"10,000BAU/ML",N/A,Y,2030-06-14
102214,"Pollens - Grasses, Bermuda Grass Cynodon dactylon",<NA>,"Allermed Laboratories, Inc.",Injection,Subcutaneous,"10,000BAU/ML",N/A,Y,2030-06-14
102215,"Pollens - Grasses, Bluegrass, Kentucky (June) Poa pratensis",<NA>,"Allermed Laboratories, Inc.",Injection,Intradermal,"10,000BAU/ML",N/A,Y,2030-06-14
102215,"Pollens - Grasses, Bluegrass, Kentucky (June) Poa pratensis",<NA>,"Allermed Laboratories, Inc.",Injection,Subcutaneous,"10,000BAU/ML",N/A,Y,2030-06-14
102215,"Pollens - Grasses, Bluegrass, Kentucky (June) Poa pratensis",<NA>,"Allermed Laboratories, Inc.",Injection,Intradermal,"100,000BAU/ML",N/A,Y,2030-06-14
102215,"Pollens - Grasses, Bluegrass, Kentucky (June) Poa pratensis",<NA>,"Allermed Laboratories, Inc.",Injection,Subcutaneous,"100,000BAU/ML",N/A,Y,2030-06-14
102216,"Pollens - Grasses, Fescue, Meadow Festuca elatior",<NA>,"Allermed Laboratories, Inc.",Injection,Intradermal,"10,000BAU/ML",N/A,Y,2074-03-12
102216,"Pollens - Grasses, Fescue, Meadow Festuca elatior",<NA>,"Allermed Laboratories, Inc.",Injection,Subcutaneous,"10,000BAU/ML",N/A,Y,2074-03-12
102216,"Pollens - Grasses, Fescue, Meadow Festuca elatior",<NA>,"Allermed Laboratories, Inc.",Injection,Intradermal,"100,000BAU/ML",N/A,Y,2074-03-12
102216,"Pollens - Grasses, Fescue, Meadow Festuca elatior",<NA>,"Allermed Laboratories, Inc.",Injection,Subcutaneous,"100,000BAU/ML",N/A,Y,2074-03-12
102217,"Pollens - Grasses, Orchard Grass Dactylis glomerata",<NA>,"Allermed Laboratories, Inc.",Injection,Intradermal,"10,000BAU/ML",N/A,Y,2074-03-12
102217,"Pollens - Grasses, Orchard Grass Dactylis glomerata",<NA>,"Allermed Laboratories, Inc.",Injection,Subcutaneous,"10,000BAU/ML",N/A,Y,2074-03-12
102217,"Pollens - Grasses, Orchard Grass Dactylis glomerata",<NA>,"Allermed Laboratories, Inc.",Injection,Intradermal,"100,000BAU/ML",N/A,Y,2074-03-12
102217,"Pollens - Grasses, Orchard Grass Dactylis glomerata",<NA>,"Allermed Laboratories, Inc.",Injection,Subcutaneous,"100,000BAU/ML",N/A,Y,2074-03-12
102218,"Pollens - Grasses, Redtop Agrostis alba",<NA>,"Allermed Laboratories, Inc.",Injection,Intradermal,"10,000BAU/ML",N/A,Y,2074-03-12
102218,"Pollens - Grasses, Redtop Agrostis alba",<NA>,"Allermed Laboratories, Inc.",Injection,Subcutaneous,"10,000BAU/ML",N/A,Y,2074-03-12
102218,"Pollens - Grasses, Redtop Agrostis alba",<NA>,"Allermed Laboratories, Inc.",Injection,Intradermal,"100,000BAU/ML",N/A,Y,2074-03-12
102218,"Pollens - Grasses, Redtop Agrostis alba",<NA>,"Allermed Laboratories, Inc.",Injection,Subcutaneous,"100,000BAU/ML",N/A,Y,2074-03-12
102219,"Pollens - Grasses, Ryegrass, Perennial Lolium perenne",<NA>,"Allermed Laboratories, Inc.",Injection,Intradermal,"10,000BAU/ML",N/A,Y,2074-03-12
102219,"Pollens - Grasses, Ryegrass, Perennial Lolium perenne",<NA>,"Allermed Laboratories, Inc.",Injection,Intradermal,"10,000BAU/ML",N/A,Y,2030-06-14
102219,"Pollens - Grasses, Ryegrass, Perennial Lolium perenne",<NA>,"Allermed Laboratories, Inc.",Injection,Subcutaneous,"10,000BAU/ML",N/A,Y,2030-06-14
102219,"Pollens - Grasses, Ryegrass, Perennial Lolium perenne",<NA>,"Allermed Laboratories, Inc.",Injection,Intradermal,"100,000BAU/ML",N/A,Y,2030-06-14
102219,"Pollens - Grasses, Ryegrass, Perennial Lolium perenne",<NA>,"Allermed Laboratories, Inc.",Injection,Subcutaneous,"100,000BAU/ML",N/A,Y,2030-06-14
102220,"Pollens - Grasses, Sweet Vernal Grass Anthoxanthum odoratum",<NA>,"Allermed Laboratories, Inc.",Injection,Intradermal,"10,000BAU/ML",N/A,Y,2074-03-12
102220,"Pollens - Grasses, Sweet Vernal Grass Anthoxanthum odoratum",<NA>,"Allermed Laboratories, Inc.",Injection,Subcutaneous,"10,000BAU/ML",N/A,Y,2074-03-12
102220,"Pollens - Grasses, Sweet Vernal Grass Anthoxanthum odoratum",<NA>,"Allermed Laboratories, Inc.",Injection,Intradermal,"100,000BAU/ML",N/A,Y,2074-03-12
102220,"Pollens - Grasses, Sweet Vernal Grass Anthoxanthum odoratum",<NA>,"Allermed Laboratories, Inc.",Injection,Subcutaneous,"100,000BAU/ML",N/A,Y,2074-03-12
102221,"Pollens - Grasses, Timothy Phleum pratense",<NA>,"Allermed Laboratories, Inc.",Injection,Intradermal,"10,000BAU/ML",N/A,Y,2030-06-14
102221,"Pollens - Grasses, Timothy Phleum pratense",<NA>,"Allermed Laboratories, Inc.",Injection,Subcutaneous,"10,000BAU/ML",N/A,Y,2030-06-14
102221,"Pollens - Grasses, Timothy Phleum pratense",<NA>,"Allermed Laboratories, Inc.",Injection,Intradermal,"100,000BAU/ML",N/A,Y,2030-06-14
102221,"Pollens - Grasses, Timothy Phleum pratense",<NA>,"Allermed Laboratories, Inc.",Injection,Subcutaneous,"100,000BAU/ML",N/A,Y,2030-06-14
102366,Albumin (Human),Alburx,CSL Behring AG,Injection,Intravenous,25G/100mL,N/A,Y,1976-07-23
102366,Albumin (Human),Alburx,CSL Behring AG,Injection,Intravenous,25G/500ML,N/A,Y,1976-07-23
102366,Albumin (Human),Alburx,CSL Behring AG,Injection,Intravenous,12.5G/50ML,N/A,Y,1976-07-23
102366,Albumin (Human),Alburx,CSL Behring AG,Injection,Intravenous,12.5G/250ML,N/A,Y,1976-07-23
102367,Immune Globulin Intravenous (Human),"Carimune, Carimune Nf, Panglobulin, Sandoglobulin",CSL Behring AG,For Injection,Intravenous,6G,N/A,Y,2000-07-27
102367,Immune Globulin Intravenous (Human),"Carimune, Carimune Nf, Panglobulin, Sandoglobulin",CSL Behring AG,For Injection,Intravenous,12G,N/A,Y,2000-07-27
102367,Immune Globulin Intravenous (Human),"Carimune, Carimune Nf, Panglobulin, Sandoglobulin",CSL Behring AG,For Injection,Intravenous,3G,N/A,Y,2000-07-27
102475,Antihemophilic Factor/von Willebrand Factor Complex (Human),Alphanate,Grifols Biologicals LLC,For Injection,Intravenous,250IU,N/A,Y,1978-08-15
102475,Antihemophilic Factor/von Willebrand Factor Complex (Human),Alphanate,Grifols Biologicals LLC,For Injection,Intravenous,1000IU,N/A,Y,1978-08-15
102475,Antihemophilic Factor/von Willebrand Factor Complex (Human),Alphanate,Grifols Biologicals LLC,For Injection,Intravenous,1500IU,N/A,Y,1978-08-15
102475,Antihemophilic Factor/von Willebrand Factor Complex (Human),Alphanate,Grifols Biologicals LLC,For Injection,Intravenous,500IU,N/A,Y,1978-08-15
102475,Antihemophilic Factor/von Willebrand Factor Complex (Human),Alphanate,Grifols Biologicals LLC,For Injection,Intravenous,2000IU,N/A,Y,2014-06-26
102476,Factor IX Complex,"Profilnine, Profilnine Hp, Profilnine Ht, Profilnine Sd",Grifols Biologicals LLC,For Injection,Intravenous,1000IU,N/A,Y,1981-07-20
102476,Factor IX Complex,"Profilnine, Profilnine Hp, Profilnine Ht, Profilnine Sd",Grifols Biologicals LLC,For Injection,Intravenous,1500IU,N/A,Y,1981-07-20
102476,Factor IX Complex,"Profilnine, Profilnine Hp, Profilnine Ht, Profilnine Sd",Grifols Biologicals LLC,For Injection,Intravenous,500IU,N/A,Y,1981-07-20
102478,Albumin (Human),Albutein,Grifols Biologicals LLC,Injection,Intravenous,10G/50ML,N/A,Y,1978-08-15
102478,Albumin (Human),Albutein,Grifols Biologicals LLC,Injection,Intravenous,20G/100ML,N/A,Y,1978-08-15
102478,Albumin (Human),Albutein,Grifols Biologicals LLC,Injection,Intravenous,25G/100ML,N/A,Y,1978-08-15
102478,Albumin (Human),Albutein,Grifols Biologicals LLC,Injection,Intravenous,2.5G/50ML,N/A,Y,1978-08-15
102478,Albumin (Human),Albutein,Grifols Biologicals LLC,Injection,Intravenous,12.5G/50ML,N/A,Y,1978-08-15
102478,Albumin (Human),Albutein,Grifols Biologicals LLC,Injection,Intravenous,5G/20ML,N/A,Y,1978-08-15
102478,Albumin (Human),Albutein,Grifols Biologicals LLC,Injection,Intravenous,12.5ML/250ML,N/A,Y,1978-08-15
102478,Albumin (Human),Albutein,Grifols Biologicals LLC,Injection,Intravenous,25G/500ML,N/A,Y,1978-08-15
102478,Albumin (Human),Albutein,Grifols Biologicals LLC,Injection,Intravenous,5G/100ML,N/A,Y,2022-11-29
102821,BCG Live,Tice Bcg,Merck Teknika LLC,For Injection,Intravesical,100-800 MIL CFU,N/A,Y,1989-06-21
102865,"Thrombin, Topical (Bovine)","Thrombin-Jmi, Thrombocoll","GenTrac, Inc.",Powder,Topical,"20,000IU",N/A,Y,1986-02-03
102865,"Thrombin, Topical (Bovine)","Thrombin-Jmi, Thrombocoll","GenTrac, Inc.",Powder,Topical,"5,000IU",N/A,Y,2011-02-10
103000,onabotulinumtoxinA,Botox Cosmetic,AbbVie Inc.,For Injection,Intramuscular,50UNITS,N/A,Y,1991-12-09
103000,onabotulinumtoxinA,Botox Cosmetic,AbbVie Inc.,For Injection,Intramuscular,100UNITS,N/A,Y,1991-12-09
103000,onabotulinumtoxinA,Botox,AbbVie Inc.,For Injection,"Injection, Intramuscular, Intradermal, Intradetrusor",50UNITS,N/A,Y,1991-12-09
103000,onabotulinumtoxinA,Botox,AbbVie Inc.,For Injection,"Injection, Intramuscular, Intradermal, Intradetrusor",100UNITS,N/A,Y,1991-12-09
103000,onabotulinumtoxinA,Botox,AbbVie Inc.,For Injection,"Injection, Intramuscular, Intradermal, Intradetrusor",200UNITS,N/A,Y,1991-12-09
103050,BCG Vaccine,<NA>,Merck Teknika LLC,For Injection,Percutaneous,100-800 MIL CFU,N/A,Y,1989-06-21
103051,"Pollens - Grasses, Bermuda Grass Cynodon dactylon",<NA>,"ALK-Abello, Inc.",Injection,Subcutaneous,"10,000BAU/ML",N/A,Y,2058-09-29
103051,"Pollens - Grasses, Bermuda Grass Cynodon dactylon",<NA>,"ALK-Abello, Inc.",Injection,Percutaneous,"10,000BAU/ML",N/A,Y,2058-09-29
103052,"Pollens - Grasses, Bluegrass, Kentucky (June) Poa pratensis",<NA>,"ALK-Abello, Inc.",Injection,Percutaneous,"10,000BAU/ML",N/A,Y,2050-09-29
103052,"Pollens - Grasses, Bluegrass, Kentucky (June) Poa pratensis",<NA>,"ALK-Abello, Inc.",Injection,Subcutaneous,"10,000BAU/ML",N/A,Y,2050-09-29
103052,"Pollens - Grasses, Bluegrass, Kentucky (June) Poa pratensis",<NA>,"ALK-Abello, Inc.",Injection,Percutaneous,"100,000BAU/ML",N/A,Y,2050-09-29
103052,"Pollens - Grasses, Bluegrass, Kentucky (June) Poa pratensis",<NA>,"ALK-Abello, Inc.",Injection,Subcutaneous,"100,000BAU/ML",N/A,Y,2050-09-29
103053,"Pollens - Grasses, Fescue, Meadow Festuca elatior",<NA>,"ALK-Abello, Inc.",Injection,Percutaneous,"10,000BAU/ML",N/A,Y,2050-09-29
103053,"Pollens - Grasses, Fescue, Meadow Festuca elatior",<NA>,"ALK-Abello, Inc.",Injection,Subcutaneous,"10,000BAU/ML",N/A,Y,2050-09-29
103053,"Pollens - Grasses, Fescue, Meadow Festuca elatior",<NA>,"ALK-Abello, Inc.",Injection,Percutaneous,"100,000BAU/ML",N/A,Y,2050-09-29
103053,"Pollens - Grasses, Fescue, Meadow Festuca elatior",<NA>,"ALK-Abello, Inc.",Injection,Subcutaneous,"100,000BAU/ML",N/A,Y,2050-09-29
103054,"Pollens - Grasses, Orchard Grass Dactylis glomerata",<NA>,"ALK-Abello, Inc.",Injection,Percutaneous,"10,000BAU/ML",N/A,Y,2050-09-29
103054,"Pollens - Grasses, Orchard Grass Dactylis glomerata",<NA>,"ALK-Abello, Inc.",Injection,Subcutaneous,"10,000BAU/ML",N/A,Y,2050-09-29
103054,"Pollens - Grasses, Orchard Grass Dactylis glomerata",<NA>,"ALK-Abello, Inc.",Injection,Percutaneous,"100,000BAU/ML",N/A,Y,2050-09-29
103054,"Pollens - Grasses, Orchard Grass Dactylis glomerata",<NA>,"ALK-Abello, Inc.",Injection,Subcutaneous,"100,000BAU/ML",N/A,Y,2050-09-29
103055,"Pollens - Grasses, Redtop Agrostis alba",<NA>,"ALK-Abello, Inc.",Injection,Percutaneous,"10,000BAU/ML",N/A,Y,2050-09-29
103055,"Pollens - Grasses, Redtop Agrostis alba",<NA>,"ALK-Abello, Inc.",Injection,Subcutaneous,"10,000BAU/ML",N/A,Y,2050-09-29
103055,"Pollens - Grasses, Redtop Agrostis alba",<NA>,"ALK-Abello, Inc.",Injection,Percutaneous,"100,000BAU/ML",N/A,Y,2050-09-29
103055,"Pollens - Grasses, Redtop Agrostis alba",<NA>,"ALK-Abello, Inc.",Injection,Subcutaneous,"100,000BAU/ML",N/A,Y,2050-09-29
103056,"Pollens - Grasses, Ryegrass, Perennial Lolium perenne",<NA>,"ALK-Abello, Inc.",Injection,Percutaneous,"10,000BAU/ML",N/A,Y,2050-09-29
103056,"Pollens - Grasses, Ryegrass, Perennial Lolium perenne",<NA>,"ALK-Abello, Inc.",Injection,Subcutaneous,"10,000BAU/ML",N/A,Y,2050-09-29
103057,"Pollens - Grasses, Sweet Vernal Grass Anthoxanthum odoratum",<NA>,"ALK-Abello, Inc.",Injection,Percutaneous,"100,000BAU/ML",N/A,Y,2050-09-29
103057,"Pollens - Grasses, Sweet Vernal Grass Anthoxanthum odoratum",<NA>,"ALK-Abello, Inc.",Injection,Subcutaneous,"100,000BAU/ML",N/A,Y,2050-09-29
103058,"Pollens - Grasses, Timothy Phleum pratense",<NA>,"ALK-Abello, Inc.",Injection,Percutaneous,"10,000BAU/ML",N/A,Y,2050-09-29
103058,"Pollens - Grasses, Timothy Phleum pratense",<NA>,"ALK-Abello, Inc.",Injection,Subcutaneous,"100,000BAU/ML",N/A,Y,2050-09-29
103059,"Pollens - Weeds and Garden Plants, Ragweed, Short Ambrosia artemisiifolia",<NA>,"ALK-Abello, Inc.",Injection,Percutaneous,1:20W/V,N/A,Y,2050-09-29
103059,"Pollens - Weeds and Garden Plants, Ragweed, Short Ambrosia artemisiifolia",<NA>,"ALK-Abello, Inc.",Injection,Subcutaneous,1:20W/V,N/A,Y,2050-09-29
103060,"Insects (Whole Body), Mite Dermatophagoides farinae",<NA>,"ALK-Abello, Inc.",Injection,Percutaneous,"10,000BAU/ML",N/A,Y,2050-09-29
103060,"Insects (Whole Body), Mite Dermatophagoides farinae",<NA>,"ALK-Abello, Inc.",Injection,Subcutaneous,"10,000BAU/ML",N/A,Y,2050-09-29
103061,"Animal Allergens, Standardized Cat Pelt",<NA>,"ALK-Abello, Inc.",Injection,Percutaneous,"10,000BAU/ML",N/A,Y,2050-09-29
103061,"Animal Allergens, Standardized Cat Pelt",<NA>,"ALK-Abello, Inc.",Injection,Subcutaneous,"10,000BAU/ML",N/A,Y,2050-09-29
103112,Factor IX Complex,Proplex-T; Bebulin,Baxalta US Inc.,For Injection,Intravenous,200-1200U/20ML,<NA>,N,2070-08-21
103113,"Pollens - Weeds and Garden Plants, Ragweed, Short Ambrosia artemisiifolia",<NA>,"Allermed Laboratories, Inc.",Injection,Subcutaneous,1:10W/V,N/A,Y,2074-03-13
103113,"Pollens - Weeds and Garden Plants, Ragweed, Short Ambrosia artemisiifolia",<NA>,"Allermed Laboratories, Inc.",Injection,Intradermal,1:10W/V,N/A,Y,2074-03-13
103123,Typhoid Vaccine Live Oral Ty21a,Vivotif,Bavarian Nordic A/S,Capsule,Oral,2-6.8 BIL. CFU,N/A,Y,1989-12-15
103132,interferon alfa-2b,Intron A,Merck Sharp & Dohme LLC,For Injection,"Intramuscular, Intravenous, Subcutaneous",3MIU,N/A,Y,1986-06-04
103132,interferon alfa-2b,Intron A,Merck Sharp & Dohme LLC,For Injection,"Intramuscular, Intravenous, Subcutaneous",5MIU,N/A,Y,1986-06-04
103132,interferon alfa-2b,Intron A,Merck Sharp & Dohme LLC,For Injection,"Subcutaneous, Intravenous, Intralesional, Intramuscular",10MIU,N/A,Y,1986-06-04
103132,interferon alfa-2b,Intron A,Merck Sharp & Dohme LLC,For Injection,"Intramuscular, Intravenous, Subcutaneous",25MIU,N/A,Y,1986-06-04
103132,interferon alfa-2b,Intron A,Merck Sharp & Dohme LLC,For Injection,"Intramuscular, Intravenous, Subcutaneous",18MIU,N/A,Y,NaT
103132,interferon alfa-2b,Intron A,Merck Sharp & Dohme LLC,For Injection,"Intramuscular, Intravenous, Subcutaneous",50MIU,N/A,Y,NaT
103132,interferon alfa-2b,Intron A,Merck Sharp & Dohme LLC,Injection,"Subcutaneous, Intramuscular",3MIU,N/A,Y,NaT
103132,interferon alfa-2b,Intron A,Merck Sharp & Dohme LLC,Injection,"Intralesional, Intramuscular, Subcutaneous",5MIU,N/A,Y,NaT
103132,interferon alfa-2b,Intron A,Merck Sharp & Dohme LLC,Injection,"Intralesional, Intramuscular, Subcutaneous",10MIU,N/A,Y,NaT
103132,interferon alfa-2b,Intron A,Merck Sharp & Dohme LLC,Injection,"Subcutaneous, Intramuscular",18MIU,N/A,Y,NaT
103132,interferon alfa-2b,Intron A,Merck Sharp & Dohme LLC,Injection,"Intralesional, Intramuscular, Subcutaneous",25MIU,N/A,Y,NaT
103132,interferon alfa-2b,Intron A,Merck Sharp & Dohme LLC,Injection,Subcutaneous,3MIU,N/A,Y,NaT
103132,interferon alfa-2b,Intron A,Merck Sharp & Dohme LLC,Injection,Subcutaneous,5MIU,N/A,Y,NaT
103132,interferon alfa-2b,Intron A,Merck Sharp & Dohme LLC,Injection,Subcutaneous,10MIU,N/A,Y,NaT
103133,Immune Globulin Intravenous (Human),"Gammagard, Gammagard S/D, Iveegam","Takeda Pharmaceuticals U.S.A., Inc.",For Injection,Intravenous,0.5G,N/A,Y,1986-02-18
103133,Immune Globulin Intravenous (Human),"Gammagard, Gammagard S/D, Iveegam","Takeda Pharmaceuticals U.S.A., Inc.",For Injection,Intravenous,1000MG,N/A,Y,1986-02-18
103133,Immune Globulin Intravenous (Human),"Gammagard, Gammagard S/D, Iveegam","Takeda Pharmaceuticals U.S.A., Inc.",For Injection,Intravenous,2500MG,N/A,Y,1986-02-18
103133,Immune Globulin Intravenous (Human),"Gammagard, Gammagard S/D, Iveegam","Takeda Pharmaceuticals U.S.A., Inc.",For Injection,Intravenous,500MG,N/A,Y,1986-02-18
103133,Immune Globulin Intravenous (Human),"Gammagard, Gammagard S/D, Iveegam","Takeda Pharmaceuticals U.S.A., Inc.",For Injection,Intravenous,5000MG,N/A,Y,1986-02-18
