ApplNo,ProductNo,TradeName,ActiveIngredient,Strength,DosageForm,Route,MarketingStatus,TECode,ReferenceListedDrugFlag,ReferenceStandardFlag,ApplicantName,ApplType,ApplStatus,FirstApprovalDate
208591,001,ITRACONAZOLE,ITRACONAZOLE,100MG,CAPSULE,ORAL,RX,AB,N,N,ALKEM LABORATORIES LTD,A,Active,2017-06-12
205080,001,ITRACONAZOLE,ITRACONAZOLE,100MG,CAPSULE,ORAL,RX,AB,N,N,AMNEAL PHARMACEUTICALS,A,Active,2016-09-26
203445,001,ITRACONAZOLE,ITRACONAZOLE,100MG,CAPSULE,ORAL,DISCN,,N,N,JUBILANT GENERICS LTD,A,Discontinued,2017-02-23
200463,001,ITRACONAZOLE,ITRACONAZOLE,100MG,CAPSULE,ORAL,DISCN,,N,N,MYLAN PHARMACEUTICALS INC,A,Discontinued,2012-07-20
205724,001,ITRACONAZOLE,ITRACONAZOLE,100MG,CAPSULE,ORAL,RX,AB,N,N,RISING PHARMA HOLDINGS INC,A,Active,2016-12-13
076104,001,ITRACONAZOLE,ITRACONAZOLE,100MG,CAPSULE,ORAL,RX,AB,N,N,SANDOZ INC,A,Active,2004-05-28
206410,001,ITRACONAZOLE,ITRACONAZOLE,100MG,CAPSULE,ORAL,DISCN,,N,N,STRIDES PHARMA GLOBAL PTE LTD,A,Discontinued,2019-07-02
209460,001,ITRACONAZOLE,ITRACONAZOLE,100MG,CAPSULE,ORAL,RX,AB,N,N,TORRENT PHARMACEUTICALS LTD,A,Active,2018-08-24
204672,001,ITRACONAZOLE,ITRACONAZOLE,100MG,CAPSULE,ORAL,RX,AB,N,N,ZYDUS PHARMACEUTICALS USA INC,A,Active,2017-09-19
022460,001,JALYN,DUTASTERIDE; TAMSULOSIN HYDROCHLORIDE,0.5MG;0.4MG,CAPSULE,ORAL,RX,AB,Y,Y,WAYLIS THERAPEUTICS LLC,N,Active,2010-06-14
206089,001,JATENZO,TESTOSTERONE UNDECANOATE,158MG,CAPSULE,ORAL,RX,,Y,N,TOLMAR INC,N,Active,2019-03-27
206089,002,JATENZO,TESTOSTERONE UNDECANOATE,198MG,CAPSULE,ORAL,RX,,Y,N,TOLMAR INC,N,Active,2019-03-27
206089,003,JATENZO,TESTOSTERONE UNDECANOATE,237MG,CAPSULE,ORAL,RX,,Y,Y,TOLMAR INC,N,Active,2019-03-27
203858,001,JUXTAPID,LOMITAPIDE MESYLATE,EQ 5MG BASE,CAPSULE,ORAL,RX,,Y,N,CHIESI FARMACEUTICI SPA,N,Active,2012-12-21
203858,002,JUXTAPID,LOMITAPIDE MESYLATE,EQ 10MG BASE,CAPSULE,ORAL,RX,,Y,N,CHIESI FARMACEUTICI SPA,N,Active,2012-12-21
203858,003,JUXTAPID,LOMITAPIDE MESYLATE,EQ 20MG BASE,CAPSULE,ORAL,RX,,Y,N,CHIESI FARMACEUTICI SPA,N,Active,2012-12-21
203858,004,JUXTAPID,LOMITAPIDE MESYLATE,EQ 30MG BASE,CAPSULE,ORAL,RX,,Y,N,CHIESI FARMACEUTICI SPA,N,Active,2012-12-21
203858,005,JUXTAPID,LOMITAPIDE MESYLATE,EQ 40MG BASE,CAPSULE,ORAL,DISCN,,Y,N,CHIESI FARMACEUTICI SPA,N,Active,2012-12-21
203858,006,JUXTAPID,LOMITAPIDE MESYLATE,EQ 60MG BASE,CAPSULE,ORAL,DISCN,,Y,N,CHIESI FARMACEUTICI SPA,N,Active,2012-12-21
050219,001,KAFOCIN,CEPHALOGLYCIN,250MG,CAPSULE,ORAL,DISCN,,N,N,ELI LILLY AND CO,N,Discontinued,1982-01-01
021226,001,KALETRA,LOPINAVIR; RITONAVIR,133.3MG;33.3MG,CAPSULE,ORAL,DISCN,,N,N,ABBVIE INC,N,Discontinued,2000-09-15
060516,001,KANTREX,KANAMYCIN SULFATE,EQ 500MG BASE,CAPSULE,ORAL,DISCN,,N,N,APOTHECON INC DIV BRISTOL MYERS SQUIBB,A,Discontinued,1982-01-01
061911,001,KANTREX,KANAMYCIN SULFATE,EQ 500MG BASE,CAPSULE,ORAL,DISCN,,N,N,APOTHECON INC DIV BRISTOL MYERS SQUIBB,A,Discontinued,1982-01-01
062726,001,KANTREX,KANAMYCIN SULFATE,EQ 500MG BASE,CAPSULE,ORAL,DISCN,,N,N,APOTHECON INC DIV BRISTOL MYERS SQUIBB,A,Discontinued,1987-03-06
050405,002,KEFLEX,CEPHALEXIN,EQ 250MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,CAPSULE,ORAL,DISCN,,Y,N,PRAGMA PHARMACEUTICALS LLC,N,Discontinued,1982-01-01
050405,004,KEFLEX,CEPHALEXIN,EQ 333MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,CAPSULE,ORAL,DISCN,,Y,N,PRAGMA PHARMACEUTICALS LLC,N,Discontinued,1982-01-01
050405,003,KEFLEX,CEPHALEXIN,EQ 500MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,CAPSULE,ORAL,DISCN,,Y,N,PRAGMA PHARMACEUTICALS LLC,N,Discontinued,1982-01-01
050405,005,KEFLEX,CEPHALEXIN,EQ 750MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,CAPSULE,ORAL,DISCN,,Y,N,PRAGMA PHARMACEUTICALS LLC,N,Discontinued,1982-01-01
083544,001,KESSO-GESIC,PROPOXYPHENE HYDROCHLORIDE,65MG,CAPSULE,ORAL,DISCN,,N,N,MK LABORATORIES INC,A,Discontinued,1982-01-01
074014,001,KETOPROFEN,KETOPROFEN,25MG,CAPSULE,ORAL,RX,,N,N,MISEMER PHARMACEUTICALS INC,A,Active,1993-01-29
074014,002,KETOPROFEN,KETOPROFEN,50MG,CAPSULE,ORAL,RX,AB,N,N,MISEMER PHARMACEUTICALS INC,A,Active,1993-01-29
074014,003,KETOPROFEN,KETOPROFEN,75MG,CAPSULE,ORAL,RX,,N,Y,MISEMER PHARMACEUTICALS INC,A,Active,1993-01-29
074024,001,KETOPROFEN,KETOPROFEN,50MG,CAPSULE,ORAL,DISCN,,N,N,RISING PHARMA HOLDINGS INC,A,Discontinued,1995-12-29
074035,002,KETOPROFEN,KETOPROFEN,50MG,CAPSULE,ORAL,DISCN,,N,N,RISING PHARMA HOLDING INC,A,Discontinued,1996-12-31
074024,002,KETOPROFEN,KETOPROFEN,75MG,CAPSULE,ORAL,DISCN,,N,N,RISING PHARMA HOLDINGS INC,A,Discontinued,1995-12-29
074035,003,KETOPROFEN,KETOPROFEN,75MG,CAPSULE,ORAL,DISCN,,N,N,RISING PHARMA HOLDING INC,A,Discontinued,1996-12-31
073515,001,KETOPROFEN,KETOPROFEN,25MG,CAPSULE,ORAL,DISCN,,N,N,TEVA PHARMACEUTICALS USA INC,A,Discontinued,1992-12-22
073516,001,KETOPROFEN,KETOPROFEN,50MG,CAPSULE,ORAL,RX,AB,N,N,TEVA PHARMACEUTICALS USA INC,A,Active,1992-12-22
073517,001,KETOPROFEN,KETOPROFEN,75MG,CAPSULE,ORAL,DISCN,,N,N,TEVA PHARMACEUTICALS USA INC,A,Discontinued,1992-12-22
213756,001,KOSELUGO,SELUMETINIB SULFATE,EQ 10MG BASE,CAPSULE,ORAL,RX,,Y,N,ASTRAZENECA PHARMACEUTICALS LP,N,Active,2020-04-10
213756,002,KOSELUGO,SELUMETINIB SULFATE,EQ 25MG BASE,CAPSULE,ORAL,RX,,Y,Y,ASTRAZENECA PHARMACEUTICALS LP,N,Active,2020-04-10
213953,001,KYZATREX,TESTOSTERONE UNDECANOATE,100MG,CAPSULE,ORAL,RX,,Y,N,MARIUS PHARMACEUTICALS LLC,N,Active,2022-07-27
213953,002,KYZATREX,TESTOSTERONE UNDECANOATE,150MG,CAPSULE,ORAL,RX,,Y,N,MARIUS PHARMACEUTICALS LLC,N,Active,2022-07-27
213953,003,KYZATREX,TESTOSTERONE UNDECANOATE,200MG,CAPSULE,ORAL,RX,,Y,Y,MARIUS PHARMACEUTICALS LLC,N,Active,2022-07-27
019500,002,LAMPRENE,CLOFAZIMINE,50MG,CAPSULE,ORAL,DISCN,,Y,N,NOVARTIS PHARMACEUTICALS CORP,N,Discontinued,1986-12-15
019500,001,LAMPRENE,CLOFAZIMINE,100MG,CAPSULE,ORAL,DISCN,,N,N,NOVARTIS PHARMACEUTICALS CORP,N,Discontinued,1986-12-15
086996,002,LANORINAL,ASPIRIN; BUTALBITAL; CAFFEINE,325MG;50MG;40MG,CAPSULE,ORAL,RX,AA,N,Y,SANDOZ INC,A,Active,1985-10-11
018118,002,LANOXICAPS,DIGOXIN,0.05MG,CAPSULE,ORAL,DISCN,,N,N,GLAXOSMITHKLINE LLC,N,Discontinued,1982-07-26
018118,003,LANOXICAPS,DIGOXIN,0.1MG,CAPSULE,ORAL,DISCN,,N,N,GLAXOSMITHKLINE LLC,N,Discontinued,1982-07-26
018118,004,LANOXICAPS,DIGOXIN,0.15MG,CAPSULE,ORAL,DISCN,,N,N,GLAXOSMITHKLINE LLC,N,Discontinued,1982-07-26
018118,001,LANOXICAPS,DIGOXIN,0.2MG,CAPSULE,ORAL,DISCN,,N,N,GLAXOSMITHKLINE LLC,N,Discontinued,1982-07-26
016912,002,LARODOPA,LEVODOPA,100MG,CAPSULE,ORAL,DISCN,,N,N,HOFFMANN LA ROCHE INC,N,Discontinued,1982-01-01
016912,001,LARODOPA,LEVODOPA,250MG,CAPSULE,ORAL,DISCN,,N,N,HOFFMANN LA ROCHE INC,N,Discontinued,1982-01-01
016912,006,LARODOPA,LEVODOPA,500MG,CAPSULE,ORAL,DISCN,,N,N,HOFFMANN LA ROCHE INC,N,Discontinued,1982-01-01
216213,001,LENALIDOMIDE,LENALIDOMIDE,2.5MG,CAPSULE,ORAL,DISCN,,N,N,AMNEAL EU LTD,A,Discontinued,2025-01-31
216213,002,LENALIDOMIDE,LENALIDOMIDE,5MG,CAPSULE,ORAL,DISCN,,N,N,AMNEAL EU LTD,A,Discontinued,2025-01-31
216213,003,LENALIDOMIDE,LENALIDOMIDE,10MG,CAPSULE,ORAL,DISCN,,N,N,AMNEAL EU LTD,A,Discontinued,2025-01-31
216213,004,LENALIDOMIDE,LENALIDOMIDE,15MG,CAPSULE,ORAL,DISCN,,N,N,AMNEAL EU LTD,A,Discontinued,2025-01-31
216213,005,LENALIDOMIDE,LENALIDOMIDE,20MG,CAPSULE,ORAL,DISCN,,N,N,AMNEAL EU LTD,A,Discontinued,2025-01-31
216213,006,LENALIDOMIDE,LENALIDOMIDE,25MG,CAPSULE,ORAL,DISCN,,N,N,AMNEAL EU LTD,A,Discontinued,2025-01-31
211022,005,LENALIDOMIDE,LENALIDOMIDE,2.5MG,CAPSULE,ORAL,RX,AB,N,N,APOTEX INC,A,Active,2022-08-30
211022,001,LENALIDOMIDE,LENALIDOMIDE,5MG,CAPSULE,ORAL,RX,AB,N,N,APOTEX INC,A,Active,2022-08-30
211022,002,LENALIDOMIDE,LENALIDOMIDE,10MG,CAPSULE,ORAL,RX,AB,N,N,APOTEX INC,A,Active,2022-08-30
211022,003,LENALIDOMIDE,LENALIDOMIDE,15MG,CAPSULE,ORAL,RX,AB,N,N,APOTEX INC,A,Active,2022-08-30
211022,006,LENALIDOMIDE,LENALIDOMIDE,20MG,CAPSULE,ORAL,RX,AB,N,N,APOTEX INC,A,Active,2022-08-30
211022,004,LENALIDOMIDE,LENALIDOMIDE,25MG,CAPSULE,ORAL,RX,AB,N,N,APOTEX INC,A,Active,2022-08-30
201452,005,LENALIDOMIDE,LENALIDOMIDE,2.5MG,CAPSULE,ORAL,RX,AB,N,N,ARROW INTERNATIONAL LTD,A,Active,2021-05-21
201452,001,LENALIDOMIDE,LENALIDOMIDE,5MG,CAPSULE,ORAL,RX,AB,N,N,ARROW INTERNATIONAL LTD,A,Active,2021-05-21
201452,002,LENALIDOMIDE,LENALIDOMIDE,10MG,CAPSULE,ORAL,RX,AB,N,N,ARROW INTERNATIONAL LTD,A,Active,2021-05-21
201452,003,LENALIDOMIDE,LENALIDOMIDE,15MG,CAPSULE,ORAL,RX,AB,N,N,ARROW INTERNATIONAL LTD,A,Active,2021-05-21
201452,006,LENALIDOMIDE,LENALIDOMIDE,20MG,CAPSULE,ORAL,RX,AB,N,N,ARROW INTERNATIONAL LTD,A,Active,2021-05-21
201452,004,LENALIDOMIDE,LENALIDOMIDE,25MG,CAPSULE,ORAL,RX,AB,N,N,ARROW INTERNATIONAL LTD,A,Active,2021-05-21
215759,001,LENALIDOMIDE,LENALIDOMIDE,2.5MG,CAPSULE,ORAL,RX,AB,N,N,BIOCON PHARMA LTD,A,Active,2025-03-03
215759,002,LENALIDOMIDE,LENALIDOMIDE,5MG,CAPSULE,ORAL,RX,AB,N,N,BIOCON PHARMA LTD,A,Active,2025-03-03
215759,003,LENALIDOMIDE,LENALIDOMIDE,10MG,CAPSULE,ORAL,RX,AB,N,N,BIOCON PHARMA LTD,A,Active,2025-03-03
215759,004,LENALIDOMIDE,LENALIDOMIDE,15MG,CAPSULE,ORAL,RX,AB,N,N,BIOCON PHARMA LTD,A,Active,2025-03-03
215759,005,LENALIDOMIDE,LENALIDOMIDE,20MG,CAPSULE,ORAL,RX,AB,N,N,BIOCON PHARMA LTD,A,Active,2025-03-03
215759,006,LENALIDOMIDE,LENALIDOMIDE,25MG,CAPSULE,ORAL,RX,AB,N,N,BIOCON PHARMA LTD,A,Active,2025-03-03
214618,001,LENALIDOMIDE,LENALIDOMIDE,2.5MG,CAPSULE,ORAL,RX,AB,N,N,CIPLA LTD,A,Active,2023-03-06
210435,001,LENALIDOMIDE,LENALIDOMIDE,5MG,CAPSULE,ORAL,RX,AB,N,N,CIPLA LTD,A,Active,2022-09-06
210435,002,LENALIDOMIDE,LENALIDOMIDE,10MG,CAPSULE,ORAL,RX,AB,N,N,CIPLA LTD,A,Active,2022-09-06
210435,003,LENALIDOMIDE,LENALIDOMIDE,15MG,CAPSULE,ORAL,RX,AB,N,N,CIPLA LTD,A,Active,2022-09-06
210435,005,LENALIDOMIDE,LENALIDOMIDE,20MG,CAPSULE,ORAL,RX,AB,N,N,CIPLA LTD,A,Active,2022-09-06
210435,004,LENALIDOMIDE,LENALIDOMIDE,25MG,CAPSULE,ORAL,RX,AB,N,N,CIPLA LTD,A,Active,2022-09-06
217554,001,LENALIDOMIDE,LENALIDOMIDE,2.5MG,CAPSULE,ORAL,RX,AB,N,N,DEVA HOLDING AS,A,Active,2025-05-22
217554,002,LENALIDOMIDE,LENALIDOMIDE,5MG,CAPSULE,ORAL,RX,AB,N,N,DEVA HOLDING AS,A,Active,2025-05-22
217554,003,LENALIDOMIDE,LENALIDOMIDE,10MG,CAPSULE,ORAL,RX,AB,N,N,DEVA HOLDING AS,A,Active,2025-05-22
217554,004,LENALIDOMIDE,LENALIDOMIDE,15MG,CAPSULE,ORAL,RX,AB,N,N,DEVA HOLDING AS,A,Active,2025-05-22
217554,005,LENALIDOMIDE,LENALIDOMIDE,20MG,CAPSULE,ORAL,RX,AB,N,N,DEVA HOLDING AS,A,Active,2025-05-22
217554,006,LENALIDOMIDE,LENALIDOMIDE,25MG,CAPSULE,ORAL,RX,AB,N,N,DEVA HOLDING AS,A,Active,2025-05-22
209348,001,LENALIDOMIDE,LENALIDOMIDE,2.5MG,CAPSULE,ORAL,RX,AB,N,N,DR REDDYS LABORATORIES LTD,A,Active,2021-10-14
209348,003,LENALIDOMIDE,LENALIDOMIDE,5MG,CAPSULE,ORAL,RX,AB,N,N,DR REDDYS LABORATORIES LTD,A,Active,2021-10-14
209348,004,LENALIDOMIDE,LENALIDOMIDE,10MG,CAPSULE,ORAL,RX,AB,N,N,DR REDDYS LABORATORIES LTD,A,Active,2021-10-14
209348,005,LENALIDOMIDE,LENALIDOMIDE,15MG,CAPSULE,ORAL,RX,AB,N,N,DR REDDYS LABORATORIES LTD,A,Active,2021-10-14
209348,002,LENALIDOMIDE,LENALIDOMIDE,20MG,CAPSULE,ORAL,RX,AB,N,N,DR REDDYS LABORATORIES LTD,A,Active,2021-10-14
209348,006,LENALIDOMIDE,LENALIDOMIDE,25MG,CAPSULE,ORAL,RX,AB,N,N,DR REDDYS LABORATORIES LTD,A,Active,2021-10-14
213885,001,LENALIDOMIDE,LENALIDOMIDE,2.5MG,CAPSULE,ORAL,RX,AB,N,N,EUGIA PHARMA SPECIALITIES LTD,A,Active,2023-03-06
213885,002,LENALIDOMIDE,LENALIDOMIDE,5MG,CAPSULE,ORAL,RX,AB,N,N,EUGIA PHARMA SPECIALITIES LTD,A,Active,2023-03-06
213885,003,LENALIDOMIDE,LENALIDOMIDE,10MG,CAPSULE,ORAL,RX,AB,N,N,EUGIA PHARMA SPECIALITIES LTD,A,Active,2023-03-06
213885,004,LENALIDOMIDE,LENALIDOMIDE,15MG,CAPSULE,ORAL,RX,AB,N,N,EUGIA PHARMA SPECIALITIES LTD,A,Active,2023-03-06
213885,005,LENALIDOMIDE,LENALIDOMIDE,20MG,CAPSULE,ORAL,RX,AB,N,N,EUGIA PHARMA SPECIALITIES LTD,A,Active,2023-03-06
213885,006,LENALIDOMIDE,LENALIDOMIDE,25MG,CAPSULE,ORAL,RX,AB,N,N,EUGIA PHARMA SPECIALITIES LTD,A,Active,2023-03-06
212414,001,LENALIDOMIDE,LENALIDOMIDE,2.5MG,CAPSULE,ORAL,RX,AB,N,N,HETERO LABS LTD UNIT V,A,Active,2023-05-11
212414,002,LENALIDOMIDE,LENALIDOMIDE,5MG,CAPSULE,ORAL,RX,AB,N,N,HETERO LABS LTD UNIT V,A,Active,2023-05-11
212414,003,LENALIDOMIDE,LENALIDOMIDE,10MG,CAPSULE,ORAL,RX,AB,N,N,HETERO LABS LTD UNIT V,A,Active,2023-05-11
212414,004,LENALIDOMIDE,LENALIDOMIDE,15MG,CAPSULE,ORAL,RX,AB,N,N,HETERO LABS LTD UNIT V,A,Active,2023-05-11
212414,005,LENALIDOMIDE,LENALIDOMIDE,20MG,CAPSULE,ORAL,RX,AB,N,N,HETERO LABS LTD UNIT V,A,Active,2023-05-11
212414,006,LENALIDOMIDE,LENALIDOMIDE,25MG,CAPSULE,ORAL,RX,AB,N,N,HETERO LABS LTD UNIT V,A,Active,2023-05-11
210480,005,LENALIDOMIDE,LENALIDOMIDE,2.5MG,CAPSULE,ORAL,RX,AB,N,N,LOTUS PHARMACEUTICAL CO LTD NANTOU PLANT,A,Active,2022-08-31
210480,001,LENALIDOMIDE,LENALIDOMIDE,5MG,CAPSULE,ORAL,RX,AB,N,N,LOTUS PHARMACEUTICAL CO LTD NANTOU PLANT,A,Active,2022-08-31
210480,002,LENALIDOMIDE,LENALIDOMIDE,10MG,CAPSULE,ORAL,RX,AB,N,N,LOTUS PHARMACEUTICAL CO LTD NANTOU PLANT,A,Active,2022-08-31
210480,003,LENALIDOMIDE,LENALIDOMIDE,15MG,CAPSULE,ORAL,RX,AB,N,N,LOTUS PHARMACEUTICAL CO LTD NANTOU PLANT,A,Active,2022-08-31
210480,006,LENALIDOMIDE,LENALIDOMIDE,20MG,CAPSULE,ORAL,RX,AB,N,N,LOTUS PHARMACEUTICAL CO LTD NANTOU PLANT,A,Active,2022-08-31
210480,004,LENALIDOMIDE,LENALIDOMIDE,25MG,CAPSULE,ORAL,RX,AB,N,N,LOTUS PHARMACEUTICAL CO LTD NANTOU PLANT,A,Active,2022-08-31
213912,005,LENALIDOMIDE,LENALIDOMIDE,2.5MG,CAPSULE,ORAL,RX,AB,N,N,MYLAN PHARMACEUTICALS INC,A,Active,2022-08-30
213912,001,LENALIDOMIDE,LENALIDOMIDE,5MG,CAPSULE,ORAL,RX,AB,N,N,MYLAN PHARMACEUTICALS INC,A,Active,2022-08-30
213912,002,LENALIDOMIDE,LENALIDOMIDE,10MG,CAPSULE,ORAL,RX,AB,N,N,MYLAN PHARMACEUTICALS INC,A,Active,2022-08-30
213912,003,LENALIDOMIDE,LENALIDOMIDE,15MG,CAPSULE,ORAL,RX,AB,N,N,MYLAN PHARMACEUTICALS INC,A,Active,2022-08-30
213912,006,LENALIDOMIDE,LENALIDOMIDE,20MG,CAPSULE,ORAL,RX,AB,N,N,MYLAN PHARMACEUTICALS INC,A,Active,2022-08-30
213912,004,LENALIDOMIDE,LENALIDOMIDE,25MG,CAPSULE,ORAL,RX,AB,N,N,MYLAN PHARMACEUTICALS INC,A,Active,2022-08-30
217281,001,LENALIDOMIDE,LENALIDOMIDE,2.5MG,CAPSULE,ORAL,RX,AB,N,N,NOVUGEN ONCOLOGY SDN BHD,A,Active,2024-09-11
217281,002,LENALIDOMIDE,LENALIDOMIDE,5MG,CAPSULE,ORAL,RX,AB,N,N,NOVUGEN ONCOLOGY SDN BHD,A,Active,2024-09-11
217281,003,LENALIDOMIDE,LENALIDOMIDE,10MG,CAPSULE,ORAL,RX,AB,N,N,NOVUGEN ONCOLOGY SDN BHD,A,Active,2024-09-11
217281,004,LENALIDOMIDE,LENALIDOMIDE,15MG,CAPSULE,ORAL,RX,AB,N,N,NOVUGEN ONCOLOGY SDN BHD,A,Active,2024-09-11
217281,005,LENALIDOMIDE,LENALIDOMIDE,20MG,CAPSULE,ORAL,RX,AB,N,N,NOVUGEN ONCOLOGY SDN BHD,A,Active,2024-09-11
217281,006,LENALIDOMIDE,LENALIDOMIDE,25MG,CAPSULE,ORAL,RX,AB,N,N,NOVUGEN ONCOLOGY SDN BHD,A,Active,2024-09-11
217265,001,LENALIDOMIDE,LENALIDOMIDE,2.5MG,CAPSULE,ORAL,DISCN,,N,N,QILU PHARMACEUTICAL CO LTD,A,Discontinued,2024-02-22
217265,002,LENALIDOMIDE,LENALIDOMIDE,5MG,CAPSULE,ORAL,DISCN,,N,N,QILU PHARMACEUTICAL CO LTD,A,Discontinued,2024-02-22
217265,003,LENALIDOMIDE,LENALIDOMIDE,10MG,CAPSULE,ORAL,DISCN,,N,N,QILU PHARMACEUTICAL CO LTD,A,Discontinued,2024-02-22
217265,004,LENALIDOMIDE,LENALIDOMIDE,15MG,CAPSULE,ORAL,DISCN,,N,N,QILU PHARMACEUTICAL CO LTD,A,Discontinued,2024-02-22
217265,005,LENALIDOMIDE,LENALIDOMIDE,20MG,CAPSULE,ORAL,DISCN,,N,N,QILU PHARMACEUTICAL CO LTD,A,Discontinued,2024-02-22
217265,006,LENALIDOMIDE,LENALIDOMIDE,25MG,CAPSULE,ORAL,DISCN,,N,N,QILU PHARMACEUTICAL CO LTD,A,Discontinued,2024-02-22
211846,005,LENALIDOMIDE,LENALIDOMIDE,2.5MG,CAPSULE,ORAL,RX,AB,N,N,SUN PHARMACEUTICAL INDUSTRIES LTD,A,Active,2023-02-08
211846,001,LENALIDOMIDE,LENALIDOMIDE,5MG,CAPSULE,ORAL,RX,AB,N,N,SUN PHARMACEUTICAL INDUSTRIES LTD,A,Active,2023-02-08
211846,002,LENALIDOMIDE,LENALIDOMIDE,10MG,CAPSULE,ORAL,RX,AB,N,N,SUN PHARMACEUTICAL INDUSTRIES LTD,A,Active,2023-02-08
211846,003,LENALIDOMIDE,LENALIDOMIDE,15MG,CAPSULE,ORAL,RX,AB,N,N,SUN PHARMACEUTICAL INDUSTRIES LTD,A,Active,2023-02-08
211846,006,LENALIDOMIDE,LENALIDOMIDE,20MG,CAPSULE,ORAL,RX,AB,N,N,SUN PHARMACEUTICAL INDUSTRIES LTD,A,Active,2023-02-08
211846,004,LENALIDOMIDE,LENALIDOMIDE,25MG,CAPSULE,ORAL,RX,AB,N,N,SUN PHARMACEUTICAL INDUSTRIES LTD,A,Active,2023-02-08
213405,001,LENALIDOMIDE,LENALIDOMIDE,10MG,CAPSULE,ORAL,DISCN,,N,N,TORRENT PHARMACEUTICALS LTD,A,Discontinued,2023-02-17
213405,003,LENALIDOMIDE,LENALIDOMIDE,20MG,CAPSULE,ORAL,DISCN,,N,N,TORRENT PHARMACEUTICALS LTD,A,Discontinued,2023-02-17
213405,002,LENALIDOMIDE,LENALIDOMIDE,25MG,CAPSULE,ORAL,DISCN,,N,N,TORRENT PHARMACEUTICALS LTD,A,Discontinued,2023-02-17
210154,005,LENALIDOMIDE,LENALIDOMIDE,2.5MG,CAPSULE,ORAL,RX,AB,N,N,ZYDUS PHARMACEUTICALS USA INC,A,Active,2022-09-12
210154,001,LENALIDOMIDE,LENALIDOMIDE,5MG,CAPSULE,ORAL,RX,AB,N,N,ZYDUS PHARMACEUTICALS USA INC,A,Active,2022-09-12
210154,002,LENALIDOMIDE,LENALIDOMIDE,10MG,CAPSULE,ORAL,RX,AB,N,N,ZYDUS PHARMACEUTICALS USA INC,A,Active,2022-09-12
210154,003,LENALIDOMIDE,LENALIDOMIDE,15MG,CAPSULE,ORAL,RX,AB,N,N,ZYDUS PHARMACEUTICALS USA INC,A,Active,2022-09-12
210154,006,LENALIDOMIDE,LENALIDOMIDE,20MG,CAPSULE,ORAL,RX,AB,N,N,ZYDUS PHARMACEUTICALS USA INC,A,Active,2022-09-12
210154,004,LENALIDOMIDE,LENALIDOMIDE,25MG,CAPSULE,ORAL,RX,AB,N,N,ZYDUS PHARMACEUTICALS USA INC,A,Active,2022-09-12
206947,001,LENVIMA,LENVATINIB MESYLATE,EQ 4MG BASE,CAPSULE,ORAL,RX,,Y,N,EISAI INC,N,Active,2015-02-13
206947,002,LENVIMA,LENVATINIB MESYLATE,EQ 10MG BASE,CAPSULE,ORAL,RX,,Y,Y,EISAI INC,N,Active,2015-02-13
020261,001,LESCOL,FLUVASTATIN SODIUM,EQ 20MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,CAPSULE,ORAL,DISCN,,Y,N,NOVARTIS PHARMACEUTICALS CORP,N,Discontinued,1993-12-31
020261,002,LESCOL,FLUVASTATIN SODIUM,EQ 40MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,CAPSULE,ORAL,DISCN,,Y,N,NOVARTIS PHARMACEUTICALS CORP,N,Discontinued,1993-12-31
211369,001,LEVOTHYROXINE SODIUM,LEVOTHYROXINE SODIUM,0.075MG,CAPSULE,ORAL,DISCN,,N,N,ANI PHARMACEUTICALS INC,A,Discontinued,2020-10-28
213256,001,LEVOTHYROXINE SODIUM,LEVOTHYROXINE SODIUM,0.088MG,CAPSULE,ORAL,DISCN,,N,N,ANI PHARMACEUTICALS INC,A,Discontinued,2021-01-06
213256,002,LEVOTHYROXINE SODIUM,LEVOTHYROXINE SODIUM,0.1MG,CAPSULE,ORAL,DISCN,,N,N,ANI PHARMACEUTICALS INC,A,Discontinued,2021-01-06
211369,003,LEVOTHYROXINE SODIUM,LEVOTHYROXINE SODIUM,0.112MG,CAPSULE,ORAL,DISCN,,N,N,ANI PHARMACEUTICALS INC,A,Discontinued,2020-10-28
213256,003,LEVOTHYROXINE SODIUM,LEVOTHYROXINE SODIUM,0.125MG,CAPSULE,ORAL,DISCN,,N,N,ANI PHARMACEUTICALS INC,A,Discontinued,2021-01-06
211369,005,LEVOTHYROXINE SODIUM,LEVOTHYROXINE SODIUM,0.137MG,CAPSULE,ORAL,DISCN,,N,N,ANI PHARMACEUTICALS INC,A,Discontinued,2020-10-28
211369,002,LEVOTHYROXINE SODIUM,LEVOTHYROXINE SODIUM,0.15MG,CAPSULE,ORAL,DISCN,,N,N,ANI PHARMACEUTICALS INC,A,Discontinued,2020-10-28
211369,006,LEVOTHYROXINE SODIUM,LEVOTHYROXINE SODIUM,0.175MG,CAPSULE,ORAL,DISCN,,N,N,ANI PHARMACEUTICALS INC,A,Discontinued,2020-10-28
211369,004,LEVOTHYROXINE SODIUM,LEVOTHYROXINE SODIUM,0.2MG,CAPSULE,ORAL,DISCN,,N,N,ANI PHARMACEUTICALS INC,A,Discontinued,2020-10-28
